Name,oldest_sequence,newest_sequence,number_taxa
UK2748,2020-04-23,2020-04-23,1
UK3019,2020-04-25,2020-04-25,1
UK4281,2020-04-23,2020-04-23,2
UK3017,2020-05-14,2020-05-14,1
UK2749,2020-05-04,2020-05-04,1
UK443,2020-04-14,2020-05-14,4
UK5651,2020-04-22,2020-04-22,1
UK919,2020-04-11,2020-04-23,4
UK5442,2020-04-17,2020-04-17,1
UK397,2020-04-15,2020-04-18,3
UK5443,2020-04-17,2020-04-17,1
UK909,2020-04-17,2020-04-20,5
UK89,2020-04-04,2020-04-18,17
UK2013,2020-04-02,2020-04-17,3
UK5164,2020-04-16,2020-04-16,1
UK149,2020-04-16,2020-04-16,1
UK63,2020-04-02,2020-04-17,8
UK213,2020-04-17,2020-04-17,1
UK3222,2020-04-17,2020-04-17,1
UK5166,2020-04-17,2020-04-17,1
UK2913,2020-04-09,2020-04-17,5
UK374,2020-04-06,2020-04-17,6
UK532,2020-04-04,2020-04-17,8
UK5171,2020-04-17,2020-04-17,1
UK5,2020-03-27,2020-04-17,14
UK19,2020-04-04,2020-04-19,22
UK5424,2020-04-17,2020-04-17,1
UK5128,2020-04-18,2020-04-18,1
UK2083,2020-04-18,2020-04-18,1
UK231,2020-04-17,2020-04-17,2
UK963,2020-04-14,2020-04-18,3
UK5425,2020-04-17,2020-04-17,1
UK2039,2020-04-17,2020-04-17,1
UK5226,2020-04-17,2020-04-17,1
UK274,2020-04-04,2020-04-04,1
UK470,2020-04-04,2020-04-04,1
UK77,2020-04-04,2020-04-04,1
UK2916,2020-03-27,2020-04-19,11
UK2714,2020-04-04,2020-04-04,1
UK533,2020-04-04,2020-04-17,4
UK1867,2020-04-04,2020-04-16,2
UK119,2020-04-04,2020-04-04,4
UK9,2020-03-31,2020-04-08,7
UK1328,2020-04-04,2020-04-04,1
UK53,2020-04-03,2020-04-06,4
UK1973,2020-04-04,2020-04-04,1
UK84,2020-04-04,2020-04-04,1
UK371,2020-04-04,2020-04-17,8
UK3121,2020-04-04,2020-04-04,1
UK5643,2020-04-04,2020-04-04,1
UK3122,2020-04-04,2020-04-04,1
UK190,2020-04-04,2020-04-15,3
UK2651,2020-04-04,2020-04-04,1
UK3123,2020-04-04,2020-04-04,1
UK4664,2020-04-04,2020-04-04,1
UK3558,2020-04-13,2020-04-16,5
UK3209,2020-04-14,2020-04-14,1
UK423,2020-04-16,2020-04-16,2
UK4670,2020-04-16,2020-04-16,1
UK214,2020-04-16,2020-04-16,1
UK3210,2020-04-16,2020-04-16,1
UK1911,2020-04-16,2020-04-16,1
UK2751,2020-04-16,2020-04-16,1
UK141,2020-04-02,2020-04-15,4
UK3212,2020-04-14,2020-04-14,1
UK37,2020-04-02,2020-04-19,6
UK442,2020-04-15,2020-04-20,4
UK2138,2020-04-15,2020-04-15,1
UK1332,2020-04-15,2020-04-15,1
UK1015,2020-04-15,2020-04-16,2
UK2736,2020-04-15,2020-04-15,1
UK3433,2020-04-14,2020-04-14,1
UK2702,2020-04-15,2020-04-15,1
UK3200,2020-04-17,2020-04-17,1
UK290,2020-04-17,2020-04-17,1
UK2834,2020-04-17,2020-04-17,1
UK1636,2020-04-15,2020-04-15,1
UK3248,2020-04-17,2020-04-17,1
UK2136,2020-04-17,2020-04-17,1
UK564,2020-04-15,2020-04-15,1
UK422,2020-04-14,2020-04-14,1
UK3158,2020-04-15,2020-04-15,1
UK606,2020-03-31,2020-04-11,3
UK5491,2020-04-14,2020-04-14,1
UK373,2020-04-15,2020-04-15,1
UK2752,2020-04-15,2020-04-15,1
UK3207,2020-04-14,2020-04-14,1
UK867,2020-04-11,2020-04-15,2
UK5466,2020-04-14,2020-04-14,2
UK3208,2020-04-15,2020-04-15,2
UK709,2020-04-06,2020-04-14,2
UK3341,2020-04-11,2020-04-11,1
UK574,2020-04-11,2020-04-11,1
UK2611,2020-04-15,2020-04-15,1
UK2464,2020-04-02,2020-04-19,6
UK5713,2020-04-06,2020-04-11,2
UK1912,2020-04-15,2020-04-15,1
UK2202,2020-04-20,2020-04-20,1
UK3351,2020-04-20,2020-04-20,1
UK4716,2020-04-20,2020-04-20,1
UK25,2020-04-19,2020-04-19,1
UK310,2020-04-20,2020-04-20,1
UK1667,2020-04-20,2020-04-20,1
UK884,2020-04-18,2020-04-19,2
UK66,2020-04-18,2020-04-18,2
UK830,2020-04-19,2020-04-19,1
UK5216,2020-04-19,2020-04-19,1
UK506,2020-04-19,2020-04-19,1
UK1926,2020-04-19,2020-04-19,1
UK3321,2020-04-19,2020-04-19,1
UK3,2020-04-19,2020-04-19,1
UK2588,2020-04-19,2020-04-19,1
UK3322,2020-04-19,2020-04-19,1
UK5665,2020-04-19,2020-04-19,1
UK5084,2020-04-14,2020-04-18,2
UK539,2020-04-18,2020-04-18,1
UK5716,2020-04-19,2020-04-19,1
UK5631,2020-04-18,2020-04-18,1
UK174,2020-04-18,2020-04-18,1
UK469,2020-04-03,2020-04-03,1
UK507,2020-04-02,2020-04-06,2
UK4718,2020-04-06,2020-04-06,1
UK2550,2020-04-06,2020-04-06,1
UK670,2020-04-06,2020-04-06,1
UK11,2020-04-06,2020-04-09,2
UK1933,2020-04-06,2020-04-06,1
UK2619,2020-04-06,2020-04-06,1
UK376,2020-04-06,2020-04-06,1
UK2557,2020-04-06,2020-04-06,1
UK2695,2020-04-03,2020-04-03,1
UK556,2020-04-06,2020-04-06,1
UK3361,2020-04-04,2020-04-04,1
UK339,2020-04-04,2020-04-14,2
UK2642,2020-04-04,2020-04-04,1
UK109,2020-04-04,2020-04-15,2
UK1908,2020-04-04,2020-04-04,1
UK2205,2020-04-04,2020-04-04,1
UK3362,2020-04-04,2020-04-04,1
UK3363,2020-04-04,2020-04-04,1
UK3364,2020-04-04,2020-04-04,1
UK4717,2020-04-04,2020-04-04,1
UK5843,2020-04-16,2020-04-16,1
UK2615,2020-04-16,2020-04-16,1
UK449,2020-04-15,2020-04-15,2
UK3036,2020-04-15,2020-04-15,1
UK5638,2020-04-15,2020-04-15,1
UK5649,2020-04-15,2020-04-15,1
UK1940,2020-04-15,2020-04-15,1
UK2215,2020-04-14,2020-04-14,1
UK2613,2020-04-16,2020-04-16,1
UK5322,2020-04-15,2020-04-15,1
UK65,2020-04-15,2020-04-15,1
UK3028,2020-04-15,2020-04-15,1
UK5741,2020-04-14,2020-04-14,2
UK4631,2020-04-14,2020-04-14,1
UK2062,2020-04-13,2020-04-13,1
UK1945,2020-04-13,2020-04-13,1
UK3557,2020-04-14,2020-04-14,1
UK752,2020-03-31,2020-03-31,1
UK2738,2020-03-31,2020-03-31,1
UK4773,2020-03-31,2020-03-31,1
UK2731,2020-03-31,2020-03-31,1
UK1931,2020-03-31,2020-03-31,1
UK2553,2020-03-31,2020-03-31,1
UK2744,2020-03-31,2020-03-31,1
UK2756,2020-03-31,2020-04-06,2
UK2730,2020-03-31,2020-03-31,1
UK2566,2020-03-31,2020-03-31,1
UK2648,2020-03-31,2020-03-31,1
UK1642,2020-04-08,2020-04-08,1
UK2855,2020-04-08,2020-04-08,1
UK1688,2020-04-08,2020-04-08,1
UK28,2020-04-02,2020-04-08,2
UK2016,2020-04-08,2020-04-08,1
UK2757,2020-04-08,2020-04-08,1
UK513,2020-04-08,2020-04-08,1
UK2283,2020-04-08,2020-04-08,1
UK437,2020-04-08,2020-04-08,1
UK2627,2020-04-08,2020-04-08,1
UK4565,2020-04-08,2020-04-08,1
UK696,2020-04-08,2020-04-08,1
UK2906,2020-04-08,2020-04-08,1
UK3691,2020-04-08,2020-04-08,1
UK1000,2020-04-10,2020-04-10,1
UK2735,2020-04-06,2020-04-11,3
UK3669,2020-04-11,2020-04-11,1
UK2729,2020-04-11,2020-04-11,1
UK3670,2020-04-10,2020-04-10,1
UK1704,2020-04-11,2020-04-11,1
UK2560,2020-04-02,2020-04-02,1
UK2586,2020-04-02,2020-04-02,1
UK2711,2020-03-27,2020-03-27,1
UK731,2020-03-27,2020-03-27,1
UK3672,2020-03-27,2020-03-27,1
UK2719,2020-04-02,2020-04-02,1
UK3673,2020-03-27,2020-03-27,1
UK1049,2020-04-02,2020-04-02,1
UK2552,2020-03-27,2020-03-27,1
UK4771,2020-04-02,2020-04-02,1
UK2758,2020-04-06,2020-04-06,2
UK147,2020-04-06,2020-04-06,1
UK3674,2020-04-06,2020-04-06,1
UK323,2020-04-06,2020-04-06,1
UK2660,2020-04-06,2020-04-06,1
UK2732,2020-04-06,2020-04-06,1
UK737,2020-04-06,2020-04-06,2
UK2762,2020-04-06,2020-04-06,1
UK369,2020-04-03,2020-04-10,3
UK5752,2020-04-06,2020-04-06,1
UK3675,2020-04-06,2020-04-06,1
UK5719,2020-04-06,2020-04-06,1
UK2733,2020-04-06,2020-04-06,1
UK3676,2020-04-06,2020-04-06,1
UK3041,2020-04-09,2020-04-09,1
UK2600,2020-04-10,2020-04-10,1
UK4772,2020-04-09,2020-04-09,1
UK2764,2020-04-02,2020-04-09,2
UK2765,2020-04-10,2020-04-10,1
UK2737,2020-04-09,2020-04-09,1
UK403,2020-04-10,2020-04-10,1
UK2775,2020-04-09,2020-04-09,1
UK3677,2020-04-10,2020-04-10,1
UK3678,2020-04-10,2020-04-10,1
UK2559,2020-04-10,2020-04-10,1
UK356,2020-04-10,2020-04-10,1
UK5194,2020-03-31,2020-03-31,1
UK62,2020-04-02,2020-04-02,2
UK2740,2020-04-03,2020-04-03,1
UK3872,2020-04-02,2020-04-02,1
UK2742,2020-04-02,2020-04-02,1
UK2558,2020-04-02,2020-04-02,1
UK223,2020-04-02,2020-04-02,1
UK5603,2020-04-03,2020-04-03,1
UK672,2020-04-02,2020-04-02,1
UK2629,2020-04-03,2020-04-03,1
