Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK11	37 (100.0%)	Mar-27, Apr-16	37	B.1	4
UK106	24 (100.0%)	Apr-04, Apr-19	24	B.1	1
UK89	14 (100.0%)	Apr-04, Apr-18	14	B.1.1.9	2
UK63	12 (100.0%)	Apr-02, Apr-18	12	B.1.1	2
UK1	11 (100.0%)	Mar-27, Apr-19	11	B.1	1
UK5	11 (100.0%)	Mar-27, Apr-16	11	B.1.1.1	4
UK909	9 (100.0%)	Apr-13, Apr-20	9	B.1	0
UK159	8 (100.0%)	Apr-04, Apr-17	8	B.1.1	3
UK532	7 (100.0%)	Apr-04, Apr-17	7	B.1.1	3
UK9	7 (100.0%)	Mar-31, Apr-08	7	B.1.13	12
UK37	6 (100.0%)	Apr-02, Apr-19	6	B.1.30	1
UK7	6 (100.0%)	Apr-02, Apr-19	6	B.1.p11	1
