Lineage,Days,England,Scotland,Wales,Northern Ireland
UK63,2020-04-02,1,0,0,0
UK63,2020-04-04,1,0,0,0
UK63,2020-04-13,1,0,0,0
UK63,2020-04-14,2,0,0,0
UK63,2020-04-14,2,0,0,0
UK63,2020-04-15,1,0,0,0
UK63,2020-04-16,1,0,0,0
UK63,2020-04-17,1,0,0,0
UK374,2020-04-06,3,0,0,0
UK374,2020-04-06,3,0,0,0
UK374,2020-04-06,3,0,0,0
UK374,2020-04-16,1,0,0,0
UK374,2020-04-17,2,0,0,0
UK374,2020-04-17,2,0,0,0
UK532,2020-04-04,1,0,0,0
UK532,2020-04-14,1,0,0,0
UK532,2020-04-15,2,0,0,0
UK532,2020-04-15,2,0,0,0
UK532,2020-04-16,2,0,0,0
UK532,2020-04-16,2,0,0,0
UK532,2020-04-17,2,0,0,0
UK532,2020-04-17,2,0,0,0
UK5,2020-03-27,1,0,0,0
UK5,2020-03-31,2,0,0,0
UK5,2020-03-31,2,0,0,0
UK5,2020-04-02,1,0,0,0
UK5,2020-04-06,1,0,0,0
UK5,2020-04-11,2,0,0,0
UK5,2020-04-11,2,0,0,0
UK5,2020-04-15,3,0,0,0
UK5,2020-04-15,3,0,0,0
UK5,2020-04-15,3,0,0,0
UK5,2020-04-16,1,0,0,0
UK5,2020-04-17,3,0,0,0
UK5,2020-04-17,3,0,0,0
UK5,2020-04-17,3,0,0,0
UK371,2020-04-04,1,0,0,0
UK371,2020-04-06,5,0,0,0
UK371,2020-04-06,5,0,0,0
UK371,2020-04-06,5,0,0,0
UK371,2020-04-06,5,0,0,0
UK371,2020-04-06,5,0,0,0
UK371,2020-04-08,1,0,0,0
UK371,2020-04-17,1,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-06,1,0,0,0
UK89,2020-04-08,3,0,0,0
UK89,2020-04-08,3,0,0,0
UK89,2020-04-08,3,0,0,0
UK89,2020-04-09,1,0,0,0
UK89,2020-04-14,2,0,0,0
UK89,2020-04-14,2,0,0,0
UK89,2020-04-15,1,0,0,0
UK89,2020-04-16,3,0,0,0
UK89,2020-04-16,3,0,0,0
UK89,2020-04-16,3,0,0,0
UK89,2020-04-17,3,0,0,0
UK89,2020-04-17,3,0,0,0
UK89,2020-04-17,3,0,0,0
UK89,2020-04-18,1,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-04,6,0,0,0
UK19,2020-04-06,2,0,0,0
UK19,2020-04-06,2,0,0,0
UK19,2020-04-14,1,0,0,0
UK19,2020-04-15,4,0,0,0
UK19,2020-04-15,4,0,0,0
UK19,2020-04-15,4,0,0,0
UK19,2020-04-15,4,0,0,0
UK19,2020-04-16,2,0,0,0
UK19,2020-04-16,2,0,0,0
UK19,2020-04-17,3,0,0,0
UK19,2020-04-17,3,0,0,0
UK19,2020-04-17,3,0,0,0
UK19,2020-04-18,2,0,0,0
UK19,2020-04-18,2,0,0,0
UK19,2020-04-19,2,0,0,0
UK19,2020-04-19,2,0,0,0
UK2916,2020-03-27,1,0,0,0
UK2916,2020-04-04,3,0,0,0
UK2916,2020-04-04,3,0,0,0
UK2916,2020-04-04,3,0,0,0
UK2916,2020-04-06,1,0,0,0
UK2916,2020-04-11,1,0,0,0
UK2916,2020-04-15,2,0,0,0
UK2916,2020-04-15,2,0,0,0
UK2916,2020-04-16,2,0,0,0
UK2916,2020-04-16,2,0,0,0
UK2916,2020-04-19,1,0,0,0
UK37,2020-04-02,1,0,0,0
UK37,2020-04-04,1,0,0,0
UK37,2020-04-15,1,0,0,0
UK37,2020-04-17,1,0,0,0
UK37,2020-04-19,2,0,0,0
UK37,2020-04-19,2,0,0,0
UK2464,2020-04-02,2,0,0,0
UK2464,2020-04-02,2,0,0,0
UK2464,2020-04-08,1,0,0,0
UK2464,2020-04-10,1,0,0,0
UK2464,2020-04-15,1,0,0,0
UK2464,2020-04-19,1,0,0,0
