Name,oldest_sequence,newest_sequence,number_taxa
UK288,2020-03-23,2020-03-23,1
UK3056,2020-03-25,2020-03-25,1
UK72,2020-03-11,2020-03-26,42
UK760,2020-03-21,2020-03-28,11
UK1881,2020-03-25,2020-03-25,1
UK1261,2020-03-24,2020-03-24,1
UK3046,2020-03-25,2020-03-25,1
UK3057,2020-03-28,2020-03-28,1
UK2089,2020-03-22,2020-03-28,2
UK2789,2020-03-26,2020-03-26,1
UK706,2020-03-28,2020-03-28,1
UK701,2020-03-20,2020-03-29,7
UK187,2020-03-26,2020-03-26,3
UK949,2020-03-25,2020-03-26,2
UK3058,2020-03-24,2020-03-24,1
UK1009,2020-03-26,2020-03-26,1
UK2090,2020-03-26,2020-03-26,1
UK2200,2020-03-23,2020-03-25,3
UK916,2020-03-24,2020-03-28,2
UK3059,2020-03-26,2020-03-26,1
UK1246,2020-03-29,2020-03-29,1
UK364,2020-03-29,2020-03-29,1
UK5688,2020-03-25,2020-03-25,1
UK246,2020-03-29,2020-03-29,2
UK5675,2020-03-28,2020-03-28,1
UK5561,2020-03-28,2020-03-28,1
UK4660,2020-03-24,2020-03-24,1
UK5263,2020-03-26,2020-03-26,1
UK3062,2020-03-24,2020-03-24,1
UK3063,2020-03-24,2020-03-24,1
UK155,2020-03-25,2020-03-25,1
UK3064,2020-03-28,2020-03-28,1
UK225,2020-03-23,2020-03-28,3
UK3065,2020-03-25,2020-03-25,1
UK3066,2020-03-28,2020-03-28,1
UK933,2020-03-26,2020-03-26,1
UK2545,2020-03-25,2020-03-25,1
UK154,2020-03-23,2020-03-23,1
UK5549,2020-03-16,2020-03-18,2
UK295,2020-03-11,2020-03-24,8
UK2063,2020-03-25,2020-03-25,1
UK1545,2020-03-24,2020-03-24,1
UK3124,2020-03-25,2020-03-25,1
UK44,2020-03-23,2020-03-23,1
UK3125,2020-03-23,2020-03-23,1
UK5459,2020-03-23,2020-03-23,1
UK1331,2020-03-23,2020-03-23,1
UK3127,2020-03-21,2020-03-21,1
UK4523,2020-03-14,2020-03-14,1
UK3128,2020-03-21,2020-03-21,1
UK2612,2020-03-10,2020-03-10,1
UK1884,2020-03-24,2020-03-24,1
UK3129,2020-03-20,2020-03-20,1
UK2675,2020-03-23,2020-03-23,1
UK3130,2020-03-22,2020-03-22,1
UK1574,2020-03-24,2020-03-24,1
UK1663,2020-03-24,2020-03-24,1
UK1788,2020-03-23,2020-03-23,1
UK4453,2020-03-14,2020-03-14,1
UK979,2020-03-24,2020-03-24,1
UK357,2020-03-23,2020-03-23,1
UK198,2020-03-24,2020-03-24,1
UK4524,2020-03-14,2020-03-14,1
UK4665,2020-03-23,2020-03-23,1
UK5701,2020-03-14,2020-03-14,1
UK2795,2020-03-19,2020-03-19,1
UK51,2020-03-21,2020-03-21,1
UK4449,2020-03-22,2020-03-22,1
UK185,2020-03-10,2020-03-10,1
UK3131,2020-03-25,2020-03-25,1
UK5,2020-03-11,2020-03-22,2
UK4525,2020-03-25,2020-03-25,1
UK2685,2020-03-21,2020-03-21,1
UK5567,2020-03-24,2020-03-24,1
UK642,2020-03-23,2020-03-23,1
UK3132,2020-03-21,2020-03-21,1
UK70,2020-03-13,2020-03-13,1
UK66,2020-03-22,2020-03-22,1
UK4447,2020-03-14,2020-03-14,1
UK818,2020-03-18,2020-03-18,1
UK1007,2020-03-17,2020-03-17,1
UK4791,2020-03-17,2020-03-17,1
UK36,2020-03-18,2020-03-18,1
UK3752,2020-03-20,2020-03-20,1
UK2607,2020-03-17,2020-03-17,1
UK2571,2020-03-18,2020-03-18,1
UK3753,2020-03-18,2020-03-18,1
