Lineage,Days,England,Scotland,Wales,Northern Ireland
UK295,2020-03-11,0,0,0,1
UK295,2020-03-19,0,0,0,1
UK295,2020-03-21,0,0,0,1
UK295,2020-03-23,0,0,0,3
UK295,2020-03-23,0,0,0,3
UK295,2020-03-23,0,0,0,3
UK295,2020-03-24,0,0,0,2
UK295,2020-03-24,0,0,0,2
UK72,2020-03-11,0,0,0,1
UK72,2020-03-14,0,0,0,1
UK72,2020-03-16,0,0,0,4
UK72,2020-03-16,0,0,0,4
UK72,2020-03-16,0,0,0,4
UK72,2020-03-16,0,0,0,4
UK72,2020-03-17,0,0,0,4
UK72,2020-03-17,0,0,0,4
UK72,2020-03-17,0,0,0,4
UK72,2020-03-17,0,0,0,4
UK72,2020-03-18,0,0,0,1
UK72,2020-03-19,0,0,0,1
UK72,2020-03-20,0,0,0,3
UK72,2020-03-20,0,0,0,3
UK72,2020-03-20,0,0,0,3
UK72,2020-03-21,0,0,0,5
UK72,2020-03-21,0,0,0,5
UK72,2020-03-21,0,0,0,5
UK72,2020-03-21,0,0,0,5
UK72,2020-03-21,0,0,0,5
UK72,2020-03-22,0,0,0,3
UK72,2020-03-22,0,0,0,3
UK72,2020-03-22,0,0,0,3
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-23,0,0,0,8
UK72,2020-03-24,0,0,0,4
UK72,2020-03-24,0,0,0,4
UK72,2020-03-24,0,0,0,4
UK72,2020-03-24,0,0,0,4
UK72,2020-03-25,0,0,0,1
UK72,2020-03-26,0,0,0,6
UK72,2020-03-26,0,0,0,6
UK72,2020-03-26,0,0,0,6
UK72,2020-03-26,0,0,0,6
UK72,2020-03-26,0,0,0,6
UK72,2020-03-26,0,0,0,6
UK760,2020-03-21,0,0,0,2
UK760,2020-03-21,0,0,0,2
UK760,2020-03-23,0,0,0,2
UK760,2020-03-23,0,0,0,2
UK760,2020-03-24,0,0,0,1
UK760,2020-03-25,0,0,0,1
UK760,2020-03-26,0,0,0,3
UK760,2020-03-26,0,0,0,3
UK760,2020-03-26,0,0,0,3
UK760,2020-03-28,0,0,0,1
UK225,2020-03-14,0,0,0,1
UK225,2020-03-16,0,0,0,1
UK225,2020-03-18,0,0,0,1
UK225,2020-03-23,0,0,0,1
UK225,2020-03-24,0,0,0,2
UK225,2020-03-24,0,0,0,2
UK225,2020-03-25,0,0,0,1
UK225,2020-03-28,0,0,0,3
UK225,2020-03-28,0,0,0,3
UK225,2020-03-28,0,0,0,3
UK1,2020-03-20,0,0,0,1
UK1,2020-03-23,0,0,0,3
UK1,2020-03-23,0,0,0,3
UK1,2020-03-23,0,0,0,3
UK1,2020-03-24,0,0,0,2
UK1,2020-03-24,0,0,0,2
UK1,2020-03-25,0,0,0,1
UK1,2020-03-29,0,0,0,1
