Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-04-08,2020-06-05,186
UK199,2020-04-08,2020-06-02,81
UK2913,2020-04-08,2020-06-01,108
UK509,2020-04-08,2020-05-29,58
UK125,2020-04-22,2020-05-29,15
UK167,2020-05-13,2020-06-07,16
UK163,2020-06-09,2020-06-09,1
UK42,2020-04-08,2020-06-04,16
UK164,2020-04-15,2020-05-28,21
UK448,2020-04-29,2020-05-22,18
UK173,2020-04-13,2020-05-19,13
UK3929,2020-04-29,2020-06-03,14
UK2735,2020-04-14,2020-05-11,14
UK89,2020-04-28,2020-05-04,2
UK366,2020-04-08,2020-05-21,56
UK107,2020-04-08,2020-05-04,2
UK6,2020-04-08,2020-05-13,80
UK72,2020-04-08,2020-05-26,6
UK5660,2020-04-25,2020-05-08,16
UK274,2020-04-13,2020-05-21,6
UK5676,2020-04-08,2020-05-13,27
UK3692,2020-05-09,2020-05-19,2
UK5663,2020-04-11,2020-05-02,12
UK2916,2020-04-08,2020-04-29,3
UK996,2020-05-12,2020-05-12,1
UK28,2020-04-13,2020-05-01,8
UK5409,2020-04-30,2020-04-30,1
UK203,2020-04-29,2020-05-17,2
UK565,2020-04-29,2020-05-01,5
UK415,2020-04-19,2020-05-06,11
UK12,2020-04-11,2020-05-06,4
UK2464,2020-04-20,2020-05-08,2
UK569,2020-05-11,2020-05-12,2
UK121,2020-04-26,2020-04-26,1
UK1223,2020-04-21,2020-04-21,1
UK5561,2020-04-08,2020-04-22,2
UK85,2020-04-27,2020-04-27,1
UK5503,2020-04-08,2020-04-30,4
UK373,2020-05-03,2020-05-03,1
UK491,2020-04-13,2020-04-13,1
UK367,2020-04-18,2020-04-18,1
UK253,2020-04-21,2020-04-21,1
UK240,2020-04-23,2020-04-23,1
UK65,2020-04-21,2020-04-21,1
UK75,2020-04-23,2020-04-23,1
UK63,2020-04-18,2020-04-18,1
UK283,2020-04-09,2020-04-09,1
UK574,2020-04-08,2020-04-08,1
UK513,2020-04-08,2020-04-08,2
UK49,2020-04-14,2020-04-14,1
UK5098,2020-04-08,2020-04-08,1
UK394,2020-04-08,2020-04-08,1
UK411,2020-04-11,2020-04-12,3
UK420,2020-04-11,2020-04-11,1
UK829,2020-04-13,2020-04-13,1
UK185,2020-04-08,2020-04-08,1
UK269,2020-04-09,2020-04-09,1
