Name,oldest_sequence,newest_sequence,number_taxa
UK15,2020-03-30,2020-05-03,8
UK89,2020-03-22,2020-06-05,23
UK755,2020-05-04,2020-05-05,2
UK39,2020-04-15,2020-05-03,2
UK5,2020-03-12,2020-06-14,260
UK199,2020-03-23,2020-06-08,13
UK591,2020-05-03,2020-05-03,1
UK398,2020-05-02,2020-05-02,1
UK606,2020-03-28,2020-04-28,2
UK2464,2020-03-19,2020-06-07,63
UK335,2020-06-05,2020-06-05,1
UK107,2020-03-18,2020-06-02,24
UK320,2020-04-11,2020-06-02,6
UK47,2020-05-18,2020-05-18,1
UK607,2020-03-02,2020-05-18,31
UK4,2020-03-04,2020-04-29,33
UK5561,2020-03-11,2020-04-22,29
UK5676,2020-03-18,2020-05-06,11
UK72,2020-03-18,2020-05-05,9
UK42,2020-03-17,2020-04-29,30
UK216,2020-04-29,2020-04-29,2
UK371,2020-03-30,2020-05-01,4
UK954,2020-04-29,2020-04-29,1
UK513,2020-03-16,2020-04-12,18
UK98,2020-04-29,2020-04-30,3
UK2916,2020-03-25,2020-05-01,5
UK266,2020-04-06,2020-04-30,11
UK166,2020-04-30,2020-04-30,1
UK5498,2020-04-20,2020-04-20,1
UK75,2020-03-17,2020-04-26,18
UK273,2020-04-24,2020-04-24,1
UK116,2020-04-24,2020-04-24,1
UK71,2020-03-16,2020-04-17,4
UK36,2020-04-05,2020-04-16,5
UK572,2020-03-24,2020-04-11,7
UK85,2020-04-02,2020-04-11,2
UK461,2020-04-10,2020-04-10,1
UK403,2020-04-03,2020-04-10,2
UK713,2020-04-03,2020-04-11,4
UK31,2020-03-21,2020-04-12,14
UK101,2020-04-09,2020-04-09,1
UK632,2020-04-09,2020-04-09,2
UK276,2020-04-09,2020-04-09,1
UK348,2020-04-09,2020-04-09,1
UK5649,2020-03-22,2020-04-07,2
UK3493,2020-04-07,2020-04-07,1
UK1207,2020-04-07,2020-04-07,1
UK2913,2020-04-08,2020-04-08,1
UK571,2020-03-21,2020-04-06,5
UK521,2020-04-05,2020-04-05,1
UK5720,2020-04-05,2020-04-05,1
UK2890,2020-04-07,2020-04-07,1
UK4492,2020-04-05,2020-04-05,1
UK494,2020-04-05,2020-04-05,1
UK167,2020-04-04,2020-04-04,2
UK66,2020-04-04,2020-04-05,2
UK445,2020-04-04,2020-04-04,1
UK131,2020-03-16,2020-04-04,4
UK55,2020-04-02,2020-04-02,1
UK158,2020-04-03,2020-04-03,1
UK77,2020-04-01,2020-04-01,1
UK207,2020-04-02,2020-04-02,1
UK613,2020-03-31,2020-03-31,1
UK2735,2020-03-28,2020-03-29,3
UK1369,2020-03-29,2020-03-29,1
UK232,2020-03-30,2020-03-30,1
UK601,2020-03-24,2020-03-27,2
UK5549,2020-03-27,2020-03-30,2
UK553,2020-03-27,2020-03-27,2
UK1817,2020-03-28,2020-03-28,1
UK829,2020-03-12,2020-03-24,3
UK497,2020-03-30,2020-03-30,1
UK196,2020-03-29,2020-03-29,1
UK339,2020-03-23,2020-03-30,2
UK51,2020-03-29,2020-03-29,1
UK4491,2020-03-30,2020-03-30,1
UK2889,2020-03-25,2020-03-25,1
UK708,2020-03-29,2020-03-29,1
UK252,2020-03-29,2020-03-29,1
UK384,2020-03-14,2020-03-29,6
UK1050,2020-03-25,2020-03-25,1
UK49,2020-03-22,2020-03-22,1
UK1447,2020-03-24,2020-03-24,1
UK5653,2020-03-24,2020-03-24,1
UK463,2020-03-19,2020-03-19,1
UK5741,2020-03-20,2020-03-20,1
UK361,2020-03-14,2020-03-14,1
UK5719,2020-03-17,2020-03-17,1
