Name,oldest_sequence,newest_sequence,number_taxa
UK238,2020-03-19,2020-04-14,40
UK2587,2020-04-10,2020-04-10,1
UK631,2020-04-12,2020-04-12,1
UK514,2020-03-30,2020-04-13,19
UK2622,2020-04-10,2020-04-10,1
UK29,2020-04-07,2020-04-11,3
UK806,2020-04-04,2020-04-10,4
UK311,2020-03-20,2020-04-11,9
UK2637,2020-04-07,2020-04-07,1
UK9,2020-04-04,2020-04-12,4
UK3378,2020-04-08,2020-04-08,1
UK475,2020-04-09,2020-04-09,1
UK921,2020-04-05,2020-04-05,1
UK64,2020-04-06,2020-04-13,4
UK2688,2020-04-08,2020-04-08,1
UK4719,2020-04-07,2020-04-07,1
UK2809,2020-04-06,2020-04-06,1
UK2810,2020-04-09,2020-04-09,1
UK812,2020-04-07,2020-04-13,4
UK2604,2020-04-07,2020-04-07,1
UK608,2020-04-11,2020-04-11,1
UK3379,2020-04-04,2020-04-04,1
UK162,2020-04-05,2020-04-05,1
UK2616,2020-03-30,2020-03-30,1
UK382,2020-04-09,2020-04-12,2
UK353,2020-04-10,2020-04-10,1
UK847,2020-04-05,2020-04-05,1
UK111,2020-04-07,2020-04-07,1
UK177,2020-04-07,2020-04-10,5
UK487,2020-04-05,2020-04-08,3
UK225,2020-03-08,2020-04-09,10
UK3380,2020-04-05,2020-04-05,1
UK2598,2020-04-07,2020-04-07,1
UK263,2020-04-07,2020-04-13,4
UK1806,2020-04-07,2020-04-07,1
UK2210,2020-03-29,2020-03-29,1
UK2709,2020-04-11,2020-04-11,1
UK147,2020-04-12,2020-04-12,1
UK5,2020-03-17,2020-04-12,17
UK1101,2020-04-09,2020-04-09,1
UK2573,2020-04-11,2020-04-11,1
UK413,2020-03-23,2020-03-23,1
UK2644,2020-04-06,2020-04-06,1
UK47,2020-04-06,2020-04-06,1
UK848,2020-04-07,2020-04-12,2
UK2649,2020-04-07,2020-04-07,1
UK3381,2020-04-05,2020-04-05,1
UK3382,2020-04-05,2020-04-05,1
UK148,2020-04-07,2020-04-07,1
UK846,2020-04-11,2020-04-11,1
UK2597,2020-04-08,2020-04-08,1
UK629,2020-04-08,2020-04-13,2
UK4720,2020-04-08,2020-04-08,1
UK885,2020-04-08,2020-04-12,3
UK725,2020-04-11,2020-04-12,2
UK2823,2020-04-09,2020-04-09,1
UK1008,2020-03-20,2020-03-20,1
UK3383,2020-04-13,2020-04-13,1
UK3384,2020-04-09,2020-04-09,1
UK4721,2020-04-07,2020-04-07,1
UK710,2020-04-05,2020-04-05,1
UK805,2020-03-28,2020-03-28,1
UK2679,2020-03-28,2020-03-28,1
UK2603,2020-04-10,2020-04-10,1
UK18,2020-04-05,2020-04-07,3
UK2663,2020-04-07,2020-04-07,1
UK4550,2020-04-05,2020-04-05,1
UK276,2020-04-08,2020-04-08,1
UK2621,2020-04-09,2020-04-09,1
UK2617,2020-04-07,2020-04-07,1
UK2827,2020-04-12,2020-04-12,1
UK3031,2020-04-07,2020-04-07,1
UK3385,2020-04-13,2020-04-13,1
UK2575,2020-04-13,2020-04-13,1
UK3386,2020-04-07,2020-04-07,2
UK3387,2020-04-07,2020-04-07,1
UK4451,2020-03-27,2020-03-27,1
UK2569,2020-04-01,2020-04-01,1
UK77,2020-04-11,2020-04-12,2
UK2623,2020-04-12,2020-04-12,1
UK3388,2020-04-13,2020-04-13,1
UK2564,2020-04-11,2020-04-11,1
UK2606,2020-04-08,2020-04-08,1
UK3389,2020-04-12,2020-04-12,1
UK2665,2020-04-10,2020-04-10,1
UK1987,2020-04-10,2020-04-10,1
UK63,2020-04-12,2020-04-12,1
UK2713,2020-04-05,2020-04-05,1
UK3390,2020-04-10,2020-04-10,1
UK2712,2020-04-11,2020-04-11,1
UK2632,2020-04-09,2020-04-09,1
UK3391,2020-04-07,2020-04-07,1
UK203,2020-04-07,2020-04-07,1
UK2680,2020-04-07,2020-04-07,1
UK3392,2020-04-06,2020-04-06,1
UK4551,2020-03-27,2020-03-27,1
UK714,2020-04-09,2020-04-09,1
UK4722,2020-04-09,2020-04-09,1
UK3393,2020-04-11,2020-04-11,1
UK3394,2020-04-10,2020-04-10,1
UK2701,2020-04-07,2020-04-07,1
UK89,2020-04-05,2020-04-08,7
UK112,2020-04-08,2020-04-08,1
UK3479,2020-04-08,2020-04-08,1
UK2768,2020-04-08,2020-04-08,1
UK3480,2020-04-08,2020-04-08,2
UK1023,2020-04-07,2020-04-08,3
UK2601,2020-04-07,2020-04-07,1
UK51,2020-04-08,2020-04-08,3
UK3481,2020-04-07,2020-04-07,1
UK3482,2020-04-07,2020-04-07,1
UK1567,2020-04-07,2020-04-07,1
UK888,2020-04-05,2020-04-08,14
UK7,2020-04-05,2020-04-10,5
UK2707,2020-04-07,2020-04-07,1
UK181,2020-04-07,2020-04-08,3
UK5484,2020-04-08,2020-04-08,1
UK158,2020-04-07,2020-04-08,2
UK580,2020-04-08,2020-04-08,2
UK2641,2020-04-07,2020-04-07,1
UK223,2020-04-06,2020-04-06,1
UK309,2020-04-05,2020-04-07,3
UK1024,2020-04-07,2020-04-08,2
UK424,2020-04-07,2020-04-07,1
UK3483,2020-04-07,2020-04-07,1
UK83,2020-04-05,2020-04-08,4
UK3484,2020-04-07,2020-04-07,1
UK3485,2020-04-10,2020-04-10,1
UK411,2020-04-05,2020-04-07,3
UK4556,2020-04-08,2020-04-08,1
UK2240,2020-04-08,2020-04-08,1
UK1916,2020-04-07,2020-04-07,1
UK3486,2020-04-07,2020-04-07,1
UK1636,2020-04-07,2020-04-07,1
UK62,2020-04-11,2020-04-11,1
UK68,2020-04-05,2020-04-07,2
UK53,2020-04-06,2020-04-06,1
UK444,2020-04-06,2020-04-06,1
UK1003,2020-04-06,2020-04-07,4
UK326,2020-04-05,2020-04-06,2
UK1029,2020-04-06,2020-04-06,1
UK91,2020-04-05,2020-04-05,1
UK1183,2020-04-07,2020-04-07,1
UK4037,2020-04-06,2020-04-07,3
UK306,2020-04-04,2020-04-04,1
UK3652,2020-04-06,2020-04-06,1
UK1271,2020-04-07,2020-04-07,1
UK910,2020-04-06,2020-04-06,1
UK36,2020-04-05,2020-04-05,1
UK2625,2020-04-06,2020-04-06,1
UK5495,2020-04-07,2020-04-07,1
UK346,2020-04-05,2020-04-05,1
UK3653,2020-04-07,2020-04-07,1
UK2278,2020-04-07,2020-04-07,1
UK5728,2020-04-07,2020-04-07,1
UK3052,2020-04-07,2020-04-07,1
UK133,2020-04-07,2020-04-07,1
UK5710,2020-04-06,2020-04-06,1
