Lineage,Days,England,Scotland,Wales,Northern Ireland
UK89,2020-04-05,3,0,0,0
UK89,2020-04-05,3,0,0,0
UK89,2020-04-05,3,0,0,0
UK89,2020-04-07,2,0,0,0
UK89,2020-04-07,2,0,0,0
UK89,2020-04-08,2,0,0,0
UK89,2020-04-08,2,0,0,0
UK888,2020-04-05,5,0,0,0
UK888,2020-04-05,5,0,0,0
UK888,2020-04-05,5,0,0,0
UK888,2020-04-05,5,0,0,0
UK888,2020-04-05,5,0,0,0
UK888,2020-04-06,1,0,0,0
UK888,2020-04-07,2,0,0,0
UK888,2020-04-07,2,0,0,0
UK888,2020-04-08,6,0,0,0
UK888,2020-04-08,6,0,0,0
UK888,2020-04-08,6,0,0,0
UK888,2020-04-08,6,0,0,0
UK888,2020-04-08,6,0,0,0
UK888,2020-04-08,6,0,0,0
UK225,2020-03-08,1,0,0,0
UK225,2020-03-12,1,0,0,0
UK225,2020-03-17,1,0,0,0
UK225,2020-04-04,1,0,0,0
UK225,2020-04-06,2,0,0,0
UK225,2020-04-06,2,0,0,0
UK225,2020-04-07,3,0,0,0
UK225,2020-04-07,3,0,0,0
UK225,2020-04-07,3,0,0,0
UK225,2020-04-09,1,0,0,0
UK311,2020-03-20,1,0,0,0
UK311,2020-03-29,1,0,0,0
UK311,2020-04-02,1,0,0,0
UK311,2020-04-05,2,0,0,0
UK311,2020-04-05,2,0,0,0
UK311,2020-04-07,2,0,0,0
UK311,2020-04-07,2,0,0,0
UK311,2020-04-09,1,0,0,0
UK311,2020-04-11,1,0,0,0
UK5,2020-03-17,1,0,0,0
UK5,2020-03-23,1,0,0,0
UK5,2020-04-04,1,0,0,0
UK5,2020-04-05,4,0,0,0
UK5,2020-04-05,4,0,0,0
UK5,2020-04-05,4,0,0,0
UK5,2020-04-05,4,0,0,0
UK5,2020-04-06,1,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-08,1,0,0,0
UK5,2020-04-10,3,0,0,0
UK5,2020-04-10,3,0,0,0
UK5,2020-04-10,3,0,0,0
UK5,2020-04-11,1,0,0,0
UK5,2020-04-12,1,0,0,0
UK514,2020-03-30,1,0,0,0
UK514,2020-04-01,1,0,0,0
UK514,2020-04-06,2,0,0,0
UK514,2020-04-06,2,0,0,0
UK514,2020-04-07,2,0,0,0
UK514,2020-04-07,2,0,0,0
UK514,2020-04-08,1,0,0,0
UK514,2020-04-09,4,0,0,0
UK514,2020-04-09,4,0,0,0
UK514,2020-04-09,4,0,0,0
UK514,2020-04-09,4,0,0,0
UK514,2020-04-10,4,0,0,0
UK514,2020-04-10,4,0,0,0
UK514,2020-04-10,4,0,0,0
UK514,2020-04-10,4,0,0,0
UK514,2020-04-11,2,0,0,0
UK514,2020-04-11,2,0,0,0
UK514,2020-04-13,2,0,0,0
UK514,2020-04-13,2,0,0,0
UK238,2020-03-19,1,0,0,0
UK238,2020-03-29,2,0,0,0
UK238,2020-03-29,2,0,0,0
UK238,2020-03-30,1,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-05,6,0,0,0
UK238,2020-04-06,2,0,0,0
UK238,2020-04-06,2,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-07,7,0,0,0
UK238,2020-04-08,5,0,0,0
UK238,2020-04-08,5,0,0,0
UK238,2020-04-08,5,0,0,0
UK238,2020-04-08,5,0,0,0
UK238,2020-04-08,5,0,0,0
UK238,2020-04-09,2,0,0,0
UK238,2020-04-09,2,0,0,0
UK238,2020-04-10,5,0,0,0
UK238,2020-04-10,5,0,0,0
UK238,2020-04-10,5,0,0,0
UK238,2020-04-10,5,0,0,0
UK238,2020-04-10,5,0,0,0
UK238,2020-04-11,1,0,0,0
UK238,2020-04-12,2,0,0,0
UK238,2020-04-12,2,0,0,0
UK238,2020-04-13,5,0,0,0
UK238,2020-04-13,5,0,0,0
UK238,2020-04-13,5,0,0,0
UK238,2020-04-13,5,0,0,0
UK238,2020-04-13,5,0,0,0
UK238,2020-04-14,1,0,0,0
