Name,oldest_sequence,newest_sequence,number_taxa
UK2908,2020-05-03,2020-05-03,1
UK5300,2020-05-04,2020-05-06,6
UK5,2020-02-23,2020-05-19,788
UK480,2020-04-03,2020-05-18,15
UK973,2020-05-14,2020-05-14,4
UK9,2020-03-09,2020-05-15,84
UK98,2020-03-24,2020-05-14,2
UK518,2020-03-23,2020-05-14,4
UK467,2020-05-04,2020-05-04,1
UK531,2020-05-14,2020-05-14,2
UK107,2020-02-09,2020-05-07,607
UK42,2020-02-03,2020-05-13,201
UK5745,2020-05-14,2020-05-14,1
UK15,2020-02-27,2020-05-06,72
UK204,2020-05-11,2020-05-11,1
UK5549,2020-03-04,2020-05-18,13
UK474,2020-05-06,2020-05-06,1
UK2735,2020-03-18,2020-05-13,32
UK5741,2020-03-09,2020-05-06,34
UK376,2020-03-11,2020-04-30,16
UK51,2020-04-20,2020-05-11,4
UK494,2020-03-26,2020-04-28,11
UK5696,2020-05-02,2020-05-02,1
UK287,2020-03-28,2020-04-24,2
UK2464,2020-03-09,2020-05-04,50
UK2292,2020-04-28,2020-04-28,1
UK13,2020-04-08,2020-04-30,3
UK3126,2020-05-04,2020-05-04,3
UK248,2020-05-04,2020-05-04,1
UK486,2020-04-28,2020-04-28,1
UK2200,2020-02-28,2020-05-04,14
UK5308,2020-05-01,2020-05-01,4
UK77,2020-03-11,2020-05-05,43
UK492,2020-03-27,2020-05-04,3
UK2073,2020-04-28,2020-04-28,1
UK3781,2020-03-09,2020-04-30,5
UK477,2020-03-25,2020-04-30,2
UK632,2020-03-25,2020-05-01,13
UK72,2020-02-05,2020-05-01,99
UK3692,2020-03-09,2020-04-30,5
UK565,2020-03-11,2020-05-01,23
UK5502,2020-04-28,2020-04-28,1
UK4125,2020-04-30,2020-04-30,1
UK63,2020-03-18,2020-05-04,45
UK199,2020-02-26,2020-04-29,36
UK46,2020-03-02,2020-04-29,9
UK1867,2020-04-13,2020-04-30,2
UK513,2020-03-12,2020-04-29,10
UK829,2020-03-03,2020-04-29,43
UK5498,2020-03-06,2020-04-28,9
UK28,2020-03-13,2020-04-29,3
UK66,2020-03-28,2020-04-28,10
UK509,2020-04-07,2020-04-21,2
UK61,2020-04-03,2020-04-21,2
UK3929,2020-03-06,2020-04-23,21
UK749,2020-04-20,2020-04-27,2
UK340,2020-03-23,2020-04-27,3
UK1207,2020-03-30,2020-03-31,3
UK468,2020-04-13,2020-04-14,4
UK2028,2020-04-16,2020-04-16,2
UK335,2020-04-16,2020-04-16,1
UK4237,2020-04-14,2020-04-18,8
UK268,2020-04-15,2020-04-16,3
UK27,2020-03-05,2020-04-14,5
UK3021,2020-03-12,2020-04-15,10
UK5180,2020-03-07,2020-04-19,23
UK574,2020-03-31,2020-04-13,2
UK85,2020-03-09,2020-04-17,28
UK404,2020-03-01,2020-04-12,23
UK508,2020-02-16,2020-02-16,1
UK407,2020-04-16,2020-04-16,1
UK3269,2020-04-08,2020-04-08,1
UK254,2020-04-08,2020-04-20,2
UK31,2020-03-11,2020-04-19,18
UK2888,2020-04-09,2020-04-09,3
UK102,2020-04-20,2020-04-20,1
UK203,2020-03-22,2020-04-19,2
UK424,2020-04-14,2020-04-14,1
UK242,2020-03-30,2020-04-20,8
UK275,2020-03-09,2020-04-21,20
UK759,2020-03-30,2020-04-04,3
UK215,2020-04-21,2020-04-21,1
UK2913,2020-03-07,2020-04-20,75
UK99,2020-04-20,2020-04-20,2
UK38,2020-03-04,2020-04-20,7
UK65,2020-03-07,2020-04-17,5
UK3045,2020-04-15,2020-04-15,1
UK18,2020-03-11,2020-04-10,20
UK5676,2020-02-14,2020-04-13,121
UK6,2020-03-06,2020-04-20,7
UK94,2020-03-12,2020-04-19,26
UK377,2020-04-19,2020-04-19,1
UK471,2020-04-18,2020-04-18,1
UK470,2020-04-11,2020-04-19,4
UK71,2020-03-08,2020-04-17,3
UK454,2020-03-22,2020-04-13,5
UK401,2020-04-14,2020-04-14,1
UK131,2020-03-11,2020-04-08,6
UK5084,2020-04-13,2020-04-13,2
UK276,2020-03-10,2020-04-15,10
UK119,2020-03-11,2020-04-16,13
UK222,2020-03-26,2020-04-01,3
UK49,2020-03-12,2020-04-07,3
UK160,2020-04-03,2020-04-03,1
UK643,2020-03-24,2020-04-03,4
UK167,2020-03-06,2020-04-12,24
UK507,2020-03-20,2020-04-14,4
UK387,2020-03-13,2020-04-01,2
UK497,2020-03-29,2020-04-09,6
UK339,2020-02-23,2020-04-09,34
UK187,2020-03-31,2020-04-02,4
UK5561,2020-02-25,2020-04-03,33
UK5650,2020-03-08,2020-03-14,4
UK2906,2020-03-06,2020-03-25,13
UK370,2020-03-06,2020-04-09,21
UK5307,2020-03-10,2020-03-10,2
UK138,2020-03-21,2020-03-26,2
UK2081,2020-03-11,2020-03-11,1
UK244,2020-03-12,2020-04-06,4
UK450,2020-03-30,2020-03-30,2
UK274,2020-03-06,2020-04-02,13
UK5715,2020-02-13,2020-03-07,10
UK805,2020-03-30,2020-03-30,1
UK604,2020-03-09,2020-03-12,10
UK932,2020-03-29,2020-04-03,3
UK240,2020-02-25,2020-03-31,24
UK134,2020-03-04,2020-03-25,5
UK394,2020-03-21,2020-03-21,1
UK385,2020-03-28,2020-03-28,3
UK47,2020-03-26,2020-04-13,4
UK241,2020-03-25,2020-04-07,16
UK2916,2020-02-03,2020-04-14,112
UK2263,2020-03-13,2020-03-13,1
UK1102,2020-03-28,2020-03-28,1
UK371,2020-03-12,2020-04-09,18
UK316,2020-04-16,2020-04-16,1
UK2069,2020-04-18,2020-04-18,1
UK580,2020-04-16,2020-04-16,1
UK64,2020-03-12,2020-04-17,10
UK1813,2020-04-16,2020-04-16,1
UK1721,2020-04-14,2020-04-14,1
UK517,2020-03-02,2020-04-15,20
UK243,2020-03-27,2020-04-15,2
UK4406,2020-04-12,2020-04-12,1
UK257,2020-03-20,2020-04-14,2
UK54,2020-03-11,2020-04-02,3
UK1903,2020-04-14,2020-04-14,1
UK111,2020-04-09,2020-04-09,1
UK36,2020-04-02,2020-04-02,1
UK3710,2020-04-14,2020-04-14,1
UK93,2020-04-09,2020-04-09,1
UK174,2020-03-30,2020-04-09,3
UK142,2020-04-09,2020-04-09,1
UK832,2020-03-09,2020-04-10,3
UK491,2020-03-03,2020-04-14,10
UK384,2020-02-28,2020-04-14,24
UK392,2020-03-30,2020-03-30,1
UK4567,2020-04-09,2020-04-09,1
UK553,2020-02-28,2020-03-01,2
UK34,2020-02-15,2020-04-02,15
UK378,2020-02-15,2020-03-05,13
UK756,2020-02-27,2020-03-05,8
UK788,2020-02-28,2020-03-05,10
UK172,2020-02-26,2020-02-26,1
UK1604,2020-04-06,2020-04-06,1
UK1,2020-04-02,2020-04-04,2
UK532,2020-04-03,2020-04-03,1
UK1337,2020-04-06,2020-04-06,1
UK37,2020-03-18,2020-04-02,17
UK510,2020-04-13,2020-04-13,1
UK484,2020-04-02,2020-04-02,1
UK326,2020-03-22,2020-04-03,2
UK109,2020-03-12,2020-03-31,5
UK1174,2020-04-02,2020-04-02,1
UK212,2020-03-31,2020-04-03,2
UK511,2020-03-31,2020-03-31,1
UK475,2020-03-31,2020-03-31,1
UK3832,2020-03-31,2020-03-31,1
UK797,2020-03-25,2020-03-31,4
UK125,2020-04-07,2020-04-07,1
UK120,2020-02-03,2020-03-31,45
UK501,2020-03-02,2020-03-31,9
UK739,2020-03-01,2020-03-08,8
UK1644,2020-03-30,2020-03-30,1
UK41,2020-02-29,2020-03-26,20
UK945,2020-03-03,2020-03-05,4
UK629,2020-03-23,2020-04-02,4
UK91,2020-03-01,2020-03-06,3
UK485,2020-03-02,2020-04-06,5
UK380,2020-03-18,2020-04-06,2
UK178,2020-03-14,2020-04-04,6
UK654,2020-02-27,2020-03-08,6
UK799,2020-03-01,2020-03-07,6
UK4,2020-02-28,2020-03-31,40
UK3,2020-04-02,2020-04-02,1
UK5309,2020-03-20,2020-04-03,2
UK605,2020-03-01,2020-03-01,1
UK4232,2020-04-07,2020-04-07,1
UK170,2020-03-02,2020-03-28,3
UK903,2020-02-28,2020-03-02,3
UK590,2020-03-15,2020-04-01,4
UK133,2020-04-06,2020-04-06,1
UK586,2020-04-07,2020-04-07,1
UK745,2020-03-27,2020-04-03,3
UK538,2020-03-30,2020-03-30,1
UK89,2020-03-25,2020-04-04,4
UK904,2020-03-03,2020-03-06,2
UK1087,2020-02-27,2020-02-27,1
UK83,2020-02-29,2020-03-13,3
UK2337,2020-03-05,2020-03-24,3
UK337,2020-03-03,2020-03-03,1
UK1966,2020-03-01,2020-03-01,1
UK329,2020-03-06,2020-03-06,1
UK1880,2020-03-01,2020-03-01,1
UK315,2020-03-04,2020-03-06,2
UK237,2020-03-07,2020-03-07,1
UK232,2020-03-04,2020-03-04,4
UK22,2020-03-02,2020-03-18,7
UK1093,2020-03-07,2020-03-07,1
UK333,2020-03-04,2020-03-04,1
UK677,2020-03-09,2020-03-18,5
UK70,2020-03-06,2020-03-28,2
UK2245,2020-03-08,2020-03-08,1
UK4419,2020-03-06,2020-03-06,1
UK86,2020-03-05,2020-04-01,4
UK1896,2020-03-06,2020-03-06,1
UK3044,2020-03-08,2020-03-08,1
UK755,2020-03-06,2020-03-06,1
UK19,2020-03-09,2020-03-09,1
UK152,2020-03-04,2020-03-07,2
UK5653,2020-03-10,2020-03-31,5
UK73,2020-03-09,2020-03-24,2
UK148,2020-03-09,2020-03-09,1
UK4396,2020-03-09,2020-03-09,1
UK4473,2020-03-10,2020-03-10,1
UK202,2020-03-10,2020-03-15,2
UK5776,2020-03-10,2020-03-10,1
