Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK2916	127 (100.0%)	Feb-03, Apr-30	127	B.1, B.1.p11	19	0.0363
UK5	100 (100.0%)	Mar-03, May-10	100	B.1.1.1	9	0.0763
UK9	84 (100.0%)	Mar-09, May-15	84	B.1.13	4	0.2018
UK107	68 (100.0%)	Mar-15, Apr-21	68	B.2.1, B.2, B.2.5	28	0.0197
UK2464	51 (100.0%)	Mar-09, May-04	51	B.1.p11	15	0.0747
UK77	48 (100.0%)	Mar-11, May-05	48	B.2, B.2.4	14	0.0836
UK4	42 (100.0%)	Feb-28, Mar-31	42	B	49	0.0159
UK2913	38 (100.0%)	Mar-10, Apr-15	38	B.1.p11	34	0.0286
UK339	34 (100.0%)	Feb-23, Apr-09	34	B.3	40	0.0348
UK63	32 (100.0%)	Mar-18, Apr-15	32	B.1.1	34	0.0266
UK116	28 (100.0%)	Feb-25, Apr-01	28	B.2.1	48	0.0278
UK94	28 (100.0%)	Mar-12, Apr-19	28	B.2.1, B.2	30	0.0469
UK3	24 (100.0%)	Feb-24, Apr-05	24	B.1	44	0.0405
UK190	23 (100.0%)	Mar-01, Apr-12	23	B.1	37	0.0516
UK19	22 (100.0%)	Mar-09, May-01	22	B.1	18	0.1402
UK300	22 (100.0%)	Mar-30, May-04	22	B.1.1	15	0.1111
UK18	20 (100.0%)	Mar-11, Apr-10	20	B.1.1.7	39	0.0405
UK89	20 (100.0%)	Mar-11, Apr-30	20	B.1.1.9	19	0.1385
UK2735	19 (100.0%)	Mar-24, May-04	19	B.1.1	15	0.1519
UK37	17 (100.0%)	Mar-18, Apr-02	17	B.1.30, B.1	47	0.0199
UK241	16 (100.0%)	Mar-25, Apr-07	16	B.1.5.3	42	0.0206
UK117	15 (100.0%)	Feb-28, Mar-22	15	B.2.1	58	0.0283
UK274	15 (100.0%)	Mar-06, Apr-02	15	B, B.3	47	0.041
UK722	15 (100.0%)	Apr-03, May-18	15	B.1.1	1	3.2143
UK403	14 (100.0%)	Mar-23, Mar-31	14	B.1.1	49	0.0126
UK41	14 (100.0%)	Mar-01, Mar-26	14	B.1	54	0.0356
UK632	14 (100.0%)	Mar-25, May-01	14	B.1.1	18	0.1581
UK62	14 (100.0%)	Mar-12, Apr-19	14	B.3	30	0.0974
UK112	14 (100.0%)	Mar-15, Mar-31	14	B.1.1	49	0.0251
UK2200	14 (100.0%)	Feb-28, May-04	14	B.1.5, B.1.5.6	15	0.3385
UK12	13 (100.0%)	Mar-12, Apr-15	13	B.1.p11	34	0.0833
UK119	13 (100.0%)	Mar-11, Apr-16	13	B.2.5	33	0.0909
UK5549	13 (100.0%)	Mar-04, May-18	13	B.2.2	1	6.25
UK378	13 (100.0%)	Feb-15, Mar-05	13	B.1.1	75	0.0211
UK371	13 (100.0%)	Mar-12, Mar-30	13	B.1.1	50	0.03
UK34	13 (100.0%)	Feb-15, Apr-02	13	B.4	47	0.0833
UK29	12 (100.0%)	Mar-09, May-04	12	B.1.1	15	0.3394
UK694	12 (100.0%)	Mar-06, Mar-14	12	B	66	0.011
UK347	12 (100.0%)	Mar-13, Apr-02	12	B.1	47	0.0387
UK143	12 (100.0%)	Mar-14, Apr-16	12	B.2.1	33	0.0909
UK494	11 (100.0%)	Mar-26, Apr-28	11	B.1.p11	21	0.1571
UK1018	11 (100.0%)	Apr-20, Apr-21	11	B.1.1	28	0.0036
UK53	10 (100.0%)	Mar-26, Apr-23	10	B.1.1.4	26	0.1197
UK5715	10 (100.0%)	Feb-13, Mar-07	10	B.2	73	0.035
UK604	10 (100.0%)	Mar-09, Mar-12	10	B.1.1	68	0.0049
UK428	10 (100.0%)	Mar-20, Apr-01	10	B.2.1, B.2	48	0.0278
UK291	10 (100.0%)	Mar-13, Apr-03	10	B.2.1	46	0.0507
UK5180	10 (100.0%)	Apr-12, Apr-19	10	B.1.1.7	30	0.0259
UK3021	10 (100.0%)	Mar-12, Apr-15	10	B.1	34	0.1111
UK513	10 (100.0%)	Mar-12, Apr-29	10	B.1.p11	20	0.2667
UK66	10 (100.0%)	Mar-28, Apr-28	10	B.1.1.8	21	0.164
UK687	9 (100.0%)	Feb-28, Mar-08	9	B.2.1, B.2	72	0.0156
UK64	9 (100.0%)	Mar-12, Apr-17	9	B.1	32	0.1406
UK5741	9 (100.0%)	Mar-01, Apr-17	9	B.2, B.1	32	0.1836
UK46	8 (100.0%)	Mar-02, Mar-24	8	B.2.1	56	0.0561
UK739	8 (100.0%)	Mar-01, Mar-08	8	B.4	72	0.0139
UK756	8 (100.0%)	Feb-27, Mar-05	8	B.1.1	75	0.0133
