Lineage name	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK61	373 (100.0%)	Mar-10, May-15	373	B.3	2	0.0887
UK158	193 (100.0%)	Mar-20, May-17	193	B.1.1.2	0	active today
UK632	145 (100.0%)	Mar-25, May-15	145	B.1.1	2	0.1771
UK5	140 (100.0%)	Mar-04, May-17	140	B.1.1.1	0	active today
UK3021	139 (100.0%)	Mar-29, May-16	139	B.1	1	0.3478
UK42	135 (100.0%)	Mar-07, May-16	135	B.1, B.1.35	1	0.5224
UK19	95 (100.0%)	Mar-17, May-15	95	B.1.44, B.1	2	0.3138
UK2464	77 (100.0%)	Mar-26, May-11	77	B.1.p11	6	0.1009
UK495	58 (100.0%)	Apr-01, May-14	58	B.1.p11	3	0.2515
UK2916	52 (100.0%)	Mar-25, May-10	52	B.1	7	0.1289
UK4507	44 (100.0%)	Apr-14, May-14	44	B.1	3	0.2326
UK86	36 (100.0%)	Mar-30, May-14	36	B.1	3	0.4286
UK5322	35 (100.0%)	Apr-08, May-15	35	B.1.1	2	0.5441
UK2200	34 (100.0%)	Mar-15, Apr-26	34	B.1.5, B.1.5.6	21	0.0606
UK298	29 (100.0%)	Mar-27, May-15	29	B.1.1	2	0.875
UK2913	29 (100.0%)	Mar-16, May-12	29	B.1.p11	5	0.4071
UK633	29 (100.0%)	Apr-03, May-11	29	B.1.1.16, B.1.1.p16	6	0.2262
UK187	28 (100.0%)	Mar-30, Apr-28	28	B.1	19	0.0565
UK179	24 (100.0%)	Mar-17, May-07	24	B.1.1.p11	10	0.2217
UK635	24 (100.0%)	Apr-07, May-16	24	B.1.1	1	1.6957
UK473	23 (100.0%)	Apr-02, Apr-29	23	B.1.1	18	0.0682
UK394	23 (100.0%)	Mar-17, Apr-17	23	B.1.1	30	0.047
UK472	18 (100.0%)	Apr-04, Apr-27	18	B.1.1.p11, B.1.1	20	0.0676
UK5556	17 (100.0%)	Mar-18, Apr-16	17	B.2.2	31	0.0585
UK392	16 (100.0%)	Mar-25, Apr-12	16	B.1.67	35	0.0343
UK5561	16 (100.0%)	Mar-30, May-15	16	B.2.2	2	1.5333
UK193	16 (100.0%)	Apr-01, May-13	16	B.1.1	4	0.7
UK322	16 (100.0%)	Mar-29, Apr-26	16	B.1	21	0.0889
UK4	15 (100.0%)	Mar-11, Apr-24	15	B	23	0.1366
UK504	15 (100.0%)	Mar-30, May-12	15	B.1.1	5	0.6143
UK277	15 (100.0%)	Mar-28, May-05	15	B.1.1	12	0.2262
UK339	13 (100.0%)	Mar-14, Apr-14	13	B.3	33	0.0783
UK603	13 (100.0%)	Mar-29, Apr-09	13	B.1.1	38	0.0241
UK571	13 (100.0%)	Apr-06, May-13	13	B.1.1	4	0.7708
UK211	12 (100.0%)	Mar-24, Apr-30	12	B.1.5	17	0.1979
UK64	12 (100.0%)	Mar-25, May-05	12	B.1	12	0.3106
UK474	12 (100.0%)	Apr-01, May-02	12	B.1.1	15	0.1879
UK471	11 (100.0%)	Mar-26, Apr-24	11	B.1.1	23	0.1261
UK5681	11 (100.0%)	Apr-03, Apr-27	11	B.2, B.1.1	20	0.12
UK3075	10 (100.0%)	Apr-17, May-04	10	B.1.1	13	0.1453
