UK_lineage,taxon
UK5680,Wales/PHWC-3573A/2020
UK5630,Wales/PHWC-35CFF/2020
UK5631,Wales/PHWC-35D0B/2020
UK5588,Wales/PHWC-358A0/2020
UK5589,Wales/PHWC-359E9/2020
UK5609,Wales/PHWC-359DA/2020
UK5590,Wales/PHWC-34BC6/2020
UK5681,Wales/PHWC-35F7E/2020
UK5740,Wales/PHWC-35DB0/2020
UK5632,Wales/PHWC-35CC2/2020
UK5591,Wales/PHWC-35846/2020
UK5633,Wales/PHWC-3598F/2020
UK5610,Wales/PHWC-356F1/2020
UK5634,Wales/PHWC-35BC5/2020
UK5561,Wales/PHWC-35882/2020
UK5635,Wales/PHWC-34953/2020
UK5636,Wales/PHWC-35B89/2020
UK5637,Wales/PHWC-35EBD/2020
UK5592,Wales/PHWC-35BB6/2020
UK5638,Wales/PHWC-35BF2/2020
UK5639,Wales/PHWC-35A9B/2020
UK5593,Wales/PHWC-36089/2020
UK5611,Wales/PHWC-357FE/2020
UK5640,Wales/PHWC-34E09/2020
UK5641,Wales/PHWC-3606B/2020
UK5580,Wales/PHWC-3610E/2020
UK9,Wales/PHWC-3420D/2020
UK2790,Wales/PHWC-32B7D/2020
UK1535,Wales/PHWC-32EFC/2020
UK3072,Wales/PHWC-32C89/2020
UK2092,Wales/PHWC-342C1/2020
UK3073,Wales/PHWC-32CD4/2020
UK1536,Wales/PHWC-32E74/2020
UK4661,Wales/PHWC-33B30/2020
UK2791,Wales/PHWC-33839/2020
UK1674,Wales/PHWC-3308C/2020
UK2093,Wales/PHWC-33CE2/2020
UK3074,Wales/PHWC-34434/2020
UK3076,Wales/PHWC-34917/2020
UK2829,Wales/PHWC-33D76/2020
UK3077,Wales/PHWC-33FDA/2020
UK3078,Wales/PHWC-33A8E/2020
UK5741,Wales/PHWC-347E0/2020
UK3080,Wales/PHWC-337A5/2020
UK1786,Wales/PHWC-348A1/2020
UK3081,Wales/PHWC-32C98/2020
UK2830,Wales/PHWC-34795/2020
UK3082,Wales/PHWC-33E91/2020
UK3083,Wales/PHWC-340D6/2020
UK2094,Wales/PHWC-32D0E/2020
UK2792,Wales/PHWC-330D7/2020
UK3084,Wales/PHWC-33857/2020
UK1675,Wales/PHWC-344BC/2020
UK2095,Wales/PHWC-33E73/2020
UK3085,Wales/PHWC-32CC5/2020
UK3086,Wales/PHWC-32D2C/2020
UK5742,Wales/PHWC-33E46/2020
UK2096,Wales/PHWC-344DA/2020
UK3087,Wales/PHWC-344AD/2020
UK3089,Wales/PHWC-344E9/2020
UK3090,Wales/PHWC-3430A/2020
UK3091,Wales/PHWC-32BAA/2020
UK3092,Wales/PHWC-33B9A/2020
UK1537,Wales/PHWC-32D77/2020
UK3093,Wales/PHWC-34856/2020
UK3094,Wales/PHWC-33AD9/2020
UK1787,Wales/PHWC-33F16/2020
UK1187,Wales/PHWC-340B8/2020
UK3095,Wales/PHWC-34294/2020
UK1327,Wales/PHWC-3374B/2020
UK3096,Wales/PHWC-32FDB/2020
UK1538,Wales/PHWC-34100/2020
UK2097,Wales/PHWC-34267/2020
UK2098,Wales/PHWC-342D0/2020
UK1613,Wales/PHWC-33B4F/2020
UK2099,Wales/PHWC-32C3E/2020
UK3097,Wales/PHWC-34874/2020
UK2100,Wales/PHWC-33E37/2020
UK2831,Wales/PHWC-34610/2020
UK109,Wales/PHWC-339EB/2020
UK3098,Wales/PHWC-330C8/2020
UK2101,Wales/PHWC-32D3B/2020
UK3099,Wales/PHWC-33ECE/2020
UK2102,Wales/PHWC-3473B/2020
UK3100,Wales/PHWC-34601/2020
UK1789,Wales/PHWC-29308/2020
UK2892,Wales/PHWC-321F3/2020
UK3140,Wales/PHWC-31AAE/2020
UK3141,Wales/PHWC-31D1E/2020
UK2107,Wales/PHWC-29520/2020
UK3142,Wales/PHWC-31974/2020
UK2108,Wales/PHWC-31A9F/2020
UK3143,Wales/PHWC-293AE/2020
UK2893,Wales/PHWC-2DFD3/2020
UK2109,Wales/PHWC-2949C/2020
UK3144,Wales/PHWC-324AF/2020
UK3148,Wales/PHWC-31B7E/2020
UK3149,Wales/PHWC-31A17/2020
UK1618,Wales/PHWC-29098/2020
UK2110,Wales/PHWC-31E2A/2020
UK36,Wales/PHWC-3230C/2020
UK2111,Wales/PHWC-31ABD/2020
UK1534,Wales/PHWC-2DE8B/2020
UK5694,Wales/PHWC-29344/2020
UK2112,Wales/PHWC-31F72/2020
UK2113,Wales/PHWC-2E0EE/2020
UK2114,Wales/PHWC-31D4B/2020
