Lineage,Days,England,Scotland,Wales,Northern Ireland
UK536,2020-03-27,0,0,1,0
UK536,2020-04-03,0,0,1,0
UK536,2020-04-04,0,0,2,0
UK536,2020-04-04,0,0,2,0
UK536,2020-04-07,0,0,1,0
UK536,2020-04-09,0,0,2,0
UK536,2020-04-09,0,0,2,0
UK603,2020-03-29,0,0,1,0
UK603,2020-03-30,0,0,1,0
UK603,2020-03-31,0,0,1,0
UK603,2020-04-01,0,0,1,0
UK603,2020-04-02,0,0,1,0
UK603,2020-04-03,0,0,3,0
UK603,2020-04-03,0,0,3,0
UK603,2020-04-03,0,0,3,0
UK603,2020-04-04,0,0,2,0
UK603,2020-04-04,0,0,2,0
UK603,2020-04-07,0,0,2,0
UK603,2020-04-07,0,0,2,0
UK603,2020-04-09,0,0,1,0
UK358,2020-03-31,0,0,1,0
UK358,2020-04-01,0,0,1,0
UK358,2020-04-04,0,0,1,0
UK358,2020-04-08,0,0,2,0
UK358,2020-04-08,0,0,2,0
UK358,2020-04-09,0,0,1,0
UK627,2020-03-31,0,0,1,0
UK627,2020-04-06,0,0,1,0
UK627,2020-04-07,0,0,1,0
UK627,2020-04-08,0,0,1,0
UK627,2020-04-10,0,0,2,0
UK627,2020-04-10,0,0,2,0
UK612,2020-03-31,0,0,2,0
UK612,2020-03-31,0,0,2,0
UK612,2020-04-04,0,0,1,0
UK612,2020-04-08,0,0,1,0
UK612,2020-04-10,0,0,1,0
UK612,2020-04-11,0,0,1,0
UK392,2020-03-25,0,0,3,0
UK392,2020-03-25,0,0,3,0
UK392,2020-03-25,0,0,3,0
UK392,2020-03-31,0,0,2,0
UK392,2020-03-31,0,0,2,0
UK392,2020-04-01,0,0,2,0
UK392,2020-04-01,0,0,2,0
UK392,2020-04-02,0,0,2,0
UK392,2020-04-02,0,0,2,0
UK392,2020-04-03,0,0,2,0
UK392,2020-04-03,0,0,2,0
UK392,2020-04-04,0,0,1,0
UK392,2020-04-05,0,0,1,0
UK392,2020-04-06,0,0,1,0
UK392,2020-04-07,0,0,1,0
UK392,2020-04-12,0,0,1,0
UK504,2020-03-30,0,0,1,0
UK504,2020-04-03,0,0,1,0
UK504,2020-04-04,0,0,1,0
UK504,2020-04-05,0,0,2,0
UK504,2020-04-05,0,0,2,0
UK504,2020-04-06,0,0,2,0
UK504,2020-04-06,0,0,2,0
UK504,2020-04-10,0,0,1,0
UK504,2020-04-11,0,0,2,0
UK504,2020-04-11,0,0,2,0
UK504,2020-04-12,0,0,1,0
UK504,2020-04-13,0,0,1,0
UK530,2020-03-31,0,0,1,0
UK530,2020-04-01,0,0,2,0
UK530,2020-04-01,0,0,2,0
UK530,2020-04-03,0,0,1,0
UK530,2020-04-05,0,0,1,0
UK530,2020-04-06,0,0,2,0
UK530,2020-04-06,0,0,2,0
UK530,2020-04-07,0,0,1,0
UK530,2020-04-08,0,0,1,0
UK530,2020-04-10,0,0,1,0
UK530,2020-04-13,0,0,1,0
UK303,2020-03-25,0,0,1,0
UK303,2020-03-30,0,0,1,0
UK303,2020-04-02,0,0,1,0
UK303,2020-04-03,0,0,1,0
UK303,2020-04-06,0,0,1,0
UK303,2020-04-14,0,0,5,0
UK303,2020-04-14,0,0,5,0
UK303,2020-04-14,0,0,5,0
UK303,2020-04-14,0,0,5,0
UK303,2020-04-14,0,0,5,0
UK119,2020-03-30,0,0,2,0
UK119,2020-03-30,0,0,2,0
UK119,2020-04-02,0,0,1,0
UK119,2020-04-03,0,0,1,0
UK119,2020-04-10,0,0,1,0
UK119,2020-04-11,0,0,1,0
UK119,2020-04-14,0,0,1,0
UK339,2020-03-25,0,0,1,0
UK339,2020-03-27,0,0,1,0
UK339,2020-03-31,0,0,1,0
UK339,2020-04-02,0,0,1,0
UK339,2020-04-03,0,0,1,0
UK339,2020-04-12,0,0,1,0
UK339,2020-04-14,0,0,1,0
UK750,2020-04-07,0,0,1,0
UK750,2020-04-08,0,0,1,0
UK750,2020-04-09,0,0,1,0
UK750,2020-04-10,0,0,4,0
UK750,2020-04-10,0,0,4,0
UK750,2020-04-10,0,0,4,0
UK750,2020-04-10,0,0,4,0
UK750,2020-04-14,0,0,1,0
UK750,2020-04-15,0,0,1,0
UK5556,2020-03-18,0,0,1,0
UK5556,2020-03-20,0,0,1,0
UK5556,2020-03-30,0,0,1,0
UK5556,2020-03-31,0,0,3,0
UK5556,2020-03-31,0,0,3,0
UK5556,2020-03-31,0,0,3,0
UK5556,2020-04-01,0,0,1,0
