Name,oldest_sequence,newest_sequence,number_taxa
UK29,2020-05-07,2020-05-08,2
UK177,2020-04-29,2020-05-08,4
UK238,2020-04-28,2020-05-07,5
UK806,2020-04-26,2020-05-08,8
UK2916,2020-05-07,2020-05-07,1
UK95,2020-04-25,2020-05-07,3
UK161,2020-04-27,2020-05-19,5
UK53,2020-05-05,2020-05-05,1
UK2045,2020-04-24,2020-05-09,7
UK2464,2020-04-24,2020-05-25,7
UK2888,2020-05-14,2020-05-14,1
UK2906,2020-05-12,2020-05-22,9
UK342,2020-05-10,2020-05-10,1
UK573,2020-04-28,2020-04-28,4
UK5648,2020-04-28,2020-04-28,1
