Lineage,Days,England,Scotland,Wales,Northern Ireland
UK806,2020-04-26,2,0,0,0
UK806,2020-04-26,2,0,0,0
UK806,2020-04-27,1,0,0,0
UK806,2020-05-06,4,0,0,0
UK806,2020-05-06,4,0,0,0
UK806,2020-05-06,4,0,0,0
UK806,2020-05-06,4,0,0,0
UK806,2020-05-08,1,0,0,0
UK2045,2020-04-24,1,0,0,0
UK2045,2020-04-28,1,0,0,0
UK2045,2020-04-29,3,0,0,0
UK2045,2020-04-29,3,0,0,0
UK2045,2020-04-29,3,0,0,0
UK2045,2020-05-07,1,0,0,0
UK2045,2020-05-09,1,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-12,8,0,0,0
UK2906,2020-05-22,1,0,0,0
UK2464,2020-04-24,1,0,0,0
UK2464,2020-04-25,1,0,0,0
UK2464,2020-04-27,4,0,0,0
UK2464,2020-04-27,4,0,0,0
UK2464,2020-04-27,4,0,0,0
UK2464,2020-04-27,4,0,0,0
UK2464,2020-05-25,1,0,0,0
