Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-03-07,2020-05-25,323
UK5523,2020-05-01,2020-05-23,7
UK5309,2020-03-25,2020-04-29,15
UK5338,2020-04-29,2020-05-02,9
UK726,2020-04-04,2020-05-01,11
UK5666,2020-03-20,2020-04-05,5
UK634,2020-03-30,2020-04-18,6
UK5084,2020-03-31,2020-04-15,6
UK346,2020-03-16,2020-04-19,34
UK147,2020-04-04,2020-05-02,4
UK5259,2020-04-29,2020-04-30,2
UK5893,2020-04-01,2020-04-15,2
UK5339,2020-04-15,2020-04-29,11
UK5260,2020-04-05,2020-05-02,11
UK5340,2020-05-01,2020-05-01,1
UK5522,2020-04-15,2020-04-15,1
UK115,2020-03-17,2020-04-20,53
UK767,2020-03-31,2020-04-16,5
UK177,2020-03-27,2020-05-01,56
UK5341,2020-05-01,2020-05-01,1
UK45,2020-03-26,2020-04-15,8
UK5342,2020-05-01,2020-05-01,1
UK998,2020-04-06,2020-04-18,4
UK63,2020-03-28,2020-04-30,33
UK109,2020-03-21,2020-05-01,20
UK66,2020-03-18,2020-05-01,52
UK776,2020-03-19,2020-04-16,5
UK441,2020-04-04,2020-05-01,9
UK2056,2020-05-01,2020-05-01,1
UK368,2020-03-18,2020-05-01,11
UK129,2020-04-09,2020-04-29,4
UK360,2020-03-14,2020-04-16,5
UK5217,2020-04-09,2020-04-14,2
UK637,2020-03-28,2020-05-01,12
UK5343,2020-04-15,2020-04-15,1
UK5344,2020-05-01,2020-05-01,1
UK5211,2020-04-08,2020-04-15,3
UK28,2020-03-26,2020-05-01,31
UK3201,2020-04-01,2020-04-01,1
UK5524,2020-04-15,2020-04-15,1
UK61,2020-03-12,2020-04-18,20
UK3960,2020-03-31,2020-04-01,2
UK179,2020-03-26,2020-04-18,14
UK5345,2020-04-16,2020-04-16,2
UK1023,2020-04-16,2020-04-16,2
UK923,2020-04-03,2020-04-15,4
UK350,2020-04-14,2020-04-15,2
UK2548,2020-03-29,2020-04-29,4
UK5346,2020-04-28,2020-04-28,1
UK4244,2020-04-29,2020-04-29,1
UK5091,2020-04-16,2020-04-16,1
UK1006,2020-04-04,2020-04-29,7
UK70,2020-03-28,2020-04-16,6
UK5515,2020-04-16,2020-04-16,1
UK251,2020-03-26,2020-05-02,8
UK511,2020-04-05,2020-04-29,7
UK5347,2020-04-30,2020-05-01,3
UK1027,2020-04-03,2020-04-29,3
UK1766,2020-04-11,2020-04-11,1
UK5319,2020-04-11,2020-04-11,1
UK5348,2020-04-15,2020-04-15,1
UK158,2020-03-23,2020-04-19,19
UK3295,2020-03-17,2020-04-01,2
UK5525,2020-03-31,2020-04-15,4
UK5097,2020-04-01,2020-04-01,1
UK2045,2020-03-17,2020-04-29,10
UK995,2020-04-05,2020-04-11,2
UK4502,2020-05-01,2020-05-01,1
UK913,2020-04-03,2020-04-29,7
UK105,2020-03-31,2020-04-15,4
UK5349,2020-04-10,2020-04-16,4
UK5741,2020-03-30,2020-04-19,16
UK5208,2020-03-31,2020-04-30,3
UK71,2020-03-26,2020-04-30,5
UK112,2020-03-21,2020-05-04,30
UK5350,2020-04-16,2020-04-16,1
UK214,2020-03-14,2020-05-01,12
UK712,2020-04-28,2020-04-28,1
UK1981,2020-04-18,2020-04-30,3
UK5637,2020-04-29,2020-04-29,1
UK5498,2020-04-01,2020-04-20,13
UK563,2020-03-30,2020-04-15,3
UK942,2020-05-01,2020-05-01,1
UK371,2020-03-29,2020-05-09,30
UK33,2020-03-30,2020-05-08,15
UK565,2020-05-07,2020-05-07,2
UK2735,2020-03-24,2020-05-07,17
UK13,2020-03-13,2020-05-09,30
UK19,2020-03-14,2020-05-10,33
UK5120,2020-05-06,2020-05-06,1
UK3035,2020-03-24,2020-05-08,23
UK2258,2020-05-07,2020-05-07,2
UK5121,2020-05-06,2020-05-06,1
UK5382,2020-05-07,2020-05-07,1
UK3106,2020-05-01,2020-05-07,2
UK5557,2020-03-21,2020-05-07,3
UK217,2020-05-08,2020-05-08,1
UK3105,2020-05-07,2020-05-07,1
UK51,2020-03-26,2020-05-08,19
UK5486,2020-05-10,2020-05-10,1
UK329,2020-03-24,2020-05-07,6
UK326,2020-04-05,2020-05-09,3
UK237,2020-03-31,2020-05-07,6
UK5122,2020-05-06,2020-05-06,1
UK3029,2020-04-05,2020-05-07,2
UK2916,2020-02-27,2020-05-10,48
UK31,2020-03-21,2020-05-06,28
UK1721,2020-03-31,2020-05-08,2
UK5384,2020-04-02,2020-04-02,1
UK5385,2020-03-24,2020-03-24,1
UK5702,2020-03-31,2020-04-06,2
UK494,2020-03-21,2020-05-01,68
UK5386,2020-04-01,2020-04-01,1
UK36,2020-03-19,2020-04-14,24
UK5253,2020-04-01,2020-04-01,1
