Lineage name	England	Scotland	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	313 (96.9%)	9 (2.79%)	1 (0.31%)	Mar-07, May-25	323	B.1.1.1	0	active today
UK2464	97 (84.35%)	18 (15.65%)	0 (0%)	Mar-12, May-01	115	B.1.p11	24	0.0183
UK9	93 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-03	93	B.1.13	22	0.0222
UK494	68 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-01	68	B.1.p11	24	0.0255
UK177	56 (100.0%)	0 (0%)	0 (0%)	Mar-27, May-01	56	B.1.1	24	0.0265
UK115	53 (100.0%)	0 (0%)	0 (0%)	Mar-17, Apr-20	53	B.2.1	35	0.0187
UK66	52 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-01	52	B.1.1.8	24	0.0359
UK2916	47 (97.92%)	0 (0%)	1 (2.08%)	Feb-27, May-10	48	B.1	15	0.1035
UK2913	46 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-30	46	B.1.p11	25	0.04
UK26	37 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-06	37	B.1.1.3	19	0.0716
UK346	34 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-19	34	B.1.72, B.1	36	0.0286
UK4	32 (96.97%)	0 (0%)	1 (3.03%)	Mar-11, Apr-14	33	B	41	0.0259
UK19	33 (100.0%)	0 (0%)	0 (0%)	Mar-14, May-10	33	B.1	15	0.1188
UK63	33 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-30	33	B.1.1	25	0.0412
UK760	0 (0%)	0 (0%)	32 (100.0%)	Mar-27, Apr-22	32	B.1.1	33	0.0254
UK28	31 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-01	31	B.1.1.10	24	0.05
UK40	0 (0%)	31 (100.0%)	0 (0%)	Mar-21, Apr-07	31	B.16	48	0.0118
UK112	30 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-04	30	B.1.1	21	0.0722
UK13	30 (100.0%)	0 (0%)	0 (0%)	Mar-13, May-09	30	B.1.1	16	0.1228
UK371	30 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-09	30	B.1.1	16	0.0884
UK31	28 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-06	28	B.1	19	0.0897
UK37	28 (100.0%)	0 (0%)	0 (0%)	Mar-17, May-04	28	B.1.30	21	0.0847
UK138	27 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-17	27	B.2.1	38	0.0253
UK79	25 (100.0%)	0 (0%)	0 (0%)	Mar-24, May-04	25	B.1	21	0.0813
UK8	24 (100.0%)	0 (0%)	0 (0%)	Mar-10, Apr-08	24	B	47	0.0268
