Lineage,Days,England,Scotland,Wales,Northern Ireland
UK42,2020-03-28,1,0,0,0
UK42,2020-03-31,1,0,0,0
UK42,2020-04-04,1,0,0,0
UK42,2020-04-11,1,0,0,0
UK42,2020-04-13,1,0,0,0
UK42,2020-04-14,1,0,0,0
UK42,2020-04-17,1,0,0,0
UK42,2020-04-28,1,0,0,0
UK5309,2020-03-25,1,0,0,0
UK5309,2020-03-30,1,0,0,0
UK5309,2020-04-03,3,0,0,0
UK5309,2020-04-03,3,0,0,0
UK5309,2020-04-03,3,0,0,0
UK5309,2020-04-07,1,0,0,0
UK5309,2020-04-08,1,0,0,0
UK5309,2020-04-09,1,0,0,0
UK5309,2020-04-14,2,0,0,0
UK5309,2020-04-14,2,0,0,0
UK5309,2020-04-15,2,0,0,0
UK5309,2020-04-15,2,0,0,0
UK5309,2020-04-16,2,0,0,0
UK5309,2020-04-16,2,0,0,0
UK5309,2020-04-29,1,0,0,0
UK5339,2020-04-15,2,0,0,0
UK5339,2020-04-15,2,0,0,0
UK5339,2020-04-16,1,0,0,0
UK5339,2020-04-18,1,0,0,0
UK5339,2020-04-19,4,0,0,0
UK5339,2020-04-19,4,0,0,0
UK5339,2020-04-19,4,0,0,0
UK5339,2020-04-19,4,0,0,0
UK5339,2020-04-20,2,0,0,0
UK5339,2020-04-20,2,0,0,0
UK5339,2020-04-29,1,0,0,0
UK1006,2020-04-04,2,0,0,0
UK1006,2020-04-04,2,0,0,0
UK1006,2020-04-05,1,0,0,0
UK1006,2020-04-29,4,0,0,0
UK1006,2020-04-29,4,0,0,0
UK1006,2020-04-29,4,0,0,0
UK1006,2020-04-29,4,0,0,0
UK511,2020-04-05,1,0,0,0
UK511,2020-04-29,6,0,0,0
UK511,2020-04-29,6,0,0,0
UK511,2020-04-29,6,0,0,0
UK511,2020-04-29,6,0,0,0
UK511,2020-04-29,6,0,0,0
UK511,2020-04-29,6,0,0,0
UK2045,2020-03-17,1,0,0,0
UK2045,2020-03-27,1,0,0,0
UK2045,2020-03-28,1,0,0,0
UK2045,2020-04-02,2,0,0,0
UK2045,2020-04-02,2,0,0,0
UK2045,2020-04-08,1,0,0,0
UK2045,2020-04-10,2,0,0,0
UK2045,2020-04-10,2,0,0,0
UK2045,2020-04-16,1,0,0,0
UK2045,2020-04-29,1,0,0,0
UK913,2020-04-03,1,0,0,0
UK913,2020-04-05,1,0,0,0
UK913,2020-04-06,2,0,0,0
UK913,2020-04-06,2,0,0,0
UK913,2020-04-09,1,0,0,0
UK913,2020-04-14,1,0,0,0
UK913,2020-04-29,1,0,0,0
UK132,2020-03-27,1,0,0,0
UK132,2020-03-28,1,0,0,0
UK132,2020-03-31,1,0,0,0
UK132,2020-04-03,1,0,0,0
UK132,2020-04-06,0,1,0,0
UK132,2020-04-13,1,0,0,0
UK132,2020-04-16,1,0,0,0
UK132,2020-04-28,1,0,0,0
UK132,2020-04-29,1,0,0,0
UK63,2020-03-28,1,0,0,0
UK63,2020-03-29,2,0,0,0
UK63,2020-03-29,2,0,0,0
UK63,2020-03-30,2,0,0,0
UK63,2020-03-30,2,0,0,0
UK63,2020-04-01,2,0,0,0
UK63,2020-04-01,2,0,0,0
UK63,2020-04-02,1,0,0,0
UK63,2020-04-03,2,0,0,0
UK63,2020-04-03,2,0,0,0
UK63,2020-04-04,3,0,0,0
UK63,2020-04-04,3,0,0,0
UK63,2020-04-04,3,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-05,6,0,0,0
UK63,2020-04-06,3,0,0,0
UK63,2020-04-06,3,0,0,0
UK63,2020-04-06,3,0,0,0
UK63,2020-04-07,1,0,0,0
UK63,2020-04-10,1,0,0,0
UK63,2020-04-15,1,0,0,0
UK63,2020-04-16,1,0,0,0
UK63,2020-04-29,5,0,0,0
UK63,2020-04-29,5,0,0,0
UK63,2020-04-29,5,0,0,0
UK63,2020-04-29,5,0,0,0
UK63,2020-04-29,5,0,0,0
UK63,2020-04-30,2,0,0,0
UK63,2020-04-30,2,0,0,0
UK2913,2020-03-16,1,0,0,0
UK2913,2020-03-19,1,0,0,0
UK2913,2020-03-22,1,0,0,0
UK2913,2020-03-23,2,0,0,0
UK2913,2020-03-23,2,0,0,0
UK2913,2020-03-27,2,0,0,0
UK2913,2020-03-27,2,0,0,0
UK2913,2020-03-28,2,0,0,0
UK2913,2020-03-28,2,0,0,0
UK2913,2020-03-29,4,0,0,0
UK2913,2020-03-29,4,0,0,0
UK2913,2020-03-29,4,0,0,0
UK2913,2020-03-29,4,0,0,0
UK2913,2020-03-30,3,0,0,0
UK2913,2020-03-30,3,0,0,0
UK2913,2020-03-30,3,0,0,0
UK2913,2020-03-31,4,0,0,0
UK2913,2020-03-31,4,0,0,0
UK2913,2020-03-31,4,0,0,0
UK2913,2020-03-31,4,0,0,0
UK2913,2020-04-01,5,0,0,0
UK2913,2020-04-01,5,0,0,0
UK2913,2020-04-01,5,0,0,0
UK2913,2020-04-01,5,0,0,0
UK2913,2020-04-01,5,0,0,0
UK2913,2020-04-02,3,0,0,0
UK2913,2020-04-02,3,0,0,0
UK2913,2020-04-02,3,0,0,0
UK2913,2020-04-03,2,0,0,0
UK2913,2020-04-03,2,0,0,0
UK2913,2020-04-04,3,0,0,0
UK2913,2020-04-04,3,0,0,0
UK2913,2020-04-04,3,0,0,0
UK2913,2020-04-05,2,0,0,0
UK2913,2020-04-05,2,0,0,0
UK2913,2020-04-10,1,0,0,0
UK2913,2020-04-11,3,0,0,0
UK2913,2020-04-11,3,0,0,0
UK2913,2020-04-11,3,0,0,0
UK2913,2020-04-13,2,0,0,0
UK2913,2020-04-13,2,0,0,0
UK2913,2020-04-14,2,0,0,0
UK2913,2020-04-14,2,0,0,0
UK2913,2020-04-16,1,0,0,0
UK2913,2020-04-27,1,0,0,0
UK2913,2020-04-30,1,0,0,0
UK726,2020-04-04,1,0,0,0
UK726,2020-04-05,1,0,0,0
UK726,2020-04-06,1,0,0,0
UK726,2020-04-14,1,0,0,0
UK726,2020-04-15,1,0,0,0
UK726,2020-04-16,1,0,0,0
UK726,2020-04-19,1,0,0,0
UK726,2020-04-29,1,0,0,0
UK726,2020-04-30,1,0,0,0
UK726,2020-05-01,2,0,0,0
UK726,2020-05-01,2,0,0,0
UK177,2020-03-27,1,0,0,0
UK177,2020-03-28,1,0,0,0
UK177,2020-03-29,1,0,0,0
UK177,2020-03-30,2,0,0,0
UK177,2020-03-30,2,0,0,0
UK177,2020-03-31,1,0,0,0
UK177,2020-04-01,2,0,0,0
UK177,2020-04-01,2,0,0,0
UK177,2020-04-02,5,0,0,0
UK177,2020-04-02,5,0,0,0
UK177,2020-04-02,5,0,0,0
UK177,2020-04-02,5,0,0,0
UK177,2020-04-02,5,0,0,0
UK177,2020-04-03,5,0,0,0
UK177,2020-04-03,5,0,0,0
UK177,2020-04-03,5,0,0,0
UK177,2020-04-03,5,0,0,0
UK177,2020-04-03,5,0,0,0
UK177,2020-04-04,3,0,0,0
UK177,2020-04-04,3,0,0,0
UK177,2020-04-04,3,0,0,0
UK177,2020-04-05,3,0,0,0
UK177,2020-04-05,3,0,0,0
UK177,2020-04-05,3,0,0,0
UK177,2020-04-06,1,0,0,0
UK177,2020-04-07,2,0,0,0
UK177,2020-04-07,2,0,0,0
UK177,2020-04-08,1,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-09,7,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-10,6,0,0,0
UK177,2020-04-12,1,0,0,0
UK177,2020-04-13,1,0,0,0
UK177,2020-04-14,4,0,0,0
UK177,2020-04-14,4,0,0,0
UK177,2020-04-14,4,0,0,0
UK177,2020-04-14,4,0,0,0
UK177,2020-04-18,1,0,0,0
UK177,2020-04-29,1,0,0,0
UK177,2020-04-30,4,0,0,0
UK177,2020-04-30,4,0,0,0
UK177,2020-04-30,4,0,0,0
UK177,2020-04-30,4,0,0,0
UK177,2020-05-01,3,0,0,0
UK177,2020-05-01,3,0,0,0
UK177,2020-05-01,3,0,0,0
UK109,2020-03-21,1,0,0,0
UK109,2020-04-01,1,0,0,0
UK109,2020-04-02,2,0,0,0
UK109,2020-04-02,2,0,0,0
UK109,2020-04-03,2,0,0,0
UK109,2020-04-03,2,0,0,0
UK109,2020-04-06,2,0,0,0
UK109,2020-04-06,2,0,0,0
UK109,2020-04-07,1,0,0,0
UK109,2020-04-08,1,0,0,0
UK109,2020-04-09,1,0,0,0
UK109,2020-04-10,3,0,0,0
UK109,2020-04-10,3,0,0,0
UK109,2020-04-10,3,0,0,0
UK109,2020-04-15,2,0,0,0
UK109,2020-04-15,2,0,0,0
UK109,2020-04-16,3,0,0,0
UK109,2020-04-16,3,0,0,0
UK109,2020-04-16,3,0,0,0
UK109,2020-05-01,1,0,0,0
UK66,2020-03-18,1,0,0,0
UK66,2020-03-20,1,0,0,0
UK66,2020-03-23,1,0,0,0
UK66,2020-03-25,1,0,0,0
UK66,2020-03-27,1,0,0,0
UK66,2020-03-28,1,0,0,0
UK66,2020-03-29,1,0,0,0
UK66,2020-03-30,2,0,0,0
UK66,2020-03-30,2,0,0,0
UK66,2020-04-01,1,0,0,0
UK66,2020-04-02,3,0,0,0
UK66,2020-04-02,3,0,0,0
UK66,2020-04-02,3,0,0,0
UK66,2020-04-03,2,0,0,0
UK66,2020-04-03,2,0,0,0
UK66,2020-04-05,2,0,0,0
UK66,2020-04-05,2,0,0,0
UK66,2020-04-06,3,0,0,0
UK66,2020-04-06,3,0,0,0
UK66,2020-04-06,3,0,0,0
UK66,2020-04-07,5,0,0,0
UK66,2020-04-07,5,0,0,0
UK66,2020-04-07,5,0,0,0
UK66,2020-04-07,5,0,0,0
UK66,2020-04-07,5,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-09,6,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-10,7,0,0,0
UK66,2020-04-14,1,0,0,0
UK66,2020-04-15,1,0,0,0
UK66,2020-04-16,3,0,0,0
UK66,2020-04-16,3,0,0,0
UK66,2020-04-16,3,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-20,6,0,0,0
UK66,2020-04-30,1,0,0,0
UK66,2020-05-01,2,0,0,0
UK66,2020-05-01,2,0,0,0
UK441,2020-04-04,1,0,0,0
UK441,2020-04-07,1,0,0,0
UK441,2020-04-09,1,0,0,0
UK441,2020-04-14,4,0,0,0
UK441,2020-04-14,4,0,0,0
UK441,2020-04-14,4,0,0,0
UK441,2020-04-14,4,0,0,0
UK441,2020-05-01,2,0,0,0
UK441,2020-05-01,2,0,0,0
UK368,2020-03-18,1,0,0,0
UK368,2020-03-30,1,0,0,0
UK368,2020-04-03,1,0,0,0
UK368,2020-04-05,1,0,0,0
UK368,2020-04-06,1,0,0,0
UK368,2020-04-09,1,0,0,0
UK368,2020-04-18,1,0,0,0
UK368,2020-04-19,2,0,0,0
UK368,2020-04-19,2,0,0,0
UK368,2020-04-30,1,0,0,0
UK368,2020-05-01,1,0,0,0
UK637,2020-03-28,1,0,0,0
UK637,2020-03-29,1,0,0,0
UK637,2020-03-31,5,0,0,0
UK637,2020-03-31,5,0,0,0
UK637,2020-03-31,5,0,0,0
UK637,2020-03-31,5,0,0,0
UK637,2020-03-31,5,0,0,0
UK637,2020-04-05,1,0,0,0
UK637,2020-04-08,2,0,0,0
UK637,2020-04-08,2,0,0,0
UK637,2020-04-30,1,0,0,0
UK637,2020-05-01,1,0,0,0
UK28,2020-03-26,1,0,0,0
UK28,2020-03-31,1,0,0,0
UK28,2020-04-01,1,0,0,0
UK28,2020-04-06,1,0,0,0
UK28,2020-04-09,1,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-10,8,0,0,0
UK28,2020-04-14,3,0,0,0
UK28,2020-04-14,3,0,0,0
UK28,2020-04-14,3,0,0,0
UK28,2020-04-18,1,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-19,8,0,0,0
UK28,2020-04-30,3,0,0,0
UK28,2020-04-30,3,0,0,0
UK28,2020-04-30,3,0,0,0
UK28,2020-05-01,3,0,0,0
UK28,2020-05-01,3,0,0,0
UK28,2020-05-01,3,0,0,0
UK214,2020-03-14,1,0,0,0
UK214,2020-03-30,1,0,0,0
UK214,2020-04-05,1,0,0,0
UK214,2020-04-07,2,0,0,0
UK214,2020-04-07,2,0,0,0
UK214,2020-04-14,1,0,0,0
UK214,2020-04-27,3,0,0,0
UK214,2020-04-27,3,0,0,0
UK214,2020-04-27,3,0,0,0
UK214,2020-05-01,3,0,0,0
UK214,2020-05-01,3,0,0,0
UK214,2020-05-01,3,0,0,0
UK494,2020-03-21,1,0,0,0
UK494,2020-03-22,2,0,0,0
UK494,2020-03-22,2,0,0,0
UK494,2020-03-23,1,0,0,0
UK494,2020-03-27,1,0,0,0
UK494,2020-03-28,4,0,0,0
UK494,2020-03-28,4,0,0,0
UK494,2020-03-28,4,0,0,0
UK494,2020-03-28,4,0,0,0
UK494,2020-03-29,1,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-03-31,6,0,0,0
UK494,2020-04-01,3,0,0,0
UK494,2020-04-01,3,0,0,0
UK494,2020-04-01,3,0,0,0
UK494,2020-04-02,1,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-03,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-04,6,0,0,0
UK494,2020-04-06,3,0,0,0
UK494,2020-04-06,3,0,0,0
UK494,2020-04-06,3,0,0,0
UK494,2020-04-07,2,0,0,0
UK494,2020-04-07,2,0,0,0
UK494,2020-04-08,3,0,0,0
UK494,2020-04-08,3,0,0,0
UK494,2020-04-08,3,0,0,0
UK494,2020-04-09,1,0,0,0
UK494,2020-04-10,4,0,0,0
UK494,2020-04-10,4,0,0,0
UK494,2020-04-10,4,0,0,0
UK494,2020-04-10,4,0,0,0
UK494,2020-04-11,1,0,0,0
UK494,2020-04-12,3,0,0,0
UK494,2020-04-12,3,0,0,0
UK494,2020-04-12,3,0,0,0
UK494,2020-04-13,3,0,0,0
UK494,2020-04-13,3,0,0,0
UK494,2020-04-13,3,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-14,6,0,0,0
UK494,2020-04-15,3,0,0,0
UK494,2020-04-15,3,0,0,0
UK494,2020-04-15,3,0,0,0
UK494,2020-04-16,2,0,0,0
UK494,2020-04-16,2,0,0,0
UK494,2020-04-25,1,0,0,0
UK494,2020-04-26,1,0,0,0
UK494,2020-04-27,1,0,0,0
UK494,2020-04-29,1,0,0,0
UK494,2020-05-01,1,0,0,0
UK2464,2020-03-12,1,0,0,0
UK2464,2020-03-18,1,0,0,0
UK2464,2020-03-19,1,0,0,0
UK2464,2020-03-20,1,0,0,0
UK2464,2020-03-21,2,0,0,0
UK2464,2020-03-21,2,0,0,0
UK2464,2020-03-23,3,1,0,0
UK2464,2020-03-23,3,1,0,0
UK2464,2020-03-23,3,1,0,0
UK2464,2020-03-23,3,1,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-24,0,6,0,0
UK2464,2020-03-25,0,4,0,0
