Name,oldest_sequence,newest_sequence,number_taxa
UK343,2020-03-28,2020-04-21,54
UK4,2020-03-07,2020-04-21,22
UK501,2020-04-03,2020-04-22,13
UK5,2020-03-13,2020-04-23,251
UK279,2020-03-26,2020-04-23,19
UK5514,2020-04-08,2020-04-19,2
UK95,2020-03-21,2020-05-03,14
UK1703,2020-04-02,2020-04-22,2
UK3224,2020-04-12,2020-04-23,3
UK23,2020-03-23,2020-04-23,14
UK106,2020-03-24,2020-04-21,9
UK3318,2020-04-11,2020-04-22,2
UK24,2020-03-19,2020-04-23,18
UK6,2020-03-22,2020-04-22,14
UK5599,2020-04-21,2020-04-21,1
UK802,2020-03-24,2020-04-22,8
UK5614,2020-04-23,2020-04-23,1
UK5600,2020-04-21,2020-04-21,1
UK17,2020-04-20,2020-04-20,1
UK5615,2020-04-20,2020-04-23,2
UK274,2020-03-26,2020-05-03,2
UK376,2020-04-22,2020-04-22,1
UK787,2020-03-25,2020-04-20,3
UK4094,2020-04-01,2020-04-22,2
UK5626,2020-04-22,2020-04-22,1
UK177,2020-04-07,2020-04-22,4
UK3177,2020-04-17,2020-04-21,2
UK876,2020-04-16,2020-04-21,3
UK760,2020-04-22,2020-04-22,1
UK72,2020-03-22,2020-04-22,5
UK51,2020-03-25,2020-04-21,12
UK12,2020-03-26,2020-04-22,8
UK194,2020-03-19,2020-04-20,56
UK5612,2020-04-22,2020-04-22,1
UK4444,2020-04-16,2020-04-16,1
UK230,2020-03-29,2020-04-16,6
UK235,2020-03-21,2020-04-16,21
UK419,2020-03-30,2020-04-16,15
UK1,2020-03-03,2020-04-16,19
UK398,2020-03-26,2020-04-13,4
UK1706,2020-04-13,2020-04-13,1
UK201,2020-03-29,2020-03-30,3
UK28,2020-03-31,2020-03-31,1
UK3107,2020-04-13,2020-04-15,2
UK2734,2020-04-02,2020-04-02,1
UK634,2020-04-09,2020-04-09,1
UK2793,2020-04-15,2020-04-15,1
UK3104,2020-04-12,2020-04-12,1
UK149,2020-04-01,2020-04-17,4
UK2083,2020-04-17,2020-04-17,1
UK4441,2020-04-15,2020-04-15,1
UK4495,2020-04-16,2020-04-16,1
UK2650,2020-04-14,2020-04-14,1
UK3176,2020-04-16,2020-04-16,1
UK464,2020-03-25,2020-04-09,3
UK575,2020-03-27,2020-04-08,3
UK354,2020-03-18,2020-04-11,2
UK2800,2020-04-09,2020-04-09,1
UK2529,2020-04-09,2020-04-09,1
UK1621,2020-04-10,2020-04-10,1
UK1767,2020-04-11,2020-04-11,1
UK400,2020-03-23,2020-04-10,3
UK3213,2020-03-25,2020-03-25,1
UK4529,2020-03-25,2020-03-25,1
UK146,2020-03-24,2020-03-24,1
UK313,2020-03-25,2020-04-01,3
UK1792,2020-03-26,2020-03-26,1
UK664,2020-03-26,2020-03-26,1
UK36,2020-03-24,2020-04-02,6
UK75,2020-03-26,2020-03-26,1
UK1086,2020-04-21,2020-04-21,1
UK219,2020-04-01,2020-04-11,3
UK131,2020-03-20,2020-04-10,14
UK1622,2020-04-11,2020-04-11,1
UK4671,2020-04-08,2020-04-08,1
UK94,2020-03-21,2020-04-10,19
UK432,2020-03-24,2020-04-09,8
UK3220,2020-04-10,2020-04-10,1
UK365,2020-03-21,2020-04-09,2
UK4532,2020-04-10,2020-04-10,1
UK2698,2020-04-10,2020-04-10,1
UK115,2020-04-10,2020-04-10,1
UK1779,2020-04-10,2020-04-10,1
UK3221,2020-04-09,2020-04-09,1
UK4452,2020-04-10,2020-04-10,1
UK3222,2020-04-08,2020-04-08,1
UK5515,2020-04-10,2020-04-10,1
UK4538,2020-04-11,2020-04-11,1
UK1623,2020-04-12,2020-04-12,1
UK1775,2020-04-12,2020-04-12,1
UK225,2020-03-06,2020-04-06,20
UK487,2020-03-29,2020-03-31,2
UK574,2020-04-06,2020-04-06,1
UK842,2020-03-26,2020-03-31,2
UK565,2020-04-02,2020-04-02,2
UK1263,2020-04-06,2020-04-06,1
UK3297,2020-04-06,2020-04-06,1
UK4443,2020-04-08,2020-04-08,1
UK2740,2020-04-09,2020-04-09,1
UK4543,2020-04-11,2020-04-11,1
UK5518,2020-04-09,2020-04-09,1
UK89,2020-03-25,2020-04-09,2
UK3319,2020-04-10,2020-04-10,1
UK525,2020-03-30,2020-04-09,4
UK5516,2020-04-10,2020-04-10,1
UK333,2020-03-25,2020-03-25,2
UK3374,2020-03-26,2020-03-26,1
UK706,2020-03-26,2020-04-03,2
UK5523,2020-03-26,2020-03-26,1
UK2901,2020-03-26,2020-03-26,1
UK681,2020-04-10,2020-04-10,1
UK101,2020-03-24,2020-03-26,3
UK670,2020-03-28,2020-03-28,1
UK5521,2020-04-02,2020-04-02,1
UK2550,2020-03-24,2020-03-24,1
UK2530,2020-03-24,2020-03-24,1
UK3366,2020-03-26,2020-03-26,1
UK52,2020-03-23,2020-04-04,2
UK915,2020-03-25,2020-03-28,2
UK173,2020-03-22,2020-03-30,6
UK384,2020-03-15,2020-04-02,16
UK1709,2020-03-25,2020-03-25,1
UK3453,2020-03-26,2020-03-26,1
UK2743,2020-03-30,2020-03-30,1
UK2534,2020-03-26,2020-03-26,1
UK3454,2020-03-26,2020-03-26,1
UK4732,2020-03-24,2020-03-24,1
UK64,2020-03-25,2020-03-25,1
UK4554,2020-04-13,2020-04-13,1
UK578,2020-03-25,2020-03-25,1
UK267,2020-03-26,2020-03-26,1
UK4733,2020-03-31,2020-03-31,1
UK506,2020-03-23,2020-04-03,4
UK2742,2020-03-26,2020-03-26,1
UK2531,2020-03-30,2020-03-30,1
UK5524,2020-03-25,2020-03-25,1
UK2532,2020-03-26,2020-03-26,1
UK752,2020-03-24,2020-03-24,1
UK3020,2020-03-25,2020-03-25,1
UK2533,2020-03-25,2020-03-25,1
UK3438,2020-03-26,2020-03-26,1
UK379,2020-03-26,2020-03-26,1
UK55,2020-03-30,2020-04-13,2
UK2535,2020-04-04,2020-04-04,1
UK3477,2020-03-25,2020-03-25,1
UK3478,2020-03-24,2020-03-24,1
UK1266,2020-03-26,2020-03-26,1
UK3473,2020-03-24,2020-03-24,1
UK4530,2020-03-25,2020-03-25,1
UK2239,2020-03-26,2020-03-26,1
UK388,2020-03-26,2020-03-26,1
UK4747,2020-03-20,2020-03-20,1
UK2258,2020-03-23,2020-03-23,1
UK729,2020-03-21,2020-03-27,2
UK5525,2020-03-20,2020-03-20,1
UK3522,2020-03-21,2020-03-21,1
UK1735,2020-03-23,2020-03-23,1
UK581,2020-04-15,2020-04-15,1
UK3523,2020-03-22,2020-03-22,1
UK905,2020-03-21,2020-03-24,2
UK2720,2020-04-15,2020-04-15,1
UK1268,2020-03-20,2020-03-20,1
UK4744,2020-03-20,2020-03-20,1
UK4745,2020-03-21,2020-03-21,1
UK2536,2020-03-24,2020-03-24,1
UK4746,2020-03-23,2020-03-23,1
UK3505,2020-03-20,2020-03-20,1
UK86,2020-03-23,2020-03-23,1
UK672,2020-03-24,2020-03-24,1
UK144,2020-03-05,2020-04-07,25
UK4404,2020-03-12,2020-03-12,1
UK2279,2020-03-20,2020-03-20,1
UK4405,2020-03-17,2020-03-17,1
UK3659,2020-03-24,2020-03-24,1
UK3660,2020-03-21,2020-03-21,1
UK3054,2020-03-21,2020-03-21,1
UK1715,2020-03-19,2020-03-19,1
UK3506,2020-03-19,2020-03-19,1
UK231,2020-03-22,2020-03-22,1
UK3034,2020-03-24,2020-03-24,1
UK3648,2020-03-19,2020-03-19,1
UK2748,2020-03-24,2020-03-24,1
UK4367,2020-03-24,2020-03-24,1
UK2904,2020-03-23,2020-03-23,1
UK1816,2020-04-02,2020-04-02,1
UK5528,2020-04-01,2020-04-01,1
UK1646,2020-04-02,2020-04-02,1
UK688,2020-04-01,2020-04-01,1
UK527,2020-04-01,2020-04-01,1
UK3785,2020-04-01,2020-04-01,1
UK2538,2020-04-02,2020-04-02,1
UK925,2020-03-30,2020-04-02,2
UK3765,2020-04-02,2020-04-02,1
UK5526,2020-04-02,2020-04-02,2
UK2908,2020-04-01,2020-04-01,1
UK9,2020-04-05,2020-04-05,1
UK196,2020-04-02,2020-04-02,1
UK10,2020-04-02,2020-04-04,4
UK890,2020-04-03,2020-04-03,1
UK3766,2020-04-04,2020-04-04,1
UK2537,2020-04-03,2020-04-03,1
UK1370,2020-04-02,2020-04-02,1
UK4573,2020-04-07,2020-04-07,1
UK5529,2020-04-04,2020-04-04,1
UK5530,2020-04-02,2020-04-02,1
UK5531,2020-04-02,2020-04-02,1
UK3999,2020-03-31,2020-03-31,1
UK4929,2020-03-30,2020-03-30,1
UK1588,2020-03-30,2020-03-30,2
UK2539,2020-03-29,2020-03-29,1
UK4000,2020-03-30,2020-03-30,1
UK5725,2020-03-27,2020-03-27,1
UK1084,2020-04-01,2020-04-01,1
UK1720,2020-04-03,2020-04-03,1
UK1399,2020-04-03,2020-04-03,1
UK569,2020-03-20,2020-03-31,2
UK162,2020-04-03,2020-04-03,1
UK4073,2020-04-03,2020-04-03,1
UK1294,2020-04-04,2020-04-04,1
UK4055,2020-04-06,2020-04-06,1
UK5468,2020-04-05,2020-04-05,1
UK2416,2020-04-05,2020-04-05,1
UK4056,2020-04-03,2020-04-03,1
UK4597,2020-04-02,2020-04-02,1
UK1029,2020-04-05,2020-04-05,1
UK213,2020-04-05,2020-04-05,1
UK4095,2020-04-01,2020-04-01,1
UK2822,2020-04-02,2020-04-02,1
UK8,2020-03-23,2020-03-30,4
UK4601,2020-03-30,2020-03-30,1
UK1597,2020-03-30,2020-03-30,1
UK1432,2020-03-29,2020-03-29,1
UK153,2020-03-29,2020-03-29,1
UK158,2020-03-29,2020-03-30,2
UK4001,2020-03-30,2020-03-30,1
UK1114,2020-03-01,2020-03-01,1
UK1170,2020-03-03,2020-03-03,1
UK4172,2020-03-02,2020-03-02,1
UK2673,2020-03-09,2020-03-09,1
UK5754,2020-03-02,2020-03-02,1
UK4173,2020-03-09,2020-03-09,1
UK11,2020-03-08,2020-03-08,1
UK1171,2020-03-02,2020-03-02,1
UK2591,2020-03-02,2020-03-02,1
UK2458,2020-04-01,2020-04-01,1
UK4002,2020-04-02,2020-04-02,1
UK642,2020-04-02,2020-04-02,1
UK4203,2020-04-02,2020-04-02,1
UK5537,2020-03-31,2020-03-31,1
UK5538,2020-04-02,2020-04-02,1
UK4204,2020-04-02,2020-04-02,1
UK5059,2020-04-01,2020-04-01,1
UK4187,2020-04-01,2020-04-01,1
UK2454,2020-04-01,2020-04-01,1
UK541,2020-04-02,2020-04-02,1
UK7,2020-03-28,2020-04-01,3
UK2913,2020-04-01,2020-04-01,1
UK583,2020-04-01,2020-04-01,1
UK4628,2020-03-25,2020-03-25,1
UK1843,2020-03-25,2020-03-25,1
UK240,2020-03-24,2020-03-25,2
UK2783,2020-03-26,2020-03-26,1
UK1844,2020-03-24,2020-03-24,1
UK140,2020-03-25,2020-03-25,1
UK2582,2020-03-25,2020-03-25,1
UK1845,2020-03-16,2020-03-16,1
UK4608,2020-03-24,2020-03-24,1
UK893,2020-03-27,2020-03-28,2
UK4609,2020-03-27,2020-03-27,1
UK1950,2020-03-27,2020-03-27,1
UK2891,2020-03-28,2020-03-28,1
UK2914,2020-03-27,2020-03-27,1
UK2583,2020-03-28,2020-03-28,1
UK4653,2020-03-28,2020-03-28,1
UK2462,2020-03-27,2020-03-27,1
UK2762,2020-03-29,2020-03-29,1
UK5078,2020-03-27,2020-03-27,1
UK563,2020-03-28,2020-03-28,1
UK2463,2020-03-27,2020-03-27,1
UK2540,2020-03-27,2020-03-27,1
UK22,2020-03-25,2020-03-25,1
UK302,2020-03-25,2020-03-25,1
UK1776,2020-03-28,2020-03-28,1
UK42,2020-03-28,2020-03-28,1
UK1500,2020-03-27,2020-03-27,1
UK2541,2020-03-28,2020-03-28,1
UK2915,2020-03-30,2020-03-30,1
UK4627,2020-03-30,2020-03-30,1
UK613,2020-03-28,2020-03-28,1
UK4629,2020-03-30,2020-03-30,1
UK4626,2020-03-29,2020-03-29,1
UK5545,2020-03-30,2020-03-30,1
UK77,2020-03-25,2020-03-25,1
UK648,2020-03-12,2020-03-22,2
UK4472,2020-03-22,2020-03-22,1
UK47,2020-03-17,2020-03-23,2
UK4321,2020-03-25,2020-03-25,1
UK1310,2020-03-25,2020-03-25,1
UK1454,2020-03-25,2020-03-25,1
UK1455,2020-03-21,2020-03-21,1
UK835,2020-03-25,2020-03-25,1
UK1765,2020-03-25,2020-03-25,1
UK1960,2020-03-25,2020-03-25,1
UK142,2020-03-25,2020-03-25,1
UK2502,2020-03-24,2020-03-24,1
UK639,2020-03-25,2020-03-25,1
