Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	251 (100.0%)	Mar-13, Apr-23	251	B.1.1.1	10
UK194	56 (100.0%)	Mar-19, Apr-20	56	B.1.1	13
UK343	54 (100.0%)	Mar-28, Apr-21	54	B.1	12
UK144	25 (100.0%)	Mar-05, Apr-07	25	B.2.1	26
UK4	22 (100.0%)	Mar-07, Apr-21	22	B	12
UK235	21 (100.0%)	Mar-21, Apr-16	21	B.1.1	17
UK225	20 (100.0%)	Mar-06, Apr-06	20	B.2, B.2.2	27
UK94	19 (100.0%)	Mar-21, Apr-10	19	B.2.1	23
UK279	19 (100.0%)	Mar-26, Apr-23	19	B.1.1	10
UK1	19 (100.0%)	Mar-03, Apr-16	19	B.1	17
UK24	18 (100.0%)	Mar-19, Apr-23	18	B.1.1	10
UK384	16 (100.0%)	Mar-15, Apr-02	16	B.2.1	31
UK419	15 (100.0%)	Mar-30, Apr-16	15	B.1.1	17
UK131	14 (100.0%)	Mar-20, Apr-10	14	B.15	23
UK95	14 (100.0%)	Mar-21, May-03	14	B.2.1	0
UK23	14 (100.0%)	Mar-23, Apr-23	14	B.9	10
UK6	14 (100.0%)	Mar-22, Apr-22	14	B.1	11
UK501	13 (100.0%)	Apr-03, Apr-22	13	B, B.1	11
UK51	12 (100.0%)	Mar-25, Apr-21	12	B.1.36	12
UK106	9 (100.0%)	Mar-24, Apr-21	9	B.1	12
UK802	8 (100.0%)	Mar-24, Apr-22	8	B.1	11
UK432	8 (100.0%)	Mar-24, Apr-09	8	B.3	24
UK12	8 (100.0%)	Mar-26, Apr-22	8	B.1.p11	11
UK230	6 (100.0%)	Mar-29, Apr-16	6	B.1	17
UK173	6 (100.0%)	Mar-22, Mar-30	6	B	34
UK36	6 (100.0%)	Mar-24, Apr-02	6	B.1	31
