Introduction	England	Scotland	Wales	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	328 (83.46%)	19 (4.83%)	45 (11.45%)	1 (0.25%)	Mar-03, Apr-18	393	B.1.1	1
UK17	309 (80.89%)	52 (13.61%)	21 (5.5%)	0 (0%)	Mar-07, Apr-18	382	B.1.11	1
UK16	48 (20.25%)	0 (0%)	189 (79.75%)	0 (0%)	Mar-09, Apr-08	237	B.3	11
UK28	61 (96.83%)	0 (0%)	2 (3.17%)	0 (0%)	Mar-18, Apr-16	63	B.1	3
UK30	19 (30.65%)	43 (69.35%)	0 (0%)	0 (0%)	Mar-13, Apr-16	62	B.2, B.1	3
UK79	53 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-07	53	B.1	12
UK29	39 (73.58%)	1 (1.89%)	13 (24.53%)	0 (0%)	Mar-09, Apr-14	53	B.3	5
UK45	0 (0%)	52 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	52	B	14
UK24	50 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-08	50	B.2, B.2.1	11
UK36	48 (96.0%)	1 (2.0%)	1 (2.0%)	0 (0%)	Mar-11, Apr-17	50	B.1	2
UK18	46 (93.88%)	0 (0%)	3 (6.12%)	0 (0%)	Mar-11, Apr-14	49	B.2.4	5
UK67	14 (28.57%)	0 (0%)	35 (71.43%)	0 (0%)	Mar-23, Apr-08	49	B.1	11
UK10	3 (6.25%)	0 (0%)	45 (93.75%)	0 (0%)	Mar-07, Apr-12	48	B.1	7
UK61	44 (97.78%)	0 (0%)	1 (2.22%)	0 (0%)	Mar-17, Apr-12	45	B.1	7
UK74	43 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-14	43	B.1	5
UK226	40 (95.24%)	0 (0%)	0 (0%)	2 (4.76%)	Mar-09, Apr-10	42	B.1	9
UK9	40 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-24, Apr-07	40	B.1	12
UK46	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-17	38	B.1	2
UK76	1 (2.63%)	37 (97.37%)	0 (0%)	0 (0%)	Mar-16, Apr-09	38	B.1	10
UK15	18 (47.37%)	0 (0%)	20 (52.63%)	0 (0%)	Mar-09, Apr-08	38	B.1	11
UK4	26 (70.27%)	0 (0%)	11 (29.73%)	0 (0%)	Mar-02, Apr-07	37	B.8	12
UK37	18 (50.0%)	0 (0%)	18 (50.0%)	0 (0%)	Mar-12, Apr-15	36	B.1.7, B.1	4
UK47	33 (97.06%)	1 (2.94%)	0 (0%)	0 (0%)	Mar-12, Apr-16	34	B.3	3
UK40	34 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-15	34	B.1.11	4
UK31	30 (93.75%)	1 (3.12%)	1 (3.12%)	0 (0%)	Mar-06, Apr-13	32	B, B.3	6
UK135	31 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-07	31	B.1.13	12
UK87	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-15	30	B.1	4
UK103	30 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-08	30	B.1	11
UK496	1 (3.45%)	28 (96.55%)	0 (0%)	0 (0%)	Mar-21, Apr-19	29	B.1.5	0
UK2	29 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-25, Apr-03	29	B.1.20	16
UK139	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-03	28	B.1	16
UK133	28 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-08	28	B.2.1	11
UK1	26 (96.3%)	0 (0%)	1 (3.7%)	0 (0%)	Feb-27, Apr-03	27	B.2, B.2.5	16
UK92	0 (0%)	27 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	27	B.1	0
