Introduction	England	Scotland	Wales	Northern Ireland	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	398 (82.4%)	24 (4.97%)	60 (12.42%)	1 (0.21%)	Feb-07, Apr-25	483	B.1.1	0
UK16	9 (3.95%)	0 (0%)	219 (96.05%)	0 (0%)	Feb-02, Apr-12	228	B.3	13
UK28	66 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Apr-18	66	B.1	7
UK67	14 (21.88%)	0 (0%)	50 (78.12%)	0 (0%)	Mar-10, Apr-12	64	B.1, B.1.24	13
UK24	61 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-15, Apr-14	61	B.2.1, B.2	11
UK18	58 (95.08%)	0 (0%)	3 (4.92%)	0 (0%)	Mar-11, Apr-20	61	B.2, B.2.4	5
UK45	2 (3.33%)	58 (96.67%)	0 (0%)	0 (0%)	Mar-12, Apr-20	60	B	5
UK10	3 (5.26%)	0 (0%)	54 (94.74%)	0 (0%)	Mar-07, Apr-12	57	B.1	13
UK74	52 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-21, Apr-14	52	B.1	11
UK76	1 (1.96%)	50 (98.04%)	0 (0%)	0 (0%)	Mar-16, Apr-14	51	B.1	11
UK61	48 (97.96%)	0 (0%)	1 (2.04%)	0 (0%)	Mar-17, Apr-19	49	B.1.30	6
UK9	47 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-24, Apr-19	47	B.1	6
UK4	32 (74.42%)	0 (0%)	11 (25.58%)	0 (0%)	Mar-02, Apr-11	43	B.8	14
UK126	39 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-19	39	B.2.1	6
UK30	2 (5.13%)	37 (94.87%)	0 (0%)	0 (0%)	Mar-19, Apr-16	39	B.1	9
UK40	38 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Apr-20	38	B.1.11	5
UK47	37 (97.37%)	1 (2.63%)	0 (0%)	0 (0%)	Mar-12, Apr-23	38	B.3	2
UK3734	37 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-25	37	B.1	0
UK92	0 (0%)	37 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-21	37	B.1	4
UK3701	36 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-07, Apr-22	36	B.1	3
