Introduction	Northern Ireland	Wales	Scotland	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	3 (0.4%)	85 (11.23%)	36 (4.76%)	633 (83.62%)	Mar-03, Apr-30	757	B.1.1	2
UK47	2 (0.33%)	365 (59.35%)	7 (1.14%)	241 (39.19%)	Feb-23, Apr-23	615	B, B.3	9
UK17	0 (0%)	63 (11.52%)	74 (13.53%)	410 (74.95%)	Mar-09, Apr-30	547	B.1.11	2
UK30	1 (0.83%)	0 (0%)	79 (65.83%)	40 (33.33%)	Mar-18, Apr-27	120	B.1	5
UK67	0 (0%)	95 (84.07%)	0 (0%)	18 (15.93%)	Mar-20, Apr-12	113	B.1, B.1.24	20
UK10	0 (0%)	86 (91.49%)	0 (0%)	8 (8.51%)	Mar-07, Apr-17	94	B.1	15
UK76	0 (0%)	0 (0%)	90 (98.9%)	1 (1.1%)	Mar-16, Apr-27	91	B.1	5
UK18	0 (0%)	3 (4.23%)	0 (0%)	68 (95.77%)	Mar-11, Apr-20	71	B.2.4, B.2	12
UK45	0 (0%)	0 (0%)	67 (95.71%)	3 (4.29%)	Mar-13, Apr-23	70	B.8, B	9
UK24	0 (0%)	0 (0%)	0 (0%)	68 (100.0%)	Mar-15, Apr-21	68	B.2.1, B.2	11
UK4	0 (0%)	14 (22.58%)	0 (0%)	48 (77.42%)	Mar-02, Apr-30	62	B.8	2
UK4136	0 (0%)	2 (3.39%)	0 (0%)	57 (96.61%)	Mar-19, Apr-18	59	B.1	14
UK74	0 (0%)	0 (0%)	0 (0%)	58 (100.0%)	Mar-21, Apr-28	58	B.1	4
UK61	0 (0%)	1 (1.82%)	0 (0%)	54 (98.18%)	Mar-17, Apr-25	55	B.1.30	7
UK58	35 (64.81%)	0 (0%)	7 (12.96%)	12 (22.22%)	Mar-13, Apr-22	54	B	10
UK139	0 (0%)	0 (0%)	0 (0%)	53 (100.0%)	Mar-19, Apr-13	53	B.1	19
UK105	0 (0%)	0 (0%)	0 (0%)	50 (100.0%)	Mar-11, Apr-18	50	B.1	14
UK133	0 (0%)	0 (0%)	0 (0%)	50 (100.0%)	Mar-15, Apr-20	50	B.2.1	12
UK3734	0 (0%)	0 (0%)	0 (0%)	49 (100.0%)	Mar-20, Apr-27	49	B.1	5
UK9	0 (0%)	0 (0%)	0 (0%)	49 (100.0%)	Feb-24, Apr-19	49	B.1	13
UK126	0 (0%)	0 (0%)	0 (0%)	47 (100.0%)	Mar-12, Apr-19	47	B.2.1, B.2	13
UK159	0 (0%)	0 (0%)	0 (0%)	46 (100.0%)	Mar-21, Apr-29	46	B.1	3
UK6521	0 (0%)	0 (0%)	0 (0%)	44 (100.0%)	Mar-19, Apr-14	44	B.1	18
UK142	0 (0%)	0 (0%)	19 (43.18%)	25 (56.82%)	Mar-26, May-01	44	B.1	1
UK41	0 (0%)	1 (2.27%)	43 (97.73%)	0 (0%)	Mar-12, Apr-27	44	A.2	5
UK92	0 (0%)	0 (0%)	43 (100.0%)	0 (0%)	Mar-22, May-01	43	B.1, B.1.19	1
UK1373	0 (0%)	0 (0%)	0 (0%)	41 (100.0%)	Mar-28, Apr-16	41	B.1	16
UK51	1 (2.44%)	1 (2.44%)	39 (95.12%)	0 (0%)	Mar-17, May-01	41	B	1
UK20	2 (5.0%)	2 (5.0%)	35 (87.5%)	1 (2.5%)	Mar-13, Apr-10	40	B.2	22
UK137	0 (0%)	1 (2.56%)	0 (0%)	38 (97.44%)	Mar-25, Apr-26	39	B.1	6
UK14	0 (0%)	2 (5.13%)	2 (5.13%)	35 (89.74%)	Mar-03, Apr-24	39	B	8
UK28	0 (0%)	0 (0%)	1 (2.56%)	38 (97.44%)	Mar-18, Apr-25	39	B.1	7
UK103	0 (0%)	0 (0%)	0 (0%)	38 (100.0%)	Mar-15, Apr-20	38	B.1	12
UK3701	0 (0%)	0 (0%)	0 (0%)	37 (100.0%)	Apr-07, Apr-27	37	B.1	5
UK4931	0 (0%)	0 (0%)	0 (0%)	36 (100.0%)	Mar-23, Apr-26	36	B.2.1	6
UK2	0 (0%)	0 (0%)	0 (0%)	36 (100.0%)	Mar-01, Apr-27	36	B.1.20	5
UK135	0 (0%)	0 (0%)	0 (0%)	36 (100.0%)	Mar-20, Apr-17	36	B.1.13	15
UK15	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-13	33	B.1	19
UK52	0 (0%)	5 (15.15%)	0 (0%)	28 (84.85%)	Mar-11, Apr-14	33	B	18
UK836	0 (0%)	0 (0%)	0 (0%)	33 (100.0%)	Mar-11, Apr-21	33	B.1	11
UK3737	0 (0%)	0 (0%)	0 (0%)	32 (100.0%)	Mar-29, Apr-28	32	B.1	4
UK3738	0 (0%)	0 (0%)	0 (0%)	32 (100.0%)	Mar-31, Apr-15	32	B.1	17
UK111	0 (0%)	0 (0%)	0 (0%)	29 (100.0%)	Mar-16, Apr-05	29	B.1	27
UK44	0 (0%)	0 (0%)	0 (0%)	29 (100.0%)	Mar-19, Apr-29	29	B.2	3
UK369	0 (0%)	0 (0%)	0 (0%)	28 (100.0%)	Mar-29, Apr-29	28	B.1	3
UK8	0 (0%)	1 (3.7%)	0 (0%)	26 (96.3%)	Mar-05, Apr-07	27	B.2.1	25
UK350	0 (0%)	0 (0%)	0 (0%)	26 (100.0%)	Mar-24, Apr-26	26	B.1	6
UK112	0 (0%)	1 (3.85%)	0 (0%)	25 (96.15%)	Mar-12, Apr-17	26	B	15
UK162	0 (0%)	0 (0%)	0 (0%)	26 (100.0%)	Feb-25, Apr-01	26	B.2.1	31
UK96	0 (0%)	0 (0%)	0 (0%)	25 (100.0%)	Mar-19, Apr-27	25	B.1	5
UK53	0 (0%)	0 (0%)	0 (0%)	24 (100.0%)	Mar-10, Apr-11	24	B.2.1	21
UK63	0 (0%)	9 (39.13%)	14 (60.87%)	0 (0%)	Mar-18, Apr-18	23	B.1	14
UK3702	0 (0%)	0 (0%)	0 (0%)	23 (100.0%)	Apr-10, Apr-23	23	B.1	9
UK1970	0 (0%)	0 (0%)	23 (100.0%)	0 (0%)	Apr-08, Apr-30	23	B.1.5	2
UK123	0 (0%)	5 (21.74%)	0 (0%)	18 (78.26%)	Mar-01, Apr-19	23	B.1	13
UK35	0 (0%)	8 (34.78%)	13 (56.52%)	2 (8.7%)	Mar-19, May-01	23	B.1, B.1.5	1
UK173	0 (0%)	0 (0%)	0 (0%)	23 (100.0%)	Mar-16, Apr-19	23	B.1	13
UK34	0 (0%)	0 (0%)	0 (0%)	22 (100.0%)	Mar-14, Apr-02	22	B.2.1	30
UK50	0 (0%)	1 (4.55%)	0 (0%)	21 (95.45%)	Mar-13, Apr-05	22	B.2.1	27
UK3193	0 (0%)	0 (0%)	0 (0%)	22 (100.0%)	Mar-20, Apr-26	22	B.1	6
UK49	0 (0%)	0 (0%)	0 (0%)	22 (100.0%)	Mar-17, Apr-26	22	B.1	6
