Lineage name	Northern Ireland	England	Scotland	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)
UK5	3 (0.34%)	741 (83.45%)	46 (5.18%)	98 (11.04%)	Mar-03, May-08	888	B.1.1	2
UK2461	0 (0%)	402 (70.28%)	69 (12.06%)	101 (17.66%)	Mar-09, May-08	572	B.1.11	2
UK6997	0 (0%)	14 (4.07%)	0 (0%)	330 (95.93%)	Mar-10, Apr-21	344	B.3, B	19
UK30	1 (0.53%)	46 (24.21%)	142 (74.74%)	1 (0.53%)	Mar-18, May-04	190	B.1	6
UK76	0 (0%)	1 (0.8%)	124 (99.2%)	0 (0%)	Mar-16, Apr-28	125	B.1	12
UK10	0 (0%)	8 (7.14%)	2 (1.79%)	102 (91.07%)	Mar-07, Apr-22	112	B.1	18
UK159	0 (0%)	2 (1.83%)	0 (0%)	107 (98.17%)	Mar-20, Apr-20	109	B.1, B.1.24	20
UK45	0 (0%)	5 (5.81%)	81 (94.19%)	0 (0%)	Mar-13, Apr-28	86	B, B.8	12
UK28	0 (0%)	81 (97.59%)	1 (1.2%)	1 (1.2%)	Mar-18, Apr-29	83	B.1	11
UK18	0 (0%)	69 (94.52%)	0 (0%)	4 (5.48%)	Mar-11, Apr-20	73	B.2.4, B.2	20
UK24	0 (0%)	68 (100.0%)	0 (0%)	0 (0%)	Mar-15, Apr-21	68	B.2.1, B.2	19
UK58	46 (69.7%)	13 (19.7%)	7 (10.61%)	0 (0%)	Mar-13, Apr-22	66	B	18
UK74	0 (0%)	62 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-08	62	B.1	2
UK61	0 (0%)	59 (98.33%)	0 (0%)	1 (1.67%)	Mar-17, May-03	60	B.1.30	7
UK3411	0 (0%)	46 (76.67%)	14 (23.33%)	0 (0%)	Mar-18, Apr-28	60	B.1	12
UK4	0 (0%)	49 (81.67%)	0 (0%)	11 (18.33%)	Mar-02, May-01	60	B.8	9
UK105	0 (0%)	55 (98.21%)	0 (0%)	1 (1.79%)	Mar-11, Apr-18	56	B.1	22
UK139	0 (0%)	54 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-17	54	B.1	23
UK47	0 (0%)	50 (94.34%)	3 (5.66%)	0 (0%)	Mar-12, Apr-23	53	B.3	17
UK7689	0 (0%)	53 (100.0%)	0 (0%)	0 (0%)	Mar-18, May-06	53	B.1	4
UK41	0 (0%)	0 (0%)	51 (100.0%)	0 (0%)	Mar-12, Apr-27	51	A.2	13
UK133	0 (0%)	50 (98.04%)	0 (0%)	1 (1.96%)	Mar-15, Apr-20	51	B.2.1	20
UK142	0 (0%)	29 (58.0%)	21 (42.0%)	0 (0%)	Mar-26, May-08	50	B.1	2
UK1373	0 (0%)	49 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-17	49	B.1	23
UK3734	0 (0%)	49 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-02	49	B.1	8
UK9	0 (0%)	49 (100.0%)	0 (0%)	0 (0%)	Feb-24, Apr-30	49	B.1	10
UK15	0 (0%)	0 (0%)	0 (0%)	47 (100.0%)	Mar-25, Apr-21	47	B.1	19
UK126	0 (0%)	47 (100.0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	47	B.2.1, B.2	21
UK6625	0 (0%)	45 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-14	45	B.1	26
UK14	0 (0%)	38 (90.48%)	2 (4.76%)	2 (4.76%)	Mar-03, May-01	42	B	9
UK7690	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-26	42	B.1	14
UK7138	0 (0%)	39 (95.12%)	0 (0%)	2 (4.88%)	Mar-15, Apr-20	41	B.1	20
UK20	3 (7.5%)	1 (2.5%)	34 (85.0%)	2 (5.0%)	Mar-14, Apr-10	40	B.2	30
UK2	0 (0%)	39 (100.0%)	0 (0%)	0 (0%)	Mar-01, Apr-27	39	B.1.20	13
UK7001	1 (2.56%)	0 (0%)	38 (97.44%)	0 (0%)	Mar-17, May-01	39	B	9
UK36	1 (2.56%)	36 (92.31%)	1 (2.56%)	1 (2.56%)	Mar-17, May-09	39	B.1	1
UK3738	0 (0%)	37 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	37	B.1	25
UK52	0 (0%)	33 (89.19%)	0 (0%)	4 (10.81%)	Mar-11, Apr-14	37	B	26
UK135	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-17	36	B.1.13	23
UK4931	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-26	36	B.2.1	14
UK836	0 (0%)	34 (100.0%)	0 (0%)	0 (0%)	Mar-11, Apr-21	34	B.1	19
UK2572	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-06	33	B.1.11	4
UK2060	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-06	33	B.1.5	4
UK35	0 (0%)	4 (12.5%)	13 (40.62%)	15 (46.88%)	Mar-19, May-01	32	B.1, B.1.5	9
