Name,oldest_sequence,newest_sequence,number_taxa
UK7601,2020-03-23,2020-03-23,1
UK7440,2020-03-25,2020-03-25,1
UK58,2020-03-13,2020-04-22,66
UK4110,2020-03-21,2020-03-28,11
UK7367,2020-03-25,2020-03-25,1
UK7167,2020-03-24,2020-03-24,1
UK7436,2020-03-25,2020-03-25,1
UK7441,2020-03-28,2020-03-28,1
UK7296,2020-03-28,2020-03-28,1
UK7370,2020-03-26,2020-03-26,1
UK7361,2020-03-28,2020-03-28,1
UK7252,2020-03-24,2020-03-24,1
UK7227,2020-03-26,2020-03-26,1
UK7213,2020-03-26,2020-03-26,1
UK7442,2020-03-24,2020-03-24,1
UK7228,2020-03-26,2020-03-26,1
UK4109,2020-03-26,2020-04-18,5
UK7297,2020-03-26,2020-03-26,1
UK7253,2020-03-29,2020-03-29,1
UK7198,2020-03-25,2020-03-25,1
UK7214,2020-03-25,2020-03-25,1
UK7804,2020-03-28,2020-03-31,2
UK7443,2020-03-26,2020-03-26,1
UK6397,2020-03-22,2020-04-21,9
UK7224,2020-03-29,2020-03-29,1
UK5432,2020-03-09,2020-03-25,3
UK7229,2020-03-26,2020-03-26,1
UK13,2020-03-03,2020-04-10,10
UK5303,2020-03-20,2020-04-20,18
UK7605,2020-03-24,2020-03-24,1
UK7408,2020-03-26,2020-03-26,1
UK7444,2020-03-24,2020-03-24,1
UK7445,2020-03-24,2020-03-24,1
UK7254,2020-03-25,2020-03-25,1
UK7446,2020-03-28,2020-03-28,1
UK20,2020-03-14,2020-04-10,40
UK7447,2020-03-25,2020-03-25,1
UK7448,2020-03-28,2020-03-28,1
UK5213,2020-03-23,2020-03-26,2
UK7346,2020-03-25,2020-03-25,1
UK2461,2020-03-09,2020-05-08,572
UK5302,2020-04-11,2020-04-22,8
UK7899,2020-04-18,2020-05-02,19
UK7900,2020-04-20,2020-05-05,12
UK7387,2020-04-23,2020-04-23,1
UK7389,2020-04-29,2020-04-29,1
UK5,2020-03-09,2020-05-06,556
UK575,2020-03-29,2020-04-29,10
UK7901,2020-04-29,2020-04-30,3
UK7449,2020-04-17,2020-04-17,1
UK3692,2020-04-04,2020-04-29,4
UK7298,2020-04-29,2020-04-29,1
