Lineage name	Northern Ireland	England	Scotland	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)
UK2461	0 (0%)	402 (70.28%)	69 (12.06%)	101 (17.66%)	Mar-09, May-08	572	B.1.11	2
UK5	2 (0.36%)	433 (77.88%)	46 (8.27%)	75 (13.49%)	Mar-09, May-06	556	B.1.1, B.1	4
UK6997	0 (0%)	14 (4.07%)	0 (0%)	330 (95.93%)	Mar-10, Apr-21	344	B.2, B.3, B	19
UK30	1 (0.53%)	46 (24.21%)	142 (74.74%)	1 (0.53%)	Mar-18, May-04	190	B.1	6
UK76	0 (0%)	1 (0.8%)	124 (99.2%)	0 (0%)	Mar-16, Apr-28	125	B.1.35, B.1	12
UK67	0 (0%)	19 (15.32%)	0 (0%)	105 (84.68%)	Mar-20, Apr-20	124	B.1, B.1.24	20
UK10	0 (0%)	8 (7.14%)	2 (1.79%)	102 (91.07%)	Mar-07, Apr-22	112	B.1.35, B.1.5.6	18
UK45	0 (0%)	5 (5.81%)	81 (94.19%)	0 (0%)	Mar-13, Apr-28	86	B	12
UK7139	0 (0%)	85 (98.84%)	0 (0%)	1 (1.16%)	Mar-18, Apr-29	86	B.1.47, B.1	11
UK18	0 (0%)	69 (94.52%)	0 (0%)	4 (5.48%)	Mar-11, Apr-20	73	B.2.4, B.2	20
UK24	0 (0%)	68 (100.0%)	0 (0%)	0 (0%)	Mar-15, Apr-21	68	B.2.1, B.2, B.2.5	19
UK58	46 (69.7%)	13 (19.7%)	7 (10.61%)	0 (0%)	Mar-13, Apr-22	66	B.10	18
UK74	0 (0%)	62 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-08	62	B.1	2
UK61	0 (0%)	59 (98.33%)	0 (0%)	1 (1.67%)	Mar-17, May-03	60	B.1.30	7
UK4	0 (0%)	49 (81.67%)	0 (0%)	11 (18.33%)	Mar-02, May-01	60	B.8	9
UK159	0 (0%)	55 (96.49%)	0 (0%)	2 (3.51%)	Mar-18, May-06	57	B.1	4
UK105	0 (0%)	55 (98.21%)	0 (0%)	1 (1.79%)	Mar-11, Apr-18	56	B.1.53	22
UK139	0 (0%)	54 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-17	54	B.1.47, B.1	23
UK47	0 (0%)	50 (94.34%)	3 (5.66%)	0 (0%)	Mar-12, Apr-23	53	B.3	17
UK133	0 (0%)	50 (98.04%)	0 (0%)	1 (1.96%)	Mar-15, Apr-20	51	B.2.1	20
UK41	0 (0%)	0 (0%)	51 (100.0%)	0 (0%)	Mar-12, Apr-27	51	A.2	13
UK142	0 (0%)	29 (58.0%)	21 (42.0%)	0 (0%)	Mar-26, May-08	50	B.1.55	2
UK1373	0 (0%)	49 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-17	49	B.1	23
UK9	0 (0%)	49 (100.0%)	0 (0%)	0 (0%)	Feb-24, Apr-30	49	B.1	10
UK15	0 (0%)	0 (0%)	0 (0%)	47 (100.0%)	Mar-25, Apr-21	47	B.1.44, B.1	19
UK3734	0 (0%)	47 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-02	47	B.1.47, B.1	8
UK126	0 (0%)	47 (100.0%)	0 (0%)	0 (0%)	Mar-12, Apr-19	47	B.2.1, B.2	21
UK6502	0 (0%)	43 (100.0%)	0 (0%)	0 (0%)	Mar-19, Apr-14	43	B.1	26
UK3701	0 (0%)	43 (100.0%)	0 (0%)	0 (0%)	Mar-20, May-05	43	B.1.47, B.1	5
UK7687	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-26	42	B.1	14
UK7880	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-01	42	B.1.1	9
UK14	0 (0%)	38 (90.48%)	2 (4.76%)	2 (4.76%)	Mar-03, May-01	42	B	9
UK7138	0 (0%)	39 (95.12%)	0 (0%)	2 (4.88%)	Mar-15, Apr-20	41	B.1.47, B.1	20
UK20	3 (7.5%)	1 (2.5%)	34 (85.0%)	2 (5.0%)	Mar-14, Apr-10	40	B.2	30
UK2	0 (0%)	39 (100.0%)	0 (0%)	0 (0%)	Mar-01, Apr-27	39	B.1.20	13
UK51	1 (2.56%)	0 (0%)	38 (97.44%)	0 (0%)	Mar-17, May-01	39	B	9
UK3738	0 (0%)	38 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	38	B.1.52	25
UK52	0 (0%)	33 (89.19%)	0 (0%)	4 (10.81%)	Mar-11, Apr-14	37	B	26
UK135	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-17	36	B.1.13	23
UK4931	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-26	36	B.2.1	14
UK7902	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-16	36	B.1.1	24
UK836	0 (0%)	34 (100.0%)	0 (0%)	0 (0%)	Mar-11, Apr-21	34	B.1.56	19
UK2060	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-06	33	B.1.5.5	4
UK2572	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Apr-08, May-06	33	B.1.11	4
UK35	0 (0%)	4 (12.5%)	13 (40.62%)	15 (46.88%)	Mar-19, May-01	32	B.1.5.6	9
UK3737	0 (0%)	32 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-28	32	B.1	12
UK44	0 (0%)	31 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-01	31	B.2	9
UK369	0 (0%)	30 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-29	30	B.1	11
UK111	0 (0%)	29 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-05	29	B.1	35
UK8	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Mar-05, Apr-07	28	B.2.1	33
UK112	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Mar-12, May-01	28	B.9, B	9
UK162	0 (0%)	28 (100.0%)	0 (0%)	0 (0%)	Feb-25, Apr-01	28	B.2.1	39
UK350	0 (0%)	27 (100.0%)	0 (0%)	0 (0%)	Mar-24, May-02	27	B.1	8
UK72	0 (0%)	26 (100.0%)	0 (0%)	0 (0%)	Mar-21, May-08	26	B.1.47, B.1	2
UK53	0 (0%)	25 (96.15%)	1 (3.85%)	0 (0%)	Mar-10, Apr-17	26	B.2.1	23
UK96	0 (0%)	25 (96.15%)	1 (3.85%)	0 (0%)	Mar-19, Apr-27	26	B.1	13
UK3740	0 (0%)	25 (100.0%)	0 (0%)	0 (0%)	Mar-25, Apr-17	25	B.1.47, B.1	23
UK4137	0 (0%)	1 (4.0%)	0 (0%)	24 (96.0%)	Apr-01, Apr-16	25	B.1.47, B.1.52, B.1	24
UK3747	0 (0%)	15 (62.5%)	0 (0%)	9 (37.5%)	Apr-01, Apr-30	24	B.1.51	10
