Lineage,Days,England,Scotland,Wales,Northern Ireland
UK649,2020-03-04,6,0,0,0
UK649,2020-03-04,6,0,0,0
UK649,2020-03-04,6,0,0,0
UK649,2020-03-04,6,0,0,0
UK649,2020-03-04,6,0,0,0
UK649,2020-03-04,6,0,0,0
UK4172,2020-02-15,1,0,0,0
UK4172,2020-02-16,1,0,0,0
UK4172,2020-02-28,1,0,0,0
UK4172,2020-02-29,1,0,0,0
UK4172,2020-03-01,2,0,0,0
UK4172,2020-03-01,2,0,0,0
UK4172,2020-03-02,2,0,0,0
UK4172,2020-03-02,2,0,0,0
UK4172,2020-03-03,2,0,0,0
UK4172,2020-03-03,2,0,0,0
UK4172,2020-03-04,1,0,0,0
UK4172,2020-03-05,2,0,0,0
UK4172,2020-03-05,2,0,0,0
UK1631,2020-02-28,2,0,0,0
UK1631,2020-02-28,2,0,0,0
UK1631,2020-02-29,1,0,0,0
UK1631,2020-03-01,2,0,0,0
UK1631,2020-03-01,2,0,0,0
UK1631,2020-03-04,1,0,0,0
UK1631,2020-03-05,1,0,0,0
UK1494,2020-03-01,1,0,0,0
UK1494,2020-03-03,1,0,0,0
UK1494,2020-03-04,1,0,0,0
UK1494,2020-03-05,2,0,0,0
UK1494,2020-03-05,2,0,0,0
UK1494,2020-03-07,1,0,0,0
UK165,2020-02-27,1,0,0,0
UK165,2020-02-29,3,0,0,0
UK165,2020-02-29,3,0,0,0
UK165,2020-02-29,3,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-03,6,0,0,0
UK165,2020-03-04,3,0,0,0
UK165,2020-03-04,3,0,0,0
UK165,2020-03-04,3,0,0,0
UK165,2020-03-05,1,0,0,0
UK165,2020-03-06,5,0,0,0
UK165,2020-03-06,5,0,0,0
UK165,2020-03-06,5,0,0,0
UK165,2020-03-06,5,0,0,0
UK165,2020-03-06,5,0,0,0
UK165,2020-03-08,1,0,0,0
UK1632,2020-03-01,1,0,0,0
UK1632,2020-03-03,1,0,0,0
UK1632,2020-03-04,2,0,0,0
UK1632,2020-03-04,2,0,0,0
UK1632,2020-03-05,1,0,0,0
UK1632,2020-03-06,1,0,0,0
UK1632,2020-03-07,1,0,0,0
UK1632,2020-03-08,1,0,0,0
UK720,2020-02-28,3,0,0,0
UK720,2020-02-28,3,0,0,0
UK720,2020-02-28,3,0,0,0
UK720,2020-03-02,1,0,0,0
UK720,2020-03-03,1,0,0,0
UK720,2020-03-04,1,0,0,0
UK720,2020-03-06,1,0,0,0
UK720,2020-03-07,2,0,0,0
UK720,2020-03-07,2,0,0,0
UK720,2020-03-08,1,0,0,0
UK1849,2020-03-06,1,0,0,0
UK1849,2020-03-10,1,0,0,0
