sequence_name,sample_date,epi_week,country,adm1,adm2,lineage,lineages_version,uk_lineage,acc_lineage,del_lineage,phylotype,acc_introduction,del_introduction,sequencing_org_code
England/NORT-291EBD/2020,2020-05-06,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK203,B.1.X_404,B.1.X_861,UK203_1.1.1,B.1.X_489,B.1.X_489,NORT
England/NORT-292001/2020,2020-05-07,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.1.1,B.1.X_613,B.1.X_924,NORT
England/NORT-292317/2020,2020-05-09,19.0,UK,UK-ENG,CUMBRIA,B.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.1.1.1.1,B.1.X_613,B.1.X_924,NORT
England/NORT-28ABDE/2020,2020-04-15,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1,2020-05-19,UK36,B.1_1308,B.1_382,UK36_1,B.1_1733,B.1_1764,NORT
England/NORT-292678/2020,2020-05-13,20.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.2,B.1.X_613,B.1.X_924,NORT
England/NORT-28A558/2020,2020-04-12,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_178,UK5_1.1.1.1.2,B.1.X_613,B.1.X_821,NORT
England/NORT-28A5A3/2020,2020-04-12,16.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1,2020-05-19,UK5329,B.1.X_2338,B.1.X_2795,,B.1.X_1452,B.1.X_2013,NORT
England/NORT-291E62/2020,2020-05-05,19.0,UK,UK-ENG,CUMBRIA,B.1.5,2020-05-19,UK226,B.1_740,B.1_758,UK226_1,B.1_266,B.1_266,NORT
England/NORT-28B302/2020,2020-05-03,19.0,UK,UK-ENG,TYNE AND WEAR,B.1.1,2020-05-19,UK5330,B.1.X_2337,B.1.X_2794,,B.1.X_1453,B.1.X_2014,NORT
England/NORT-29239F/2020,2020-05-10,20.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.3.1,B.1.X_613,B.1.X_924,NORT
England/NORT-28A4B5/2020,2020-04-11,15.0,UK,UK-ENG,NORTH YORKSHIRE,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_178,UK5_1.1.1.1.2,B.1.X_613,B.1.X_822,NORT
England/NORT-2923EA/2020,2020-05-04,19.0,UK,UK-ENG,CUMBRIA,B.1.1.1,2020-05-19,UK5,B.1.X_2477,B.1.X_410,UK5_1.1.1.2.3,B.1.X_613,B.1.X_924,NORT
