Lineage,Days,England,Scotland,Wales,Northern Ireland
UK5352,2020-04-22,0,2,0,0
UK5352,2020-04-22,0,2,0,0
UK5352,2020-04-27,0,4,0,0
UK5352,2020-04-27,0,4,0,0
UK5352,2020-04-27,0,4,0,0
UK5352,2020-04-27,0,4,0,0
UK472,2020-04-04,0,0,1,0
UK472,2020-04-05,0,0,1,0
UK472,2020-04-08,0,0,2,0
UK472,2020-04-08,0,0,2,0
UK472,2020-04-09,0,0,3,0
UK472,2020-04-09,0,0,3,0
UK472,2020-04-09,0,0,3,0
UK472,2020-04-10,0,0,1,0
UK472,2020-04-12,0,0,1,0
UK472,2020-04-14,0,0,1,0
UK472,2020-04-15,0,0,1,0
UK472,2020-04-16,0,0,4,0
UK472,2020-04-16,0,0,4,0
UK472,2020-04-16,0,0,4,0
UK472,2020-04-16,0,0,4,0
UK472,2020-04-20,0,0,1,0
UK472,2020-04-24,0,0,1,0
UK472,2020-04-27,0,0,1,0
UK14,2020-03-04,1,0,0,0
UK14,2020-03-07,1,0,0,0
UK14,2020-03-08,1,0,0,0
UK14,2020-03-12,1,0,0,0
UK14,2020-03-14,0,1,0,0
UK14,2020-03-16,0,1,0,0
UK14,2020-03-17,0,3,0,0
UK14,2020-03-17,0,3,0,0
UK14,2020-03-17,0,3,0,0
UK14,2020-03-18,1,0,0,0
UK14,2020-03-19,0,2,0,0
UK14,2020-03-19,0,2,0,0
UK14,2020-03-21,0,2,0,0
UK14,2020-03-21,0,2,0,0
UK14,2020-03-23,0,2,0,0
UK14,2020-03-23,0,2,0,0
UK14,2020-03-24,1,4,0,0
UK14,2020-03-24,1,4,0,0
UK14,2020-03-24,1,4,0,0
UK14,2020-03-24,1,4,0,0
UK14,2020-03-24,1,4,0,0
UK14,2020-03-31,0,1,0,0
UK14,2020-04-01,1,2,0,0
UK14,2020-04-01,1,2,0,0
UK14,2020-04-01,1,2,0,0
UK14,2020-04-02,0,1,0,0
UK14,2020-04-08,0,2,0,0
UK14,2020-04-08,0,2,0,0
UK14,2020-04-14,0,1,0,0
UK14,2020-04-25,0,1,0,0
UK14,2020-04-27,0,2,0,0
UK14,2020-04-27,0,2,0,0
UK367,2020-03-25,0,0,1,0
UK367,2020-04-03,0,0,2,0
UK367,2020-04-03,0,0,2,0
UK367,2020-04-07,0,0,2,0
UK367,2020-04-07,0,0,2,0
UK367,2020-04-12,0,0,1,0
