Lineage name	England	Wales	Northern Ireland	Scotland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	5390 (80.17%)	821 (12.21%)	210 (3.12%)	302 (4.49%)	Feb-23, Jun-14	6723	B.1.1.p16, B.1.1.13, B.1.1.16, B.1.1.1, B.1.1.p15, B.1.1.p11, B.1.1.p12, B.1.1.10, B.1.1, B.1.1.14	0	active today
UK42	699 (53.4%)	371 (28.34%)	2 (0.15%)	237 (18.11%)	Feb-03, Jun-04	1309	B.1.67, B.1.35, B.1.5, B.1.p73, B.1.p11, B.1, B.1.71, B.1.72	10	0.0093
UK107	1183 (91.78%)	55 (4.27%)	11 (0.85%)	40 (3.1%)	Feb-09, Jun-02	1289	B.2.5, B.2.1, B.2	12	0.0074
UK5676	328 (62.24%)	57 (10.82%)	5 (0.95%)	137 (26.0%)	Feb-14, May-22	527	B.3, B.2	23	0.0081
UK2464	283 (57.99%)	80 (16.39%)	0 (0%)	125 (25.61%)	Mar-09, Jun-07	488	B.1.p11, B.1	7	0.0264
UK61	41 (9.36%)	397 (90.64%)	0 (0%)	0 (0%)	Mar-08, May-27	438	B.3	18	0.0102
UK199	243 (56.25%)	37 (8.56%)	1 (0.23%)	151 (34.95%)	Feb-26, Jun-08	432	B.1.p73, B.1, B.1.5.5, B.1.5	6	0.0398
UK36	59 (14.18%)	2 (0.48%)	2 (0.48%)	353 (84.86%)	Mar-18, Jun-03	416	B.1	11	0.0169
UK2913	307 (74.15%)	17 (4.11%)	11 (2.66%)	79 (19.08%)	Mar-07, Jun-01	414	B.1.p11, B.1	13	0.016
UK167	241 (61.48%)	115 (29.34%)	17 (4.34%)	19 (4.85%)	Jan-27, Jun-07	392	B.1.66, B.1	7	0.0482
UK5098	6 (1.78%)	0 (0%)	0 (0%)	332 (98.22%)	Mar-16, May-27	338	B.1.p73, B.1.8, B.1	18	0.0119
UK158	33 (9.88%)	301 (90.12%)	0 (0%)	0 (0%)	Mar-20, Jun-03	334	B.1.1.2, B.1.1	11	0.0205
UK2916	252 (77.54%)	52 (16.0%)	9 (2.77%)	12 (3.69%)	Feb-03, Jun-01	325	B.1	13	0.0283
UK72	251 (77.71%)	14 (4.33%)	12 (3.72%)	46 (14.24%)	Feb-05, May-27	323	B, B.2.2, B.2	18	0.0193
UK109	46 (14.84%)	31 (10.0%)	4 (1.29%)	229 (73.87%)	Mar-12, Jun-08	310	B.1.5.5, B.1.5	6	0.0475
UK5741	161 (59.19%)	111 (40.81%)	0 (0%)	0 (0%)	Mar-09, Jun-02	272	B.1.44, B.1	12	0.0261
UK2735	142 (57.49%)	67 (27.13%)	15 (6.07%)	23 (9.31%)	Mar-18, May-29	247	B.1.1	16	0.0183
UK632	38 (15.45%)	205 (83.33%)	0 (0%)	3 (1.22%)	Mar-23, Jun-04	246	B.1.1	10	0.0298
UK3021	23 (9.58%)	217 (90.42%)	0 (0%)	0 (0%)	Mar-12, Jun-06	240	B.1	8	0.045
UK9	213 (99.53%)	1 (0.47%)	0 (0%)	0 (0%)	Mar-09, May-15	214	B.1.13	30	0.0105
UK3929	175 (82.94%)	3 (1.42%)	2 (0.95%)	31 (14.69%)	Mar-06, Jun-03	211	B.1.1.4, B.1.1.3, B.1.1	11	0.0385
UK370	81 (46.29%)	54 (30.86%)	8 (4.57%)	32 (18.29%)	Mar-06, Jun-02	175	B.1.1.10	12	0.0421
UK40	6 (3.49%)	2 (1.16%)	0 (0%)	164 (95.35%)	Mar-13, May-26	172	B, B.16	19	0.0228
UK15	128 (76.19%)	11 (6.55%)	1 (0.6%)	28 (16.67%)	Feb-27, May-06	168	B.1.1	39	0.0106
