UK_lineage,taxon
UK275,England/EXET-1373D9/2020
UK35,England/EXET-137342/2020
UK12,England/EXET-1372CD/2020
UK32,England/EXET-136E51/2020
UK3126,England/EXET-136EAC/2020
UK2913,England/EXET-136F6D/2020
UK331,England/EXET-136F5E/2020
UK635,England/EXET-13603D/2020
UK64,England/EXET-135CEF/2020
UK3189,England/EXET-135D91/2020
UK3192,England/EXET-135C76/2020
UK5649,England/EXET-135BD3/2020
UK1619,England/EXET-135C85/2020
UK3194,England/EXET-135C2B/2020
UK4528,England/EXET-135EBC/2020
UK15,England/EXET-135F13/2020
UK61,England/EXET-135A30/2020
UK202,England/EXET-135AA9/2020
UK276,England/EXET-1358EB/2020
UK326,England/EXET-13558A/2020
UK781,England/EXET-1357EE/2020
UK31,England/EXET-1357B1/2020
UK3037,England/EXET-135098/2020
