UK_lineage,taxon
UK1103,England/NOTT-113027/2020
UK461,Wales/MILK-9924E0/2020
UK511,England/ALDP-9827EA/2020
UK814,England/ALDP-97EFAD/2020
UK1452,England/ALDP-97FB20/2020
UK1660,England/NOTT-112FC1/2020
UK1134,England/ALDP-97FFAC/2020
UK691,England/ALDP-982683/2020
UK1855,England/ALDP-981059/2020
UK1175,England/MILK-9781E9/2020
UK597,England/NOTT-112E00/2020
UK501,England/NOTT-1129D2/2020
UK1837,England/NOTT-1129F0/2020
UK2098,England/NOTT-112A75/2020
UK1279,England/NOTT-112A39/2020
UK513,England/NOTT-1128D5/2020
UK1783,England/NOTT-112987/2020
UK1642,England/NOTT-11295A/2020
UK1153,England/LCST-24D7378/2020
UK1759,England/LCST-24D726C/2020
UK180,England/NOTT-112705/2020
UK894,England/NOTT-11251A/2020
UK1228,England/NOTT-112583/2020
UK1999,England/NOTT-112617/2020
UK1515,England/NOTT-112468/2020
UK1995,England/NOTT-11237A/2020
UK6,England/NOTT-11233E/2020
UK1601,England/NOTT-1122AA/2020
UK1784,England/NOTT-1122E6/2020
UK2110,England/LCST-24D6A0B/2020
UK669,England/LCST-24D7026/2020
UK1388,England/LCST-24D7080/2020
UK698,England/NOTT-112143/2020
UK1980,England/NOTT-111EE3/2020
UK1270,England/NOTT-111751/2020
UK1218,England/NOTT-111584/2020
UK2089,England/NOTT-111478/2020
UK954,England/NOTT-110D23/2020
UK1051,England/NOTT-110B0B/2020
UK1961,England/NOTT-110BED/2020
UK166,England/NOTT-110AC2/2020
UK466,England/NOTT-110770/2020
UK1230,England/NOTT-110761/2020
UK5498,England/NOTT-11078F/2020
UK2127,England/NOTT-110673/2020
UK373,England/NOTT-110637/2020
UK1414,England/NOTT-110567/2020
UK1140,England/NOTT-11038B/2020
UK104,England/NOTT-110312/2020
UK101,England/NOTT-10FE60/2020
UK1800,England/NOTT-10FE9D/2020
UK538,England/NOTT-10FE7F/2020
UK913,England/NOTT-10FF12/2020
UK1996,England/NOTT-10FD36/2020
UK958,England/NOTT-10FE24/2020
UK801,England/NOTT-10FC0C/2020
UK1914,England/NOTT-10FC93/2020
UK38,England/NOTT-10FB1E/2020
UK1581,England/NOTT-10FA4E/2020
UK830,England/NOTT-10F9AB/2020
UK494,England/NOTT-10F96F/2020
UK638,England/NOTT-10F862/2020
UK1884,England/NOTT-10F7CF/2020
UK984,England/NOTT-10F835/2020
UK438,England/NOTT-10F4AA/2020
UK1065,England/NOTT-10F55C/2020
UK787,England/NOTT-10F4B9/2020
UK1091,England/NOTT-10F56B/2020
UK491,England/NOTT-10F2DD/2020
UK207,England/NOTT-10F3E9/2020
UK1278,England/NOTT-10F3CB/2020
UK1058,England/NOTT-10F282/2020
UK1769,England/NOTT-10EF5F/2020
UK84,England/NOTT-10EE9E/2020
UK930,England/NOTT-10F01F/2020
UK771,England/NOTT-10EFE6/2020
UK148,England/NOTT-10ECEF/2020
UK1484,England/NOTT-10EDBF/2020
UK75,England/NOTT-10EE43/2020
UK329,England/NOTT-10EE16/2020
UK26,England/NOTT-10E599/2020
UK49,England/NOTT-10E4C9/2020
UK497,England/NOTT-10EAB8/2020
UK59,England/NOTT-10EAA9/2020
UK4491,England/NOTT-10EB3D/2020
UK1072,England/NOTT-10E8CD/2020
UK62,England/NOTT-10EA03/2020
UK673,England/NOTT-10E942/2020
UK1573,England/NOTT-10E8FA/2020
UK172,England/NOTT-10E766/2020
UK499,England/NOTT-10E72A/2020
UK463,England/NOTT-10E20B/2020
UK902,England/NOTT-10E13B/2020
UK123,England/NOTT-10DF9C/2020
UK1926,England/NOTT-10E02F/2020
