UK_lineage,taxon
UK1855,England/ALDP-985987/2020
UK698,England/ALDP-98595A/2020
UK973,England/ALDP-985996/2020
UK1271,England/ALDP-983831/2020
UK1156,England/ALDP-985FB2/2020
UK1442,England/ALDP-983B92/2020
UK1806,England/NORW-EEA37/2020
UK1280,England/NORW-EF09E/2020
UK847,England/NORW-EDADE/2020
UK1791,England/NORW-EE509/2020
UK786,England/NORW-ED995/2020
UK5498,England/NORW-ED7F5/2020
UK1445,England/NORW-ECAA2/2020
UK1727,England/NORW-EE9EF/2020
UK88,England/NORW-ED977/2020
UK315,England/NORW-ED82F/2020
UK422,England/NORW-EE3E1/2020
UK4474,England/NORW-ED84D/2020
UK989,England/NORW-ED86B/2020
UK365,England/NORW-ED634/2020
UK1037,England/NORW-ECA1B/2020
UK1983,England/NORW-E9D33/2020
UK1659,England/NORW-EA97A/2020
UK1803,England/NORW-EA79E/2020
UK1796,England/NORW-E9A69/2020
UK614,England/NORW-E9AE1/2020
UK1346,England/NORW-E9173/2020
UK1061,England/NORW-E9C27/2020
UK1621,England/NORW-E8FF2/2020
UK1960,England/NORW-EA822/2020
UK1196,England/NORW-EC7D8/2020
UK1805,England/NORW-EAEB7/2020
UK1689,England/NORW-EBB0A/2020
UK1345,England/NORW-EAFB4/2020
UK1840,England/NORW-EAE6C/2020
UK1470,England/NORW-EB557/2020
UK1138,England/NORW-EB51B/2020
UK1857,England/NORW-E9331/2020
UK1723,England/NORW-E9155/2020
UK2109,England/NORW-E95C2/2020
UK1721,England/NORW-E93E6/2020
UK1090,England/NORW-E7913/2020
UK1515,England/NORW-E7F20/2020
UK1644,England/NORW-E7430/2020
UK1356,England/NORW-E7E14/2020
UK2117,England/NORW-E8086/2020
UK900,England/NORW-E8D43/2020
UK1514,England/NORW-E8569/2020
UK1553,England/NORW-E72AF/2020
UK1864,England/NORW-E70E1/2020
UK267,England/NORW-E9823/2020
UK738,England/NORW-E845D/2020
UK1860,England/NORW-E7184/2020
UK1307,England/NORW-E994E/2020
UK917,England/NORW-E86C0/2020
UK964,England/NORW-E8B2B/2020
UK1003,England/NORW-E81CF/2020
UK1200,England/NORW-E83BA/2020
UK200,England/NORW-E8262/2020
UK1710,England/NORW-E887F/2020
UK49,England/NORW-E8AC4/2020
UK2034,England/NORW-E8192/2020
UK1671,England/NORW-E6E06/2020
UK1955,England/NORW-E6F30/2020
UK9,England/NORW-E8C46/2020
UK1076,England/NORW-E82CC/2020
UK1498,England/NORW-E8C19/2020
UK1350,England/NORW-E8763/2020
UK829,England/NORW-E8CDD/2020
UK157,England/NORW-E83C9/2020
UK1833,England/NORW-E87AF/2020
UK1265,England/NORW-E8815/2020
UK1607,England/NORW-E8350/2020
UK759,England/NORW-E836F/2020
UK1831,England/NORW-E810B/2020
UK191,England/NORW-E8B49/2020
UK1314,England/NORW-E6F6D/2020
UK2076,England/NORW-E8754/2020
UK371,England/NORW-E83D8/2020
