UK_lineage,taxon
UK3264,Scotland/CVR3415/2020
UK563,Scotland/CVR3497/2020
UK147,Scotland/CVR3475/2020
UK2048,Scotland/CVR3503/2020
UK1174,Scotland/CVR3491/2020
UK5512,Scotland/CVR3172/2020
UK494,Scotland/CVR2263/2020
UK1882,Scotland/CVR2871/2020
UK828,Scotland/CVR2476/2020
UK1883,Scotland/CVR2557/2020
UK1258,Scotland/CVR1520/2020
UK2775,Scotland/CVR2193/2020
UK940,Scotland/CVR2196/2020
UK95,Scotland/CVR2345/2020
UK81,Scotland/CVR2252/2020
UK3112,Scotland/CVR1825/2020
UK231,Scotland/CVR2218/2020
UK1605,Scotland/CVR3243/2020
UK5499,Scotland/CVR2840/2020
UK1687,Scotland/CVR2967/2020
UK2908,Scotland/CVR2316/2020
UK2133,Scotland/CVR2226/2020
UK1885,Scotland/CVR2217/2020
UK1334,Scotland/CVR3082/2020
UK63,Scotland/CVR3094/2020
UK1954,Scotland/CVR2982/2020
UK55,Scotland/CVR2748/2020
UK3217,Scotland/CVR2919/2020
UK2140,Scotland/CVR2750/2020
UK5088,Scotland/CVR2281/2020
UK2835,Scotland/CVR2819/2020
UK3218,Scotland/CVR2691/2020
UK214,Scotland/CVR2229/2020
UK2839,Scotland/CVR1076/2020
UK5549,Scotland/CVR336/2020
UK4674,Scotland/CVR353/2020
UK2159,Scotland/CVR427/2020
UK4675,Scotland/CVR348/2020
UK1920,Scotland/CVR355/2020
UK1949,Scotland/CVR247/2020
UK1626,Scotland/CVR334/2020
UK2840,Scotland/CVR896/2020
UK2738,Scotland/CVR910/2020
UK5706,Scotland/CVR238/2020
UK3243,Scotland/CVR763/2020
UK1845,Scotland/CVR249/2020
UK506,Scotland/CVR263/2020
UK5645,Scotland/CVR357/2020
UK83,Scotland/CVR772/2020
UK2690,Scotland/CVR337/2020
UK2841,Scotland/CVR697/2020
UK1932,Scotland/CVR453/2020
UK1785,Scotland/CVR579/2020
UK5129,Scotland/CVR2838/2020
UK2207,Scotland/CVR2812/2020
UK5490,Scotland/CVR350/2020
UK5162,Scotland/CVR285/2020
UK2875,Scotland/CVR325/2020
UK1190,Scotland/CVR243/2020
UK596,Scotland/CVR378/2020
UK5322,Scotland/CVR563/2020
UK3373,Scotland/CVR536/2020
UK424,Scotland/CVR739/2020
UK5522,Scotland/CVR402/2020
UK1633,Scotland/CVR575/2020
UK1607,Scotland/CVR286/2020
UK1345,Scotland/CVR766/2020
UK5714,Scotland/CVR305/2020
UK1669,Scotland/CVR239/2020
UK557,Scotland/CVR797/2020
UK2209,Scotland/CVR399/2020
UK2876,Scotland/CVR569/2020
UK3201,Scotland/CVR753/2020
UK4,Scotland/CVR252/2020
UK1073,Scotland/CVR258/2020
UK5147,Scotland/CVR1059/2020
UK2847,Scotland/CVR866/2020
UK1135,Scotland/CVR817/2020
UK2877,Scotland/CVR898/2020
UK2772,Scotland/CVR1249/2020
UK1684,Scotland/CVR1560/2020
UK2848,Scotland/CVR1557/2020
UK337,Scotland/CVR1416/2020
UK2849,Scotland/CVR914/2020
UK620,Scotland/CVR1402/2020
UK3496,Scotland/CVR882/2020
UK2246,Scotland/CVR1449/2020
UK744,Scotland/CVR1019/2020
UK2851,Scotland/CVR986/2020
UK3497,Scotland/CVR1367/2020
UK119,Scotland/CVR1014/2020
UK1749,Scotland/CVR1388/2020
UK3498,Scotland/CVR861/2020
UK561,Scotland/CVR1011/2020
UK2247,Scotland/CVR928/2020
UK3500,Scotland/CVR1445/2020
UK4402,Scotland/CVR790/2020
UK2248,Scotland/CVR1094/2020
UK4557,Scotland/CVR1281/2020
UK1350,Scotland/CVR1425/2020
UK4740,Scotland/CVR1919/2020
UK1889,Scotland/CVR1137/2020
UK4456,Scotland/CVR1270/2020
UK45,Scotland/CVR2228/2020
UK1753,Scotland/CVR1817/2020
UK124,Scotland/CVR849/2020
UK1723,Scotland/CVR1978/2020
UK3596,Scotland/CVR1550/2020
UK1609,Scotland/CVR1267/2020
UK1129,Scotland/CVR304/2020
UK4502,Scotland/CVR977/2020
UK2289,Scotland/CVR942/2020
UK451,Scotland/CVR278/2020
UK287,Scotland/CVR855/2020
UK2570,Scotland/CVR1493/2020
UK274,Scotland/CVR1647/2020
UK1783,Scotland/CVR1639/2020
UK1650,Scotland/CVR1569/2020
UK1725,Scotland/CVR1663/2020
UK433,Scotland/CVR1710/2020
UK3827,Scotland/CVR1677/2020
UK1877,Scotland/CVR1633/2020
UK1879,Scotland/CVR1751/2020
UK5570,Scotland/CVR464/2020
UK491,Scotland/CVR999/2020
UK763,Scotland/CVR1290/2020
UK2909,Scotland/CVR1598/2020
UK155,Scotland/CVR1534/2020
UK1819,Scotland/CVR1426/2020
UK4577,Scotland/CVR1430/2020
UK4174,Scotland/CVR1309/2020
UK1756,Scotland/CVR1432/2020
UK4422,Scotland/CVR1412/2020
UK1080,Scotland/CVR1400/2020
UK4237,Scotland/CVR1437/2020
UK5269,Scotland/CVR1359/2020
UK3888,Scotland/CVR1406/2020
UK4248,Scotland/CVR1407/2020
UK4578,Scotland/CVR1638/2020
UK625,Scotland/CVR1483/2020
UK1820,Scotland/CVR1691/2020
UK1727,Scotland/CVR1022/2020
UK1226,Scotland/CVR1145/2020
UK5057,Scotland/CVR801/2020
UK4426,Scotland/CVR1576/2020
UK1915,Scotland/CVR1308/2020
UK5288,Scotland/CVR400/2020
UK2465,Scotland/CVR452/2020
UK5075,Scotland/CVR668/2020
UK1661,Scotland/CVR450/2020
UK5289,Scotland/CVR650/2020
UK2466,Scotland/CVR472/2020
UK1982,Scotland/CVR608/2020
UK4611,Scotland/CVR704/2020
UK1781,Scotland/CVR754/2020
UK1989,Scotland/CVR142/2020
UK5868,Scotland/CVR130/2020
UK5479,Scotland/CVR139/2020
UK5113,Scotland/CVR123/2020
UK4618,Scotland/CVR135/2020
UK5788,Scotland/CVR149/2020
UK37,Scotland/CVR151/2020
UK1175,Scotland/CVR118/2020
UK1953,Scotland/CVR131/2020
UK647,Scotland/CVR163/2020
UK2886,Scotland/CVR143/2020
UK1611,Scotland/CVR176/2020
UK4329,Scotland/CVR136/2020
UK2494,Scotland/CVR159/2020
UK4450,Scotland/CVR164/2020
UK5808,Scotland/CVR134/2020
UK5649,Scotland/CVR171/2020
UK1460,Scotland/CVR170/2020
UK1048,Scotland/CVR634/2020
UK1769,Scotland/CVR199/2020
UK243,Scotland/CVR220/2020
UK552,Scotland/CVR190/2020
UK1612,Scotland/CVR212/2020
UK4337,Scotland/CVR155/2020
UK188,Scotland/CVR219/2020
UK4349,Scotland/CVR236/2020
UK5081,Scotland/CVR208/2020
UK5880,Scotland/CVR222/2020
UK2070,Scotland/CVR34/2020
UK5631,Scotland/CVR93/2020
UK1509,Scotland/CVR91/2020
UK2512,Scotland/CVR11/2020
UK2513,Scotland/CVR60/2020
UK2514,Scotland/CVR58/2020
UK1479,Scotland/CVR14/2020
UK5155,Scotland/CVR114/2020
UK4434,Scotland/CVR25/2020
UK5660,Scotland/CVR40/2020
UK2515,Scotland/CVR57/2020
UK5641,Scotland/CVR100/2020
UK1480,Scotland/CVR16/2020
UK1923,Scotland/CVR54/2020
UK1921,Scotland/CVR56/2020
UK4435,Scotland/CVR110/2020
UK2724,Scotland/CVR41/2020
UK1918,Scotland/CVR62/2020
UK4496,Scotland/CVR29/2020
UK4352,Scotland/CVR21/2020
UK1312,Scotland/CVR112/2020
UK4448,Scotland/CVR28/2020
UK4516,Scotland/CVR36/2020
UK4395,Scotland/CVR49/2020
UK5882,Scotland/CVR35/2020
UK1118,Scotland/CVR20/2020
UK1179,Scotland/CVR80/2020
UK4394,Scotland/CVR64/2020
UK4363,Scotland/CVR74/2020
UK1130,Scotland/CVR65/2020
UK1856,Scotland/CVR76/2020
UK1133,Scotland/CVR75/2020
UK1131,Scotland/CVR71/2020
UK604,Scotland/CVR68/2020
UK5557,Scotland/CVR10/2020
UK1181,Scotland/CVR04/2020
UK5145,Scotland/CVR03/2020
UK1182,Scotland/CVR02/2020
UK4365,Scotland/CVR01/2020
