UK_lineage,taxon
UK350,England/NOTT-1122C8/2020
UK362,England/SHEF-C1BDD/2020
UK769,England/NORT-2978AA/2020
UK813,England/PORT-2D15DA/2020
UK561,England/NORT-2959D6/2020
UK667,England/NORT-295F98/2020
UK399,England/LOND-D71E1/2020
UK445,England/BRIS-12FA39/2020
UK474,England/BRIS-12FB36/2020
UK473,England/BRIS-12F40E/2020
UK827,England/BRIS-12F3A7/2020
UK784,England/BRIS-12EB28/2020
UK50,England/BRIS-12F7F6/2020
UK803,England/BRIS-12F36B/2020
UK493,England/BRIS-12EDD7/2020
UK730,England/BRIS-12EE89/2020
UK824,England/BRIS-12EA67/2020
UK817,England/BRIS-12EA58/2020
UK796,England/BRIS-12F6F9/2020
UK634,England/BIRM-61340/2020
UK673,Scotland/CVR2298/2020
UK485,England/LOND-D6F9D/2020
UK754,England/BIRM-61498/2020
UK344,England/SHEF-C0AD1/2020
UK685,England/NORT-282DEF/2020
UK168,England/NORT-283E45/2020
UK279,England/NORT-284293/2020
UK428,England/NORT-283AF6/2020
UK306,England/NORT-283FE8/2020
UK551,England/NORT-295D9E/2020
UK586,England/NORT-283980/2020
UK718,England/NORT-281876/2020
UK394,England/NORT-281F08/2020
UK768,England/NORT-283DB1/2020
UK716,Wales/PHWC-16479B/2020
UK719,Scotland/EDB4775/2020
UK619,Scotland/EDB6515/2020
UK597,England/PHEC-22378/2020
UK646,England/PHEC-223C3/2020
UK308,England/NORT-283971/2020
UK748,England/NORT-28420C/2020
UK630,England/NORT-284424/2020
UK16,England/NORT-2841E1/2020
UK627,England/NORT-284C95/2020
UK302,Scotland/CVR2775/2020
UK367,England/LOND-D70F3/2020
UK163,England/NORW-ED6BC/2020
UK192,England/BIRM-5F819/2020
UK264,England/NORT-282C88/2020
UK591,England/NOTT-111ED4/2020
UK194,England/BRIS-12D312/2020
UK816,England/BRIS-12DF2D/2020
UK468,England/BRIS-12E1BD/2020
UK631,England/BRIS-12DBFC/2020
UK531,England/LIVE-9FFAF/2020
UK720,England/OXON-AFA41/2020
UK523,England/OXON-B0904/2020
UK311,England/OXON-B0AA7/2020
UK355,England/OXON-B2252/2020
UK353,England/OXON-B2717/2020
UK514,Scotland/CVR2354/2020
UK717,Scotland/CVR2397/2020
UK711,Scotland/CVR1934/2020
UK223,Scotland/EDB2734/2020
UK525,Scotland/EDB2984/2020
UK699,Scotland/EDB2725/2020
UK729,Scotland/EDB3303/2020
UK669,Wales/PHWC-1624C3/2020
UK226,England/NORT-28176A/2020
UK588,England/NORT-281AF8/2020
UK661,England/NORT-28180D/2020
UK710,Wales/PHWC-16425E/2020
UK558,Wales/PHWC-163705/2020
UK108,England/LIVE-A064C/2020
UK449,England/NORT-28B1F9/2020
UK382,England/NORT-28B205/2020
UK297,England/PORT-2CFE7A/2020
UK534,England/SHEF-C0FF0/2020
UK354,England/BIRM-5F925/2020
UK114,Wales/PHWC-160146/2020
UK806,Northern_Ireland/NIRE-103B74/2020
UK35,England/EXET-137342/2020
UK466,Northern_Ireland/NIRE-103813/2020
UK761,Northern_Ireland/NIRE-FD1C7/2020
UK117,England/BRIS-1275C7/2020
UK640,Northern_Ireland/NIRE-102F1F/2020
UK331,England/EXET-136F5E/2020
UK681,England/LOND-D6A6F/2020
UK5641,Wales/PHWC-15D847/2020
UK721,Scotland/CVR3080/2020
UK794,England/PHEC-22220/2020
UK4425,Scotland/EDB5391/2020
UK2908,England/PHEC-21E0F/2020
UK5745,England/PHEC-22017/2020
UK204,England/PHEC-21FB1/2020
UK705,Wales/PHWC-15D05E/2020
UK5836,Wales/PHWC-15C16B/2020
UK5630,Wales/PHWC-15C72D/2020
UK790,Wales/PHWC-15C778/2020
UK5738,Wales/PHWC-15C110/2020
UK2953,Wales/PHWC-15D4F8/2020
UK351,England/SHEF-C676B/2020
UK536,England/BRIS-12AF02/2020
UK801,England/BRIS-12A2DC/2020
UK176,Scotland/CVR3370/2020
UK5101,Wales/PHWC-32991/2020
UK465,Wales/PHWC-2C226/2020
UK325,Wales/PHWC-298CD/2020
UK760,Wales/PHWC-29F31/2020
UK996,England/NORW-EC3E3/2020
UK2267,Scotland/EDB5091/2020
UK248,England/PHEC-21DC6/2020
UK2073,England/PHEC-21A1A/2020
UK620,England/PHEC-21BF9/2020
UK766,Scotland/EDB5095/2020
UK258,Scotland/EDB5100/2020
UK356,England/GSTT-265E140/2020
UK795,England/GSTT-265E289/2020
UK458,England/GSTT-265E2A7/2020
UK471,England/GSTT-265E2C5/2020
UK674,England/CAMB-1B1489/2020
UK2010,Scotland/EDB5110/2020
UK5502,England/PHEC-214D0/2020
UK309,England/CAMB-1B20DF/2020
UK402,England/NORT-289744/2020
UK5403,England/NORT-289119/2020
UK1863,England/NORT-289058/2020
UK830,England/BRIS-128F8C/2020
UK5414,England/BRIS-1286B4/2020
UK81,England/SHEF-CD807/2020
UK2009,England/NORT-28A38B/2020
UK1212,England/NORT-28A1DC/2020
UK408,England/NORT-28A34F/2020
UK209,England/NORT-288D9E/2020
UK1223,England/NORW-E701E/2020
UK149,England/LOND-D5981/2020
UK546,Wales/PHWC-35DB0/2020
UK157,Wales/PHWC-35D92/2020
UK5128,England/LOND-D5AE8/2020
UK417,England/BRIS-126452/2020
UK649,England/BRIS-1265E6/2020
UK703,England/BRIS-126D1B/2020
UK475,England/BRIS-12648F/2020
UK826,England/GSTT-265DDF2/2020
UK762,England/GSTT-265DDC5/2020
UK62,England/GSTT-265DE4A/2020
UK5445,England/BIRM-5F318/2020
UK92,England/BIRM-5EEBE/2020
UK821,England/GSTT-265DF74/2020
UK48,Scotland/GCVR-172BF8/2020
UK322,England/OXON-AF513/2020
UK576,England/OXON-AFD1B/2020
UK522,England/OXON-AFF9D/2020
UK672,England/OXON-AFB3F/2020
UK763,England/OXON-B0175/2020
UK4524,England/CAMB-1AF07B/2020
UK789,England/GSTT-265D23F/2020
UK635,England/EXET-13603D/2020
UK798,Northern_Ireland/NIRE-FB6F7/2020
UK487,Northern_Ireland/NIRE-FB1BA/2020
UK366,England/CAMB-1B0684/2020
UK434,Northern_Ireland/NIRE-FBCD7/2020
UK553,England/LIVE-9EA63/2020
UK812,England/LIVE-9E553/2020
UK19,England/LIVE-9D484/2020
UK2023,England/LIVE-9D67F/2020
UK201,England/NORW-E9AD2/2020
UK459,England/GSTT-265DC04/2020
UK593,England/GSTT-265D703/2020
UK446,Wales/PHWC-32B7D/2020
UK734,Wales/PHWC-33E73/2020
UK1613,Wales/PHWC-33B4F/2020
UK301,Wales/PHWC-3423A/2020
UK2047,England/CAMB-1AE689/2020
UK1846,Scotland/GCVR-170574/2020
UK1903,Scotland/GCVR-170B63/2020
UK5518,Scotland/GCVR-1710DC/2020
UK5548,Scotland/GCVR-17032F/2020
UK104,Scotland/GCVR-170A0C/2020
UK707,Scotland/GCVR-170A39/2020
UK225,England/BIRM-5ED84/2020
UK300,England/LOND-D3C02/2020
UK295,England/GSTT-265D8F1/2020
UK249,England/GSTT-265D8E2/2020
UK736,England/LIVE-9A593/2020
UK307,England/LIVE-9C528/2020
UK532,England/LIVE-9A645/2020
UK4475,England/LIVE-9C555/2020
UK3120,England/LIVE-9C2C7/2020
UK1083,England/LIVE-9C519/2020
UK804,England/LIVE-9C34C/2020
UK2063,Northern_Ireland/NIRE-1022CB/2020
UK4453,Northern_Ireland/NIRE-1021DD/2020
UK811,Northern_Ireland/NIRE-1021CE/2020
UK564,Northern_Ireland/NIRE-10201C/2020
UK559,Northern_Ireland/NIRE-1021EC/2020
UK823,Northern_Ireland/NIRE-10229E/2020
UK227,England/CAMB-1AD57E/2020
UK772,Scotland/GCVR-171977/2020
UK737,Scotland/GCVR-171AED/2020
UK648,Scotland/GCVR-170F1C/2020
UK136,Scotland/GCVR-1713D3/2020
UK675,Scotland/GCVR-1707AB/2020
UK657,England/LOND-D61A6/2020
UK609,England/LOND-D6838/2020
UK5217,England/LOND-D6364/2020
UK337,England/LOND-D6258/2020
UK406,Wales/PHWC-31A17/2020
UK211,Wales/PHWC-29344/2020
UK2115,Wales/PHWC-29168/2020
UK181,Wales/PHWC-2E2D9/2020
UK1321,Wales/PHWC-2E1AF/2020
UK452,Wales/PHWC-31CA8/2020
UK1790,Wales/PHWC-294D8/2020
UK3189,England/EXET-135D91/2020
UK3194,England/EXET-135C2B/2020
UK4495,England/SHEF-D0607/2020
UK318,Scotland/CVR2226/2020
UK4528,England/EXET-135EBC/2020
UK41,England/GSTT-265D615/2020
UK3341,England/LOND-D4BAA/2020
UK398,England/LIVE-9DB52/2020
UK461,England/LOND-D523B/2020
UK453,England/LOND-D582A/2020
UK688,England/LOND-D57E1/2020
UK592,Scotland/CVR3082/2020
UK1954,Scotland/CVR2982/2020
UK259,England/SHEF-CE6DF/2020
UK815,England/CAMB-1AB543/2020
UK785,England/CAMB-1ABC20/2020
UK429,England/SHEF-CC431/2020
UK409,England/SHEF-C6C5D/2020
UK1622,England/SHEF-D077D/2020
UK265,England/GSTT-265DC31/2020
UK543,Scotland/EDB3501/2020
UK4477,England/CAMB-1ABF45/2020
UK535,England/CAMB-1ABEEE/2020
UK285,Scotland/CVR427/2020
UK346,Scotland/CVR910/2020
UK1785,Scotland/CVR579/2020
UK775,Wales/PHWC-28B98/2020
UK4537,Wales/PHWC-30F82/2020
UK2754,Wales/PHWC-28D74/2020
UK4505,Wales/PHWC-2EF3C/2020
UK1557,Wales/PHWC-2D665/2020
UK74,Wales/PHWC-2EE8A/2020
UK296,Wales/PHWC-2D45C/2020
UK218,Wales/PHWC-2A729/2020
UK690,Wales/PHWC-2A6FF/2020
UK781,England/EXET-1357EE/2020
UK488,England/CAMB-1AA3E0/2020
UK4508,England/CAMB-82D0F/2020
UK510,England/CAMB-842E0/2020
UK4539,England/CAMB-82279/2020
UK1959,England/CAMB-8306F/2020
UK183,England/CAMB-831C6/2020
UK587,England/CAMB-824DD/2020
UK3269,England/PHEC-20A39/2020
UK253,England/NORW-E72AF/2020
UK1615,England/LIVE-9CB80/2020
UK230,England/LOND-D606D/2020
UK25,England/LOND-D604F/2020
UK1616,England/BRIS-124D59/2020
UK757,England/BRIS-1249BF/2020
UK4506,England/BRIS-125550/2020
UK45,England/BRIS-1252FF/2020
UK555,England/BRIS-125927/2020
UK135,England/SHEF-CEE04/2020
UK750,Scotland/CVR239/2020
UK540,Scotland/CVR2810/2020
UK469,England/LOND-D3965/2020
UK596,England/SHEF-C237A/2020
UK618,England/OXON-AE848/2020
UK4550,England/OXON-ADE92/2020
UK3031,England/OXON-AD296/2020
UK786,Scotland/EDB2445/2020
UK4552,England/CAMB-81F46/2020
UK430,England/CAMB-808C4/2020
UK583,England/CAMB-7F4D3/2020
UK659,England/CAMB-813E0/2020
UK208,England/CAMB-8141A/2020
UK3433,England/LOND-D5471/2020
UK3020,England/SHEF-CCD90/2020
UK664,Wales/PHWC-2AAA8/2020
UK3024,Wales/PHWC-2BB86/2020
UK541,Wales/PHWC-2B61C/2020
UK372,Wales/PHWC-2BF6C/2020
UK678,England/CAMB-80466/2020
UK96,England/SHEF-C379B/2020
UK5228,England/SHEF-D3358/2020
UK395,England/SHEF-CB5D5/2020
UK595,England/OXON-AED49/2020
UK701,England/OXON-AEF34/2020
UK127,England/OXON-AEC88/2020
UK626,Scotland/CVR986/2020
UK234,Scotland/CVR1011/2020
UK76,England/BIRM-5E2D0/2020
UK3897,England/BIRM-5E2FE/2020
UK130,England/BRIS-12308E/2020
UK5210,England/BRIS-123B9C/2020
UK197,England/BRIS-12314F/2020
UK455,England/BRIS-123A71/2020
UK160,England/PHEC-1EFD5/2020
UK644,England/PHEC-1FA3D/2020
UK93,England/PHEC-1F675/2020
UK2081,England/PHEC-1F3AB/2020
UK746,England/PHEC-1F9A9/2020
UK741,England/PHEC-1F8BB/2020
UK603,England/PHEC-1F44E/2020
UK2263,England/PHEC-1F314/2020
UK143,England/PHEC-1F781/2020
UK4492,England/NOTT-10F9AB/2020
UK1094,England/CAMB-7D0A4/2020
UK4519,England/CAMB-7CA10/2020
UK441,England/CAMB-7CFA8/2020
UK765,England/CAMB-7C5E2/2020
UK228,England/CAMB-7C694/2020
UK1356,England/CAMB-7D10B/2020
UK511,England/CAMB-7DF2F/2020
UK3052,England/OXON-AC868/2020
UK439,England/OXON-AC710/2020
UK316,England/20169002804/2020
UK2069,England/20169004404/2020
UK480,England/20169014104/2020
UK412,England/20169021604/2020
UK782,England/20168032304/2020
UK3037,England/EXET-135098/2020
UK810,England/LOND-D4612/2020
UK779,England/LOND-D468B/2020
UK290,Scotland/EDB1707/2020
UK3675,England/LOND-D41C6/2020
UK5506,England/CAMB-7DC91/2020
UK4503,Northern_Ireland/NIRE-FA959/2020
UK4773,England/LOND-D37D4/2020
UK4406,England/20164070804/2020
UK103,Wales/PHWC-2A149/2020
UK1730,Wales/PHWC-29BA6/2020
UK1129,Scotland/CVR304/2020
UK740,England/PHEC-1E791/2020
UK3473,England/PHEC-1E825/2020
UK3710,England/PHEC-1E89E/2020
UK392,England/PHEC-1D96F/2020
UK172,England/20098017604/2020
UK1604,England/PHEC-1DFB8/2020
UK1337,England/PHEC-1DFF4/2020
UK556,England/PHEC-1E39D/2020
UK524,England/PHEC-1E3CA/2020
UK484,England/PHEC-1DB96/2020
UK3832,England/PHEC-1DD18/2020
UK420,England/NORW-E898B/2020
UK665,England/NORW-E8806/2020
UK105,England/NOTT-10F1C1/2020
UK733,England/NOTT-10F282/2020
UK3752,Northern_Ireland/NIRE-FB448/2020
UK1644,England/20149007104/2020
UK375,England/CAMB-7C00F/2020
UK5592,England/SHEF-C916A/2020
UK612,England/SHEF-C77F1/2020
UK691,England/20149035404/2020
UK424,England/20150040104/2020
UK529,England/20104003404/2020
UK3,England/20149051704/2020
UK343,England/CAMB-798EC/2020
UK67,England/CAMB-7A854/2020
UK4571,England/CAMB-794D9/2020
UK1322,England/CAMB-79BD4/2020
UK1273,England/CAMB-77FF8/2020
UK4801,England/CAMB-7A809/2020
UK3819,England/CAMB-7A3AE/2020
UK159,England/CAMB-79D38/2020
UK1369,England/NOTT-10EE9E/2020
UK281,England/LIVE-99725/2020
UK389,England/LIVE-98FF1/2020
UK4498,Scotland/EDB1582/2020
UK2332,Scotland/EDB1583/2020
UK198,England/201061000/2020
UK1087,England/201061453/2020
UK1966,England/201061457/2020
UK1880,England/201061456/2020
UK360,England/CAMB-7B422/2020
UK312,England/BRIS-1226C9/2020
UK383,England/BRIS-1224FC/2020
UK237,England/20109008504/2020
UK118,England/20109003104/2020
UK1093,England/20109023404/2020
UK499,England/201121203/2020
UK776,England/201100061/2020
UK102,England/201101356/2020
UK4419,England/201100040/2020
UK236,England/201090677/2020
UK1896,England/201100347/2020
UK3044,England/201090694/2020
UK714,Scotland/CVR1426/2020
UK57,Scotland/EDB1172/2020
UK1654,Scotland/EDB1169/2020
UK1978,Scotland/EDB1167/2020
UK292,Scotland/EDB1168/2020
UK4396,England/201141474/2020
UK791,England/201160755/2020
UK286,England/201180472/2020
UK5776,England/201161230/2020
UK30,England/20119069204/2020
UK807,England/20119086704/2020
UK2746,England/20120036604/2020
UK68,England/20120007604/2020
UK110,England/CAMB-7AC0D/2020
UK2774,England/20118123204/2020
UK255,England/20118160304/2020
UK299,England/20124009704/2020
UK3051,England/CAMB-78917/2020
UK3071,Wales/PHWC-28855/2020
UK341,Wales/PHWC-27980/2020
UK800,Wales/PHWC-27795/2020
UK666,Wales/PHWC-28503/2020
UK1705,Wales/PHWC-28794/2020
UK95,Wales/PHWC-27ABA/2020
UK324,Wales/PHWC-277B3/2020
UK1397,Wales/PHWC-27364/2020
UK59,Wales/PHWC-28002/2020
UK294,Wales/PHWC-27AC9/2020
UK273,Wales/PHWC-28828/2020
UK4914,England/CAMB-77C97/2020
UK742,England/CAMB-77C6A/2020
UK242,England/CAMB-77C88/2020
UK334,England/CAMB-75ACC/2020
UK3018,England/CAMB-75FCD/2020
UK418,England/CAMB-76560/2020
UK432,England/CAMB-762C3/2020
UK500,England/CAMB-76542/2020
UK1326,England/20129111904/2020
UK4497,England/20130054704/2020
UK764,England/20130034804/2020
UK4590,England/20129166204/2020
UK682,England/20129108104/2020
UK123,England/20129078704/2020
UK4397,England/20129050802/2020
UK689,England/20129171404/2020
UK4931,England/20140003204/2020
UK550,England/20142026704/2020
UK407,England/SHEF-C806E/2020
UK347,England/SHEF-C2F76/2020
UK5839,England/20128011006/2020
UK169,England/20128002004/2020
UK221,England/20128031604/2020
UK4657,England/20128085204/2020
UK4478,England/20126001204/2020
UK1314,England/20129025404/2020
UK778,England/CAMB-78768/2020
UK4073,England/SHEF-D2869/2020
UK1294,England/SHEF-C72F0/2020
UK503,England/CAMB-76472/2020
UK278,England/CAMB-77110/2020
UK547,England/CAMB-7782A/2020
UK358,England/CAMB-779EB/2020
UK5488,England/CAMB-771B6/2020
UK90,England/20134081904/2020
UK560,England/SHEF-C706F/2020
UK205,England/20130065604/2020
UK614,England/20132022404/2020
UK549,England/20130069504/2020
UK410,England/20132024204/2020
UK477,England/20134072704/2020
UK5827,England/20134004204/2020
UK280,England/20134004104/2020
UK1096,England/20134005104/2020
UK5041,England/20144049004/2020
UK1046,England/20144022904/2020
UK5068,England/20140009802/2020
UK260,England/20142024704/2020
UK4169,England/20140070604/2020
UK4130,England/CAMB-78461/2020
UK504,England/20139016804/2020
UK5829,England/20129163304/2020
UK5493,England/20138025704/2020
UK435,England/20139015704/2020
UK1731,England/201360198/2020
UK715,England/20140003804/2020
UK577,England/20140002204/2020
