UK_lineage,taxon
UK5744,England/BIRM-5F61F/2020
UK5648,England/BIRM-5F6A6/2020
UK394,England/BIRM-5FE35/2020
UK52,England/BIRM-5FE53/2020
UK5662,England/BIRM-5F4CA/2020
UK36,England/BIRM-5F521/2020
UK494,England/BIRM-5F3EB/2020
UK79,England/BIRM-5F442/2020
UK5549,England/BIRM-5EEFA/2020
UK15,England/BIRM-5EE63/2020
UK5532,England/BIRM-5F372/2020
UK5314,England/BIRM-5EF06/2020
UK5445,England/BIRM-5F318/2020
UK1667,England/BIRM-5F196/2020
UK5446,England/BIRM-5F20C/2020
UK5705,England/BIRM-5EF15/2020
UK5448,England/BIRM-5F381/2020
UK5207,England/BIRM-5F327/2020
UK4520,England/BIRM-5ED84/2020
UK127,England/BIRM-5ED48/2020
UK3195,England/BIRM-5EA23/2020
UK51,England/BIRM-5E9CC/2020
UK162,England/BIRM-5E9F9/2020
UK4,England/BIRM-5E8DE/2020
UK5264,England/BIRM-5E838/2020
UK1262,England/BIRM-5E7EO/2020
UK4531,England/BIRM-5E874/2020
UK1333,England/BIRM-5E892/2020
UK3214,England/BIRM-5E80B/2020
UK3215,England/BIRM-5E847/2020
UK1343,England/BIRM-5E6B6/2020
UK621,England/BIRM-5E73B/2020
UK3502,England/BIRM-5E391/2020
UK5707,England/BIRM-5E30A/2020
UK1351,England/BIRM-5E2D0/2020
UK3503,England/BIRM-5E328/2020
UK90,England/BIRM-5E2A3/2020
UK3897,England/BIRM-5E2FE/2020
UK5478,England/BIRM-5E319/2020
