UK_lineage,taxon
UK5484,England/NORT-282CE2/2020
UK2464,England/NORT-282611/2020
UK2735,England/NORT-282BB8/2020
UK72,England/NORT-282BE5/2020
UK86,England/NORT-28263F/2020
UK494,England/NORT-28215C/2020
UK607,England/NORT-282004/2020
UK339,England/NORT-2820B9/2020
UK370,England/NORT-2820F5/2020
UK167,England/NORT-282013/2020
UK516,England/NORT-281339/2020
UK188,England/NORT-2812E1/2020
UK120,England/NORT-28413C/2020
UK584,England/NORT-295903/2020
UK554,England/NORT-283FF7/2020
UK36,England/NORT-283C4B/2020
UK526,England/NORT-283B6C/2020
UK2916,England/NORT-283E27/2020
UK235,England/NORT-283E81/2020
UK210,England/NORT-2817E2/2020
UK226,England/NORT-28176A/2020
UK588,England/NORT-281AF8/2020
UK829,England/NORT-281BAA/2020
UK5549,England/NORT-281B9B/2020
UK530,England/NORT-28180D/2020
UK115,England/NORT-28ABDE/2020
UK832,England/NORT-28AA1D/2020
UK384,England/NORT-284EAE/2020
UK445,England/NORT-289A4B/2020
UK5180,England/NORT-2899D5/2020
UK198,England/NORT-290AD8/2020
UK209,England/NORT-288D9E/2020
UK2906,England/NORT-288D8F/2020
UK495,England/NORT-291837/2020
UK2009,England/NORT-28A38B/2020
UK1212,England/NORT-28A1DC/2020
UK4,England/NORT-28A42E/2020
UK432,England/NORT-28A34F/2020
UK1218,England/NORT-28A0EE/2020
UK4125,England/NORT-2890FE/2020
UK14,England/NORT-288E8C/2020
UK15,England/NORT-288DF8/2020
UK5503,England/NORT-288D25/2020
