UK_lineage,taxon
UK1103,England/NOTT-113027/2020
UK1328,Scotland/QEUH-961BB8/2020
UK1672,England/SHEF-CC60E/2020
UK1125,England/MILK-974B49/2020
UK1690,England/MILK-9759A8/2020
UK363,England/MILK-9750A3/2020
UK484,England/MILK-976136/2020
UK1543,England/QEUH-990752/2020
UK553,England/ALDP-981CFB/2020
UK1584,England/ALDP-981ED7/2020
UK1756,England/QEUH-98F8CC/2020
UK798,Scotland/QEUH-98FAA8/2020
UK948,England/MILK-9703EB/2020
UK1406,England/MILK-9704D9/2020
UK404,England/MILK-970309/2020
UK453,England/MILK-970503/2020
UK1128,England/MILK-970293/2020
UK812,England/MILK-970424/2020
UK1442,England/ALDP-983B92/2020
UK547,England/QEUH-96F200/2020
UK2133,England/QEUH-96EE2B/2020
UK1533,England/PHEC-23007/2020
UK1890,England/QEUH-96D141/2020
UK814,England/ALDP-97EFAD/2020
UK1660,England/NOTT-112FC1/2020
UK487,England/PORT-2D3383/2020
UK1456,England/QEUH-96C5FB/2020
UK1204,England/PHEC-22DD4/2020
UK417,England/PHEC-22E3B/2020
UK691,England/ALDP-982683/2020
UK1175,England/MILK-9781E9/2020
UK1168,England/PHEC-22B9E/2020
UK380,England/QEUH-96563B/2020
UK1552,England/QEUH-964CFE/2020
UK910,England/QEUH-964B97/2020
UK1428,England/QEUH-964BA6/2020
UK1588,England/PORT-2D39BE/2020
UK1626,England/PORT-2D35E7/2020
UK1305,England/QEUH-96BAA2/2020
UK459,Scotland/QEUH-96B0FB/2020
UK145,England/QEUH-96A84F/2020
UK631,England/ALDP-9536C7/2020
UK1651,England/QEUH-9639CB/2020
UK1673,England/QEUH-9633BE/2020
UK1118,England/QEUH-9637B2/2020
UK1625,England/QEUH-96256E/2020
UK388,England/MILK-9576B4/2020
UK1734,England/ALDP-955CF0/2020
UK1181,England/ALDP-9565D6/2020
UK727,England/MILK-95755D/2020
UK1592,England/MILK-957371/2020
UK1396,England/MILK-957098/2020
UK671,England/MILK-956F9C/2020
UK443,England/MILK-956785/2020
UK382,England/ALDP-9552D0/2020
