UK_lineage,taxon
UK5340,England/BRIS-12AC1A/2020
UK5522,England/BRIS-129CEE/2020
UK5341,England/BRIS-12AED8/2020
UK5342,England/BRIS-12ABA4/2020
UK2056,England/BRIS-12AF11/2020
UK5343,England/BRIS-129D27/2020
UK5344,England/BRIS-12AD71/2020
UK3201,England/BRIS-129871/2020
UK5524,England/BRIS-129CFD/2020
UK5346,England/BRIS-12A931/2020
UK4244,England/BRIS-12AA6B/2020
UK5091,England/BRIS-129B96/2020
UK5515,England/BRIS-12A2DC/2020
UK1766,England/BRIS-12A12A/2020
UK5319,England/BRIS-12A2CD/2020
UK5348,England/BRIS-129CA2/2020
UK5097,England/BRIS-129A20/2020
UK4502,England/BRIS-12AB59/2020
UK5350,England/BRIS-12A281/2020
UK712,England/BRIS-12AA2F/2020
UK5637,England/BRIS-12A807/2020
UK942,England/BRIS-12ABC2/2020
UK5120,England/CAMB-1B144D/2020
UK5121,England/CAMB-1B1489/2020
UK5382,England/CAMB-1B1B93/2020
UK217,England/CAMB-1B1735/2020
UK3105,England/CAMB-1B18E7/2020
UK5486,England/CAMB-1B17CC/2020
UK5122,England/CAMB-1B1586/2020
UK5384,England/NORT-28995D/2020
UK5385,England/NORT-288F10/2020
UK5386,England/NORT-2897EA/2020
UK5253,England/NORT-289841/2020
UK2561,England/NORT-2895D1/2020
UK5388,England/NORT-2895A4/2020
UK5389,England/NORT-2897F9/2020
UK5391,England/NORT-288E5F/2020
UK5541,England/NORT-288EAA/2020
UK5392,England/NORT-289744/2020
UK5393,England/NORT-28900D/2020
UK5262,England/NORT-28986F/2020
UK1857,England/NORT-28997B/2020
UK5234,England/NORT-289155/2020
UK5218,England/NORT-2891DD/2020
UK5394,England/NORT-288F4D/2020
UK5172,England/NORT-288FD4/2020
UK744,England/NORT-289067/2020
UK7,England/NORT-289629/2020
UK5233,England/NORT-288DCB/2020
UK2338,England/NORT-289595/2020
UK5395,England/NORT-289568/2020
UK5247,England/NORT-28988D/2020
UK531,England/NORT-288D34/2020
UK5256,England/NORT-289771/2020
UK5248,England/NORT-289559/2020
UK5396,England/NORT-288E7D/2020
UK5252,England/NORT-288F7A/2020
UK5397,England/NORT-2898AB/2020
UK491,England/NORT-289692/2020
UK5398,England/NORT-2890EF/2020
UK5236,England/NORT-289252/2020
UK5399,England/NORT-2894D4/2020
UK5400,England/NORT-289322/2020
UK5401,England/NORT-289656/2020
UK5902,England/NORT-288D52/2020
UK5246,England/NORT-289999/2020
UK5162,England/NORT-28993F/2020
UK5249,England/NORT-289753/2020
UK5402,England/NORT-289498/2020
UK5403,England/NORT-289119/2020
UK3493,England/NORT-2896DE/2020
UK1863,England/NORT-289058/2020
UK5231,England/NORT-289489/2020
UK619,England/NORT-28902B/2020
UK5404,England/NORT-288F5C/2020
UK5255,England/NORT-2898F6/2020
UK5405,England/NORT-289340/2020
UK5559,England/NORT-288E04/2020
UK5406,England/NORT-289665/2020
UK5237,England/NORT-289085/2020
UK5407,England/NORT-289331/2020
UK5310,England/NORT-28939B/2020
UK5477,England/NORT-289911/2020
UK2074,England/NORT-28942F/2020
UK5239,England/NORT-28954A/2020
UK5123,England/BRIS-128881/2020
UK5677,England/BRIS-129668/2020
UK5095,England/BRIS-1294AA/2020
UK5410,England/BRIS-128A30/2020
UK5411,England/BRIS-1291B2/2020
UK5412,England/BRIS-129334/2020
UK5124,England/BRIS-129826/2020
UK5125,England/BRIS-1287C0/2020
UK5413,England/BRIS-129677/2020
UK5093,England/BRIS-128DDD/2020
UK5243,England/BRIS-128C67/2020
UK2036,England/BRIS-1292CE/2020
UK437,England/BRIS-1296E0/2020
UK5414,England/BRIS-1286B4/2020
UK5415,England/BRIS-129765/2020
UK464,England/BRIS-1291D0/2020
UK5416,England/BRIS-1296A4/2020
UK5417,England/BRIS-128FAA/2020
UK5418,England/BRIS-129079/2020
UK5426,England/BRIS-12612E/2020
UK2087,England/BRIS-126953/2020
UK2135,England/BRIS-126461/2020
UK5428,England/BRIS-126452/2020
UK5429,England/BRIS-1266D4/2020
UK5430,England/BRIS-1265E6/2020
UK5254,England/BRIS-12604F/2020
UK5555,England/BRIS-1268CF/2020
UK5230,England/BRIS-12623A/2020
UK2040,England/BRIS-126D1B/2020
UK5244,England/BRIS-12681A/2020
UK5529,England/BRIS-1267B3/2020
UK864,England/BRIS-126416/2020
UK5431,England/BRIS-126D66/2020
UK5432,England/BRIS-126391/2020
UK5242,England/BRIS-126328/2020
UK5224,England/BRIS-126434/2020
UK5433,England/BRIS-1268ED/2020
UK5434,England/BRIS-12648F/2020
UK5435,England/BRIS-1267A4/2020
UK5436,England/BRIS-1261A6/2020
UK5530,England/BRIS-126337/2020
UK5240,England/BRIS-1260F4/2020
UK5519,England/BRIS-126DDF/2020
UK1703,England/BRIS-126E27/2020
UK5437,England/BRIS-12680B/2020
UK5094,England/BRIS-125FDA/2020
UK5438,England/BRIS-126856/2020
UK2041,England/BRIS-126944/2020
UK1866,England/BRIS-1269F9/2020
UK5251,England/BRIS-126276/2020
UK235,England/BRIS-126100/2020
UK5439,England/BRIS-12611F/2020
UK5440,England/BRIS-1260E5/2020
UK1868,England/BRIS-1268B0/2020
UK5531,England/BRIS-126C69/2020
UK5441,England/BRIS-126874/2020
UK5449,England/CAMB-1B0930/2020
UK5509,England/CAMB-1B1261/2020
UK5450,England/CAMB-1B08AC/2020
UK5706,England/CAMB-1B10FE/2020
UK5451,England/CAMB-1B1304/2020
UK2292,England/CAMB-1B12BC/2020
UK5453,England/CAMB-1AFF05/2020
UK5504,England/CAMB-1AFBC5/2020
UK5454,England/CAMB-1AFDA1/2020
UK5212,Scotland/GCVR-172B70/2020
UK337,Scotland/GCVR-172BDA/2020
UK370,Scotland/GCVR-172BCB/2020
UK5225,Scotland/GCVR-173BBB/2020
UK5495,Scotland/GCVR-172C22/2020
UK5444,Scotland/GCVR-172B9E/2020
UK73,Scotland/GCVR-1739FD/2020
UK48,Scotland/GCVR-172BF8/2020
UK5639,Scotland/GCVR-173B60/2020
UK5160,Scotland/GCVR-173B42/2020
UK3539,England/CAMB-1AF925/2020
UK1248,England/CAMB-1B02F9/2020
UK297,England/CAMB-1AF336/2020
UK5080,England/CAMB-1AE8B0/2020
UK5307,England/CAMB-1AEF51/2020
UK180,England/CAMB-1B048A/2020
UK5545,England/CAMB-1AFA7D/2020
UK161,England/CAMB-1AFA31/2020
UK5516,England/CAMB-1AF07B/2020
UK5455,England/CAMB-1AF06C/2020
UK2248,England/CAMB-1AF05D/2020
UK199,England/CAMB-1AFAE6/2020
UK5456,England/CAMB-1AF1F0/2020
UK3122,England/CAMB-1AE8FC/2020
UK5241,Northern_Ireland/NIRE-FA625/2020
UK5457,Northern_Ireland/NIRE-FBF65/2020
UK5458,Northern_Ireland/NIRE-FBA64/2020
UK5257,Northern_Ireland/NIRE-FC25C/2020
UK5510,Northern_Ireland/NIRE-FBFDE/2020
UK4232,Northern_Ireland/NIRE-FC8D2/2020
UK5459,Northern_Ireland/NIRE-FC7C6/2020
UK198,Northern_Ireland/NIRE-FBDC5/2020
UK5324,Northern_Ireland/NIRE-FA82F/2020
UK5533,Northern_Ireland/NIRE-FCB33/2020
UK5461,Northern_Ireland/NIRE-FC8A5/2020
UK2204,Northern_Ireland/NIRE-FC9B1/2020
UK5305,Northern_Ireland/NIRE-FC16E/2020
UK3479,Northern_Ireland/NIRE-FC3B3/2020
UK5462,Northern_Ireland/NIRE-FBCD7/2020
UK5511,Northern_Ireland/NIRE-FBFFC/2020
UK5235,Northern_Ireland/NIRE-FBF83/2020
UK5463,Northern_Ireland/NIRE-FC878/2020
UK5303,England/CAMB-1ADDD0/2020
UK5466,England/CAMB-1AE2D0/2020
UK845,England/CAMB-1AE13D/2020
UK2047,England/CAMB-1AE689/2020
UK3248,England/CAMB-1ADF61/2020
UK5130,England/CAMB-1AEA7E/2020
UK5467,England/CAMB-1ADFCB/2020
UK5468,England/CAMB-1AE4AD/2020
UK2771,England/CAMB-1AE425/2020
UK212,Scotland/GCVR-170BAF/2020
UK1846,Scotland/GCVR-170574/2020
UK5131,Scotland/GCVR-170B63/2020
UK265,Scotland/GCVR-1701BC/2020
UK5565,Scotland/GCVR-170310/2020
UK5132,Scotland/GCVR-170AFD/2020
UK2453,Scotland/GCVR-1705A1/2020
UK5546,Scotland/GCVR-170091/2020
UK5547,Scotland/GCVR-170A2A/2020
UK5518,Scotland/GCVR-1710DC/2020
UK5534,Scotland/GCVR-171106/2020
UK5692,Scotland/GCVR-170C51/2020
UK320,Scotland/GCVR-16FFC5/2020
UK700,Scotland/GCVR-17117F/2020
UK151,Scotland/GCVR-17135B/2020
UK5535,Scotland/GCVR-170B81/2020
