UK_lineage,taxon
UK1830,Northern_Ireland/NIRE-105240/2020
UK1798,Northern_Ireland/NIRE-1052AA/2020
UK1033,Northern_Ireland/NIRE-105389/2020
UK2030,Northern_Ireland/NIRE-105213/2020
UK1666,Northern_Ireland/NIRE-10534D/2020
UK1081,Northern_Ireland/NIRE-105301/2020
UK871,Northern_Ireland/NIRE-1052C8/2020
UK1990,Northern_Ireland/NIRE-105398/2020
UK2110,Northern_Ireland/NIRE-1053E3/2020
UK2044,Northern_Ireland/NIRE-10537A/2020
UK1722,Northern_Ireland/NIRE-105468/2020
UK288,Northern_Ireland/NIRE-FB1AB/2020
UK1764,Northern_Ireland/NIRE-FAE5A/2020
UK1899,Northern_Ireland/NIRE-FB202/2020
UK55,Northern_Ireland/NIRE-FB27B/2020
UK1471,Northern_Ireland/NIRE-FAFDF/2020
UK192,Northern_Ireland/NIRE-FADB7/2020
UK1895,Northern_Ireland/NIRE-FB6CA/2020
UK1076,Northern_Ireland/NIRE-FAE1E/2020
UK592,Northern_Ireland/NIRE-FB6F7/2020
UK1084,Northern_Ireland/NIRE-FB1BA/2020
UK2033,Northern_Ireland/NIRE-FAEB4/2020
UK418,Northern_Ireland/NIRE-FB24E/2020
UK794,Northern_Ireland/NIRE-FAF57/2020
UK364,Northern_Ireland/NIRE-FB1E7/2020
UK345,Northern_Ireland/NIRE-FB78B/2020
UK1126,Northern_Ireland/NIRE-FB69D/2020
UK1885,Northern_Ireland/NIRE-FB76D/2020
UK1535,Northern_Ireland/NIRE-FB730/2020
UK2063,Northern_Ireland/NIRE-1022CB/2020
UK44,Northern_Ireland/NIRE-102049/2020
UK387,Northern_Ireland/NIRE-102182/2020
UK1894,Northern_Ireland/NIRE-102058/2020
UK199,Northern_Ireland/NIRE-101F01/2020
UK4453,Northern_Ireland/NIRE-1021DD/2020
UK1487,Northern_Ireland/NIRE-101E40/2020
UK1006,Northern_Ireland/NIRE-1021CE/2020
UK314,Northern_Ireland/NIRE-10201C/2020
UK432,Northern_Ireland/NIRE-1021EC/2020
UK51,Northern_Ireland/NIRE-10239B/2020
UK157,Northern_Ireland/NIRE-102270/2020
UK990,Northern_Ireland/NIRE-10229E/2020
UK315,Northern_Ireland/NIRE-101E6E/2020
UK642,Northern_Ireland/NIRE-10202B/2020
UK140,Northern_Ireland/NIRE-1021FB/2020
UK1205,Northern_Ireland/NIRE-1023F5/2020
UK740,Northern_Ireland/NIRE-102340/2020
UK205,Northern_Ireland/NIRE-FB378/2020
UK59,Northern_Ireland/NIRE-FB4B1/2020
UK336,Northern_Ireland/NIRE-FB4DF/2020
UK688,Northern_Ireland/NIRE-FB448/2020
