UK_lineage,taxon
UK652,England/LIVE-A0D38/2020
UK531,England/LIVE-9FFAF/2020
UK447,England/LIVE-A071C/2020
UK108,England/LIVE-A064C/2020
UK647,England/LIVE-9D6E8/2020
UK553,England/LIVE-9EA63/2020
UK3027,England/LIVE-9E9A2/2020
UK371,England/LIVE-9E9EE/2020
UK812,England/LIVE-9E553/2020
UK19,England/LIVE-9D484/2020
UK2023,England/LIVE-9D67F/2020
UK2464,England/LIVE-9F23D/2020
UK179,England/LIVE-9F394/2020
UK736,England/LIVE-9A593/2020
UK307,England/LIVE-9C528/2020
UK532,England/LIVE-9A645/2020
UK693,England/LIVE-9A5B1/2020
UK404,England/LIVE-9BF85/2020
UK526,England/LIVE-9B608/2020
UK4475,England/LIVE-9C555/2020
UK5322,England/LIVE-9C6E9/2020
UK2906,England/LIVE-9C133/2020
UK3120,England/LIVE-9C2C7/2020
UK1083,England/LIVE-9C519/2020
UK49,England/LIVE-9C8D4/2020
UK804,England/LIVE-9C34C/2020
UK398,England/LIVE-9DB52/2020
UK245,England/LIVE-9C9B3/2020
UK1615,England/LIVE-9CB80/2020
UK31,England/LIVE-9BE2E/2020
UK2913,England/LIVE-9BD9A/2020
UK570,England/LIVE-9A399/2020
UK5647,England/LIVE-99EC6/2020
UK75,England/LIVE-99AFF/2020
UK448,England/LIVE-9993E/2020
UK281,England/LIVE-99725/2020
UK37,England/LIVE-99716/2020
UK660,England/LIVE-99233/2020
UK389,England/LIVE-98FF1/2020
