UK_lineage,taxon
UK1533,England/PHEC-23007/2020
UK2099,England/PHEC-2318C/2020
UK1264,England/PHEC-230AD/2020
UK1987,England/PHEC-23140/2020
UK1975,England/PHEC-230DA/2020
UK1204,England/PHEC-22DD4/2020
UK417,England/PHEC-22E3B/2020
UK1759,England/PHEC-22E4A/2020
UK4658,England/PHEC-22BBC/2020
UK1168,England/PHEC-22B9E/2020
UK1245,England/PHEC-22712/2020
UK240,England/PHEC-22545/2020
UK440,England/PHEC-22509/2020
UK1982,England/PHEC-224DF/2020
UK1801,England/PHEC-22378/2020
UK1029,England/PHEC-22448/2020
UK1764,England/PHEC-22457/2020
UK1803,England/PHEC-223C3/2020
UK1483,England/PHEC-22123/2020
UK960,England/PHEC-22220/2020
UK1049,England/PHEC-22150/2020
UK2078,England/PHEC-21EC3/2020
UK736,England/PHEC-21E0F/2020
UK1302,England/PHEC-22071/2020
UK867,England/PHEC-2209F/2020
UK2094,England/PHEC-21DE4/2020
UK898,England/PHEC-22017/2020
UK1368,England/PHEC-21E3C/2020
UK815,England/PHEC-22008/2020
UK2004,England/PHEC-22105/2020
UK2093,England/PHEC-21EB4/2020
UK1744,England/PHEC-21FFD/2020
UK1838,England/PHEC-21B62/2020
UK573,England/PHEC-21DC6/2020
UK2073,England/PHEC-21A1A/2020
UK1405,England/PHEC-214D0/2020
UK1069,England/PHEC-21731/2020
UK1907,England/PHEC-21740/2020
UK1260,England/PHEC-216DA/2020
UK1529,England/PHEC-217B9/2020
UK1671,England/PHEC-210DC/2020
UK1658,England/PHEC-2125E/2020
UK1767,England/PHEC-210AF/2020
UK1640,England/PHEC-21036/2020
UK2113,England/PHEC-20CE8/2020
UK2013,England/PHEC-20C9D/2020
UK2088,England/PHEC-20F85/2020
UK1965,England/PHEC-209E1/2020
UK664,England/PHEC-208F3/2020
UK1433,England/PHEC-20A48/2020
UK1303,England/PHEC-20091/2020
UK1026,England/PHEC-1EA10/2020
UK1524,England/PHEC-1EB1D/2020
UK268,England/PHEC-1E8F8/2020
UK1021,England/PHEC-20653/2020
UK1526,England/PHEC-20899/2020
UK211,England/PHEC-20732/2020
UK1279,England/PHEC-1FDAD/2020
UK805,England/PHEC-1FAE2/2020
UK2048,England/PHEC-1FAB5/2020
UK1835,England/PHEC-1FBD0/2020
UK1241,England/PHEC-1FB85/2020
UK1862,England/PHEC-1FB94/2020
UK93,England/PHEC-1F675/2020
UK1629,England/PHEC-1F96D/2020
UK2081,England/PHEC-1F3AB/2020
UK1632,England/PHEC-1F271/2020
UK1450,England/PHEC-1F851/2020
UK1723,England/PHEC-1F9A9/2020
UK196,England/PHEC-1F824/2020
UK1052,England/PHEC-1F88E/2020
UK2032,England/PHEC-1ED17/2020
UK409,England/PHEC-1EFE4/2020
UK1850,England/PHEC-1EEC9/2020
UK2024,England/PHEC-1EFD5/2020
UK1605,England/PHEC-1F04A/2020
UK709,England/PHEC-1F0D1/2020
UK366,England/PHEC-1F0B3/2020
UK2040,England/PHEC-1EF8A/2020
UK1879,England/PHEC-1F077/2020
UK1956,England/PHEC-1EF4E/2020
UK1381,England/PHEC-1F03B/2020
UK1558,England/PHEC-1C739/2020
UK897,England/PHEC-1C775/2020
UK1946,England/PHEC-1C933/2020
UK639,England/PHEC-1C784/2020
UK1019,England/PHEC-1C423/2020
UK2074,England/PHEC-1C405/2020
UK747,England/PHEC-1C317/2020
UK1823,England/PHEC-1C308/2020
UK1371,England/PHEC-1E667/2020
UK576,England/PHEC-1E1FD/2020
UK1812,England/PHEC-1E0B4/2020
UK316,England/PHEC-1E0E1/2020
UK1841,England/PHEC-1E89E/2020
UK790,England/PHEC-1E1A2/2020
UK916,England/PHEC-1E816/2020
UK1888,England/PHEC-1E597/2020
UK1887,England/PHEC-1E807/2020
UK1804,England/PHEC-1E184/2020
UK1297,England/PHEC-1E175/2020
UK1950,England/PHEC-1E1B1/2020
UK1229,England/PHEC-1B196/2020
UK496,England/PHEC-1DFB8/2020
UK1378,England/PHEC-1DED9/2020
UK1984,England/PHEC-1E39D/2020
UK1972,England/PHEC-1DC84/2020
UK1713,England/PHEC-1DA6C/2020
UK1256,England/PHEC-1DD18/2020
UK1075,England/PHEC-1DF5E/2020
UK221,England/PHEC-1DE7F/2020
UK383,England/PHEC-202B9/2020
UK1183,England/PHEC-1BE35/2020
UK150,England/PHEC-1BC3B/2020
UK2050,England/PHEC-1BF7E/2020
UK1886,England/PHEC-1BA31/2020
UK1064,England/PHEC-1C07A/2020
UK621,England/PHEC-1BECC/2020
UK1619,England/PHEC-1C1A4/2020
UK2056,England/PHEC-1C03E/2020
UK48,England/PHEC-1BF32/2020
UK420,England/PHEC-1BEAE/2020
UK1107,England/PHEC-1BCB3/2020
UK1167,England/PHEC-1BA5F/2020
UK596,England/PHEC-1BE53/2020
UK595,England/PHEC-1B837/2020
UK877,England/PHEC-1B891/2020
UK133,England/PHEC-1B828/2020
UK128,England/PHEC-1B882/2020
UK1055,England/PHEC-1B521/2020
UK1343,England/PHEC-1B864/2020
UK354,England/PHEC-1B6B5/2020
UK168,England/PHEC-1A601/2020
UK1087,England/PHEC-1A698/2020
UK644,England/PHEC-1A6A7/2020
UK641,England/PHEC-1A6D4/2020
UK1779,England/PHEC-1A8A1/2020
UK1832,England/PHEC-1A6C5/2020
UK339,England/PHEC-1AA05/2020
UK1826,England/PHEC-1AB5D/2020
UK535,England/PHEC-1AEBE/2020
UK91,England/PHEC-1AEAF/2020
UK333,England/PHEC-1AE54/2020
UK378,England/PHEC-19E37/2020
UK940,England/PHEC-1A337/2020
UK627,England/PHEC-19FAD/2020
UK262,England/PHEC-19BF4/2020
UK2047,England/PHEC-1A1F1/2020
UK1657,England/PHEC-19DC1/2020
UK1148,England/PHEC-19EEC/2020
UK1490,England/PHEC-19BD6/2020
UK177,England/PHEC-1981B/2020
UK117,England/PHEC-1971E/2020
