UK_lineage,taxon
UK740,England/OXON-B2A87/2020
UK1009,England/OXON-B3707/2020
UK2063,England/OXON-B3497/2020
UK70,England/OXON-B3D50/2020
UK1075,England/OXON-B32BB/2020
UK714,England/OXON-B3813/2020
UK2916,England/OXON-B2762/2020
UK1380,England/OXON-B27AE/2020
UK1933,England/OXON-B2C63/2020
UK507,England/OXON-B3AC2/2020
UK1155,England/OXON-B3C62/2020
UK1939,England/OXON-B3EC6/2020
UK829,England/OXON-B392F/2020
UK1029,England/OXON-B32AC/2020
UK2115,England/OXON-B2805/2020
UK849,England/OXON-B2DD9/2020
UK970,England/OXON-B2EB8/2020
UK1076,England/OXON-B2920/2020
UK881,England/OXON-B2F79/2020
UK1434,England/OXON-B360A/2020
UK1758,England/OXON-B2DCA/2020
UK1637,England/OXON-B491F/2020
UK1828,England/OXON-B42BA/2020
UK1785,England/OXON-B4FA4/2020
UK738,England/OXON-B4A76/2020
UK416,England/OXON-B492E/2020
UK720,England/OXON-AFA41/2020
UK1869,England/OXON-AFECD/2020
UK501,England/OXON-B1815/2020
UK623,England/OXON-B1763/2020
UK2041,England/OXON-AFB20/2020
UK1747,England/OXON-B070A/2020
UK1997,England/OXON-B0904/2020
UK1385,England/OXON-B0AA7/2020
UK2003,England/OXON-AFF24/2020
UK2087,England/OXON-AFA8D/2020
UK1844,England/OXON-AFC87/2020
UK655,England/OXON-B0922/2020
UK1202,England/OXON-AFE81/2020
UK1870,England/OXON-AFD48/2020
UK1412,England/OXON-B010C/2020
UK4,England/OXON-B15F0/2020
UK1293,England/OXON-AF926/2020
UK1069,England/OXON-B0FC6/2020
UK2045,England/OXON-B17EB/2020
UK1793,England/OXON-AF9AE/2020
UK2078,England/OXON-B1B94/2020
UK1359,England/OXON-B238C/2020
UK726,England/OXON-B2568/2020
UK1884,England/OXON-B2629/2020
UK2030,England/OXON-B1BEF/2020
UK307,England/OXON-B1BB2/2020
UK1205,England/OXON-B1F2F/2020
UK1794,England/OXON-B1CA0/2020
UK322,England/OXON-AF513/2020
UK861,England/OXON-AFD1B/2020
UK1929,England/OXON-B0A3E/2020
UK1913,England/OXON-B0A10/2020
UK1879,England/OXON-B09F5/2020
UK1881,England/OXON-AFDDF/2020
UK1746,England/OXON-AF373/2020
UK678,England/OXON-B06B2/2020
UK1341,England/OXON-B053D/2020
UK1609,England/OXON-AF434/2020
UK1596,England/OXON-AFB3F/2020
UK1124,England/OXON-AE8C0/2020
UK1367,England/OXON-AE2FF/2020
UK1855,England/OXON-AEC00/2020
UK1688,England/OXON-AD8D0/2020
UK1789,England/OXON-AE277/2020
UK1979,England/OXON-AE9BE/2020
UK472,England/OXON-AEC1F/2020
UK865,England/OXON-AE9AF/2020
UK2111,England/OXON-ADD3B/2020
UK1197,England/OXON-AE611/2020
UK1481,England/OXON-AE9DC/2020
UK1960,England/OXON-AD2D2/2020
UK2103,England/OXON-AD09C/2020
UK1450,England/OXON-AD779/2020
UK1403,England/OXON-AE848/2020
UK1158,England/OXON-AE990/2020
UK4550,England/OXON-ADE92/2020
UK1572,England/OXON-AD014/2020
UK1264,England/OXON-AE0B9/2020
UK1339,England/OXON-ACF54/2020
UK330,England/OXON-AEE37/2020
UK1880,England/OXON-AE7C3/2020
UK1228,England/OXON-AEFAD/2020
UK1535,England/OXON-AE24A/2020
UK197,England/OXON-ACFEB/2020
UK1433,England/OXON-ADF62/2020
UK546,England/OXON-AEF34/2020
UK1810,England/OXON-ADE47/2020
UK1877,England/OXON-AD120/2020
UK134,England/OXON-AEE46/2020
UK2068,England/OXON-ACCC6/2020
UK151,England/OXON-AC604/2020
UK1767,England/OXON-AC965/2020
UK839,England/OXON-AC868/2020
UK977,England/OXON-ACB23/2020
UK1050,England/OXON-ACEA2/2020
UK2098,England/OXON-ACBD8/2020
UK1971,England/OXON-AC91A/2020
UK5501,England/OXON-AC8B3/2020
UK267,England/OXON-AC6F5/2020
UK2033,England/OXON-AC455/2020
UK153,England/OXON-AC5F8/2020
UK1398,England/OXON-ACEFD/2020
UK590,England/OXON-AF23A/2020
UK384,England/OXON-AF294/2020
UK1212,England/OXON-AF12E/2020
UK497,England/OXON-AF319/2020
