UK_lineage,taxon
UK6376,Northern_Ireland/NIRE-1022BC/2020
UK6377,Northern_Ireland/NIRE-101F3E/2020
UK6378,Northern_Ireland/NIRE-101FB6/2020
UK5835,Northern_Ireland/NIRE-102322/2020
UK6379,Northern_Ireland/NIRE-102146/2020
UK6705,Northern_Ireland/NIRE-1021BF/2020
UK6380,Northern_Ireland/NIRE-10236E/2020
UK5992,Northern_Ireland/NIRE-1020FE/2020
UK5897,Northern_Ireland/NIRE-102304/2020
UK6183,Northern_Ireland/NIRE-1023D7/2020
UK6381,Northern_Ireland/NIRE-102119/2020
UK5993,Northern_Ireland/NIRE-101FF2/2020
UK6228,Northern_Ireland/NIRE-101F7A/2020
UK6382,Northern_Ireland/NIRE-102058/2020
UK5907,Northern_Ireland/NIRE-101F01/2020
UK6669,Northern_Ireland/NIRE-1021DD/2020
UK6706,Northern_Ireland/NIRE-1021CE/2020
UK6746,Northern_Ireland/NIRE-10201C/2020
UK6822,Northern_Ireland/NIRE-1021EC/2020
UK5994,Northern_Ireland/NIRE-102313/2020
UK6335,Northern_Ireland/NIRE-102164/2020
UK5847,Northern_Ireland/NIRE-10239B/2020
UK6667,Northern_Ireland/NIRE-102067/2020
UK6383,Northern_Ireland/NIRE-1022AD/2020
UK6707,Northern_Ireland/NIRE-10229E/2020
UK6204,Northern_Ireland/NIRE-102094/2020
UK6737,Northern_Ireland/NIRE-10202B/2020
UK6384,Northern_Ireland/NIRE-102085/2020
UK6849,Northern_Ireland/NIRE-1021FB/2020
UK6662,Northern_Ireland/NIRE-1023E6/2020
UK6385,England/NOTT-1109C5/2020
UK6386,England/NOTT-110998/2020
UK6682,England/NOTT-110AC2/2020
UK6063,England/NOTT-110822/2020
UK6387,England/NOTT-11089B/2020
UK6064,England/SHEF-C867B/2020
UK6336,England/SHEF-C6C20/2020
UK6153,England/SHEF-C5C9A/2020
UK5908,England/SHEF-C9AC9/2020
UK5943,England/SHEF-C584B/2020
UK6184,Scotland/EDB3887/2020
UK5895,Scotland/EDB3914/2020
UK5970,Scotland/EDB3925/2020
UK6018,Scotland/EDB3942/2020
UK5891,Scotland/EDB3879/2020
UK5971,Scotland/EDB3891/2020
UK6852,England/NOTT-11078F/2020
UK6806,England/NOTT-110734/2020
UK6807,England/NOTT-110646/2020
UK6164,England/SHEF-D1A82/2020
UK5793,England/SHEF-CE6DF/2020
UK5827,England/BIRM-5E8DE/2020
UK6310,England/BIRM-5E838/2020
UK6708,England/BIRM-5E874/2020
UK5836,England/BIRM-5E892/2020
UK6388,England/BIRM-5E80B/2020
UK6389,England/BIRM-5E847/2020
UK6318,England/BIRM-5E7FF/2020
UK6390,England/SHEF-D130F/2020
UK5828,England/SHEF-CBB5B/2020
UK6709,England/SHEF-CF8C9/2020
UK6360,England/SHEF-C4C13/2020
UK5909,England/SHEF-C1F4A/2020
UK5991,England/SHEF-C5F19/2020
UK6670,Scotland/CVR3125/2020
UK5966,Scotland/CVR2982/2020
UK6261,Scotland/CVR3132/2020
UK5898,Scotland/CVR3123/2020
UK6391,England/NOTT-1105A3/2020
UK6065,England/NOTT-110567/2020
UK6348,England/CAMB-1AC111/2020
UK6672,England/CAMB-1AC032/2020
UK6019,England/CAMB-1ABEFD/2020
UK5903,England/CAMB-1ABF18/2020
UK6259,Scotland/CVR2748/2020
UK6392,Scotland/CVR2919/2020
UK6066,Scotland/CVR2750/2020
UK6044,Scotland/CVR2281/2020
UK5896,Scotland/CVR2963/2020
UK6242,Scotland/CVR2819/2020
UK5787,Scotland/CVR2921/2020
UK5910,England/SHEF-D077D/2020
UK6747,England/SHEF-C4BDA/2020
UK6067,Scotland/EDB3501/2020
UK5961,Scotland/EDB3518/2020
UK6068,Scotland/EDB3499/2020
UK5972,Scotland/EDB3520/2020
UK5894,Scotland/EDB3817/2020
UK5890,Scotland/EDB3846/2020
UK5912,Scotland/EDB3850/2020
UK6165,Scotland/EDB3872/2020
UK6219,Scotland/EDB3865/2020
UK6166,England/CAMB-1AC199/2020
