UK_lineage,taxon
UK2082,Scotland/QEUH-963F41/2020
UK1328,Scotland/QEUH-961BB8/2020
UK1575,England/ALDP-924FD3/2020
UK1280,England/ALDP-90DDC7/2020
UK2041,England/ALDP-8FD8F7/2020
UK1820,England/ALDP-9272E6/2020
UK1816,England/ALDP-8FD38D/2020
UK2067,England/MILK-974CDD/2020
UK1125,England/MILK-974B49/2020
UK1690,England/MILK-9759A8/2020
UK363,England/MILK-9750A3/2020
UK484,England/MILK-976136/2020
UK1543,England/QEUH-990752/2020
UK553,England/ALDP-981CFB/2020
UK1007,England/MILK-975D9D/2020
UK1930,England/MILK-975E7C/2020
UK1710,England/MILK-975E21/2020
UK1584,England/ALDP-981ED7/2020
UK1756,England/QEUH-98F8CC/2020
UK798,Scotland/QEUH-98FAA8/2020
UK1891,England/ALDP-9807BF/2020
UK1883,Scotland/QEUH-98FD09/2020
UK1847,England/MILK-970E62/2020
UK948,England/MILK-9703EB/2020
UK1406,England/MILK-9704D9/2020
UK404,England/MILK-970309/2020
UK453,England/MILK-970503/2020
UK1128,England/MILK-970293/2020
UK812,England/MILK-970424/2020
UK1442,England/ALDP-983B92/2020
UK1617,England/QEUH-96EED0/2020
UK547,England/QEUH-96F200/2020
UK2133,England/QEUH-96EE2B/2020
UK1123,England/QEUH-96F419/2020
UK1890,England/QEUH-96D141/2020
UK34,England/QEUH-96D0EA/2020
UK2040,Northern_Ireland/QEUH-96CA83/2020
UK2153,Scotland/QEUH-96C889/2020
UK498,Scotland/QEUH-96D396/2020
UK814,England/ALDP-97EFAD/2020
UK2115,England/ALDP-98B972/2020
UK418,England/ALDP-98B963/2020
UK1681,England/ALDP-95CB1A/2020
UK943,England/ALDP-95CAD1/2020
UK2042,England/ALDP-95307E/2020
UK1366,England/ALDP-9530AB/2020
UK513,England/ALDP-952E1B/2020
UK1456,England/QEUH-96C5FB/2020
UK691,England/ALDP-982683/2020
UK1175,England/MILK-9781E9/2020
UK380,England/QEUH-96563B/2020
UK1552,England/QEUH-964CFE/2020
UK910,England/QEUH-964B97/2020
UK1493,Northern_Ireland/QEUH-96994D/2020
UK1428,England/QEUH-964BA6/2020
UK1305,England/QEUH-96BAA2/2020
UK459,Scotland/QEUH-96B0FB/2020
UK145,England/QEUH-96A84F/2020
UK631,England/ALDP-9536C7/2020
UK1120,England/QEUH-963970/2020
UK1651,England/QEUH-9639CB/2020
UK1673,England/QEUH-9633BE/2020
UK1118,England/QEUH-9637B2/2020
UK1692,Scotland/QEUH-9631F0/2020
UK1625,England/QEUH-96256E/2020
UK388,England/MILK-9576B4/2020
UK1307,England/ALDP-956600/2020
UK1908,England/ALDP-956381/2020
UK2047,England/ALDP-956521/2020
UK1734,England/ALDP-955CF0/2020
UK1181,England/ALDP-9565D6/2020
UK727,England/MILK-95755D/2020
UK1990,England/ALDP-952886/2020
UK962,England/ALDP-955C5A/2020
UK951,England/ALDP-956266/2020
UK1592,England/MILK-957371/2020
UK1396,England/MILK-957098/2020
UK1000,England/MILK-9569CB/2020
UK671,England/MILK-956F9C/2020
UK443,England/MILK-956785/2020
UK1877,England/MILK-956A7D/2020
UK842,England/MILK-95699E/2020
UK740,England/MILK-9572A1/2020
UK1141,England/MILK-9579F7/2020
