UK_lineage,taxon
UK5484,England/EXET-13789E/2020
UK1006,England/EXET-137843/2020
UK275,England/EXET-1373D9/2020
UK42,England/EXET-1373E8/2020
UK35,England/EXET-137342/2020
UK12,England/EXET-1372CD/2020
UK162,England/EXET-136D72/2020
UK158,England/EXET-136CDF/2020
UK3126,England/EXET-136EAC/2020
UK513,England/EXET-136F6D/2020
UK331,England/EXET-136F5E/2020
UK339,England/EXET-135A30/2020
UK202,England/EXET-135AA9/2020
UK1620,England/EXET-135A12/2020
UK64,England/EXET-135CEF/2020
UK3189,England/EXET-135D91/2020
UK3192,England/EXET-135C76/2020
UK5649,England/EXET-135BD3/2020
UK1619,England/EXET-135C85/2020
UK3194,England/EXET-135C2B/2020
UK4528,England/EXET-135EBC/2020
UK15,England/EXET-135F13/2020
UK276,England/EXET-1358EB/2020
UK326,England/EXET-13558A/2020
UK101,England/EXET-1357EE/2020
UK31,England/EXET-1357B1/2020
UK3037,England/EXET-135098/2020
