UK_lineage,taxon
UK288,Northern_Ireland/NIRE-FB1AB/2020
UK3056,Northern_Ireland/NIRE-FB712/2020
UK1881,Northern_Ireland/NIRE-FAF75/2020
UK1261,Northern_Ireland/NIRE-FB27B/2020
UK3046,Northern_Ireland/NIRE-FAFDF/2020
UK3057,Northern_Ireland/NIRE-FB6CA/2020
UK2789,Northern_Ireland/NIRE-FAE1E/2020
UK706,Northern_Ireland/NIRE-FB6AC/2020
UK3058,Northern_Ireland/NIRE-FB1BA/2020
UK1009,Northern_Ireland/NIRE-FAEB4/2020
UK2090,Northern_Ireland/NIRE-FAE4B/2020
UK3059,Northern_Ireland/NIRE-FB67F/2020
UK1246,Northern_Ireland/NIRE-FB220/2020
UK364,Northern_Ireland/NIRE-FB1E7/2020
UK5688,Northern_Ireland/NIRE-FAEF0/2020
UK5675,Northern_Ireland/NIRE-FB660/2020
UK5561,Northern_Ireland/NIRE-FB78B/2020
UK4660,Northern_Ireland/NIRE-FB1F6/2020
UK5263,Northern_Ireland/NIRE-FB69D/2020
UK3062,Northern_Ireland/NIRE-FB211/2020
UK3063,Northern_Ireland/NIRE-FAFFD/2020
UK155,Northern_Ireland/NIRE-FB77C/2020
UK3064,Northern_Ireland/NIRE-FB76D/2020
UK3065,Northern_Ireland/NIRE-FB75E/2020
UK3066,Northern_Ireland/NIRE-FB68E/2020
UK933,Northern_Ireland/NIRE-FB6D9/2020
UK2545,Northern_Ireland/NIRE-FB730/2020
UK154,Northern_Ireland/NIRE-101F2F/2020
UK2063,Northern_Ireland/NIRE-1022CB/2020
UK1545,Northern_Ireland/NIRE-101E8C/2020
UK3124,Northern_Ireland/NIRE-1022BC/2020
UK44,Northern_Ireland/NIRE-102049/2020
UK3125,Northern_Ireland/NIRE-101F3E/2020
UK5459,Northern_Ireland/NIRE-101FB6/2020
UK1331,Northern_Ireland/NIRE-102322/2020
UK3127,Northern_Ireland/NIRE-102146/2020
UK4523,Northern_Ireland/NIRE-1021BF/2020
UK3128,Northern_Ireland/NIRE-10236E/2020
UK2612,Northern_Ireland/NIRE-1023D7/2020
UK1884,Northern_Ireland/NIRE-101EC8/2020
UK3129,Northern_Ireland/NIRE-102119/2020
UK2675,Northern_Ireland/NIRE-101F7A/2020
UK3130,Northern_Ireland/NIRE-102058/2020
UK1574,Northern_Ireland/NIRE-101E31/2020
UK1663,Northern_Ireland/NIRE-101EAA/2020
UK1788,Northern_Ireland/NIRE-101F01/2020
UK4453,Northern_Ireland/NIRE-1021DD/2020
UK979,Northern_Ireland/NIRE-101ED7/2020
UK357,Northern_Ireland/NIRE-10200D/2020
UK198,Northern_Ireland/NIRE-101E40/2020
UK4524,Northern_Ireland/NIRE-1021CE/2020
UK4665,Northern_Ireland/NIRE-10201C/2020
UK5701,Northern_Ireland/NIRE-1021EC/2020
UK2795,Northern_Ireland/NIRE-102164/2020
UK51,Northern_Ireland/NIRE-10239B/2020
UK4449,Northern_Ireland/NIRE-102067/2020
UK185,Northern_Ireland/NIRE-102270/2020
UK3131,Northern_Ireland/NIRE-1022AD/2020
UK4525,Northern_Ireland/NIRE-10229E/2020
UK2685,Northern_Ireland/NIRE-102094/2020
UK5567,Northern_Ireland/NIRE-101E6E/2020
UK642,Northern_Ireland/NIRE-10202B/2020
UK3132,Northern_Ireland/NIRE-102085/2020
UK70,Northern_Ireland/NIRE-1021FB/2020
UK66,Northern_Ireland/NIRE-102340/2020
UK4447,Northern_Ireland/NIRE-1023E6/2020
UK818,Northern_Ireland/NIRE-FB378/2020
UK1007,Northern_Ireland/NIRE-FB4B1/2020
UK4791,Northern_Ireland/NIRE-FB40C/2020
UK36,Northern_Ireland/NIRE-FB4DF/2020
UK3752,Northern_Ireland/NIRE-FB448/2020
UK2607,Northern_Ireland/NIRE-FB509/2020
UK2571,Northern_Ireland/NIRE-FB484/2020
UK3753,Northern_Ireland/NIRE-FB42A/2020
