UK_lineage,taxon
UK5686,England/NOTT-111153/2020
UK260,England/NOTT-111065/2020
UK130,England/NOTT-111029/2020
UK3067,England/NOTT-110F0F/2020
UK2091,England/NOTT-110E7B/2020
UK954,England/NOTT-110D23/2020
UK3068,England/NOTT-110D7E/2020
UK1617,England/NOTT-110C17/2020
UK3163,England/NOTT-1109C5/2020
UK166,England/NOTT-110AC2/2020
UK2131,England/NOTT-110822/2020
UK3167,England/NOTT-11089B/2020
UK5487,England/NOTT-11078F/2020
UK5569,England/NOTT-110646/2020
UK5570,England/NOTT-110655/2020
UK3216,England/NOTT-1105A3/2020
UK2139,England/NOTT-110567/2020
UK1264,England/NOTT-110312/2020
UK3320,England/NOTT-1101FA/2020
UK5709,England/NOTT-110303/2020
UK5089,England/NOTT-1100DF/2020
UK628,England/NOTT-110118/2020
UK101,England/NOTT-10FE60/2020
UK5580,England/NOTT-10FF30/2020
UK3472,England/NOTT-10FF03/2020
UK2237,England/NOTT-10FD45/2020
UK2238,England/NOTT-10FD09/2020
UK348,England/NOTT-10FE24/2020
UK3493,England/NOTT-10FC0C/2020
UK1349,England/NOTT-10FB96/2020
UK2243,England/NOTT-10FC48/2020
UK3048,England/NOTT-10FC66/2020
UK3494,England/NOTT-10FC1B/2020
UK2244,England/NOTT-10FBB4/2020
UK5585,England/NOTT-10F9F6/2020
UK3495,England/NOTT-10FA4E/2020
UK5720,England/NOTT-10FA3F/2020
UK2890,England/NOTT-10FB5A/2020
UK2245,England/NOTT-10FAE4/2020
UK4492,England/NOTT-10F9AB/2020
UK624,England/NOTT-10F9BA/2020
UK494,England/NOTT-10F96F/2020
UK4455,England/NOTT-10F905/2020
UK4559,England/NOTT-10F8F9/2020
UK2264,England/NOTT-10F9C9/2020
UK214,England/NOTT-10F8EA/2020
UK3555,England/NOTT-10F853/2020
UK3556,England/NOTT-10F817/2020
UK2265,England/NOTT-10F7A1/2020
UK5588,England/NOTT-10F844/2020
UK1357,England/NOTT-10F5D4/2020
UK319,England/NOTT-10F677/2020
UK3666,England/NOTT-10F63B/2020
UK3667,England/NOTT-10F62C/2020
UK4770,England/NOTT-10F440/2020
UK5729,England/NOTT-10F52F/2020
UK55,England/NOTT-10F53E/2020
UK158,England/NOTT-10F56B/2020
UK77,England/NOTT-10F2DD/2020
UK207,England/NOTT-10F3E9/2020
UK3280,England/NOTT-10F352/2020
UK1272,England/NOTT-10F370/2020
UK3751,England/NOTT-10F422/2020
UK670,England/NOTT-10F3CB/2020
UK3069,England/NOTT-10F343/2020
UK1362,England/NOTT-10F2EC/2020
UK5591,England/NOTT-10F413/2020
UK3070,England/NOTT-10F334/2020
UK3281,England/NOTT-10F291/2020
UK1363,England/NOTT-10F1C1/2020
UK5735,England/NOTT-10F1B2/2020
UK2301,England/NOTT-10F246/2020
UK2302,England/NOTT-10F282/2020
UK2303,England/NOTT-10F1D0/2020
UK4790,England/NOTT-10F176/2020
UK5597,England/NOTT-10EF7D/2020
UK2752,England/NOTT-10EECB/2020
UK4806,England/NOTT-10EF31/2020
UK5749,England/NOTT-10EF6E/2020
UK3828,England/NOTT-10EF5F/2020
UK4807,England/NOTT-10EF22/2020
UK4808,England/NOTT-10EF13/2020
UK1369,England/NOTT-10EE9E/2020
UK5750,England/NOTT-10EF9B/2020
UK225,England/NOTT-10F06A/2020
UK232,England/NOTT-10F01F/2020
UK487,England/NOTT-10F0B5/2020
UK3668,England/NOTT-10ECA3/2020
UK1651,England/NOTT-10EB97/2020
UK669,England/NOTT-10EDDD/2020
UK3835,England/NOTT-10ED37/2020
UK91,England/NOTT-10ED73/2020
UK1652,England/NOTT-10EDCE/2020
UK5752,England/NOTT-10EE34/2020
UK1817,England/NOTT-10EDEC/2020
UK673,England/NOTT-10ED28/2020
UK2336,England/NOTT-10EE16/2020
UK4637,England/NOTT-10EB2E/2020
UK1069,England/NOTT-10EAB8/2020
UK196,England/NOTT-10EA5E/2020
UK5892,England/NOTT-10EB88/2020
UK273,England/NOTT-10EAA9/2020
UK51,England/NOTT-10EA6D/2020
UK4491,England/NOTT-10EB3D/2020
UK2479,England/NOTT-10E3CC/2020
UK5857,England/NOTT-10E441/2020
UK5621,England/NOTT-10E3DB/2020
UK616,England/NOTT-10E450/2020
UK2480,England/NOTT-10E3F9/2020
UK2481,England/NOTT-10E344/2020
UK109,England/NOTT-10E881/2020
UK2889,England/NOTT-10E8CD/2020
UK5622,England/NOTT-10E872/2020
UK5476,England/NOTT-10E809/2020
UK4707,England/NOTT-10E775/2020
UK5088,England/NOTT-10E784/2020
UK2174,England/NOTT-10E9D9/2020
UK2175,England/NOTT-10E97F/2020
UK1446,England/NOTT-10EA03/2020
UK4274,England/NOTT-10E924/2020
UK708,England/NOTT-10E942/2020
UK2477,England/NOTT-10E8FA/2020
UK2478,England/NOTT-10E9BB/2020
UK1301,England/NOTT-10E63C/2020
UK5170,England/NOTT-10E678/2020
UK1447,England/NOTT-10E766/2020
UK4646,England/NOTT-10E748/2020
UK5657,England/NOTT-10E72A/2020
UK5623,England/NOTT-10E511/2020
UK1050,England/NOTT-10E599/2020
UK2475,England/NOTT-10E4D8/2020
UK5788,England/NOTT-10E520/2020
UK1941,England/NOTT-10E5F3/2020
UK23,England/NOTT-10E4C9/2020
UK1445,England/NOTT-10E58A/2020
UK4273,England/NOTT-10E5A8/2020
UK2476,England/NOTT-10E4F6/2020
UK2937,England/NOTT-10E5B7/2020
UK463,England/NOTT-10E20B/2020
UK5119,England/NOTT-10E1FF/2020
UK19,England/NOTT-10E283/2020
UK2491,England/NOTT-10E1C2/2020
UK2638,England/NOTT-10E308/2020
UK5626,England/NOTT-10E292/2020
UK8,England/NOTT-10E195/2020
UK5480,England/NOTT-10E14A/2020
UK5120,England/NOTT-10E186/2020
UK5642,England/NOTT-10E06B/2020
UK4645,England/NOTT-10E098/2020
UK5627,England/NOTT-10DFC9/2020
UK361,England/NOTT-10DF9C/2020
UK355,England/NOTT-10E02F/2020
UK2500,England/NOTT-10E010/2020
