UK_lineage,taxon
UK2587,England/OXON-AE81B/2020
UK631,England/OXON-AE2FF/2020
UK2622,England/OXON-ADBD7/2020
UK2637,England/OXON-AE1F2/2020
UK3378,England/OXON-AEC00/2020
UK1858,England/OXON-ADE38/2020
UK921,England/OXON-AE4F9/2020
UK2688,England/OXON-AD858/2020
UK4719,England/OXON-ADDD1/2020
UK2809,England/OXON-AE875/2020
UK2810,England/OXON-AD8FE/2020
UK2604,England/OXON-AEB7C/2020
UK608,England/OXON-AD8D0/2020
UK3379,England/OXON-AE277/2020
UK162,England/OXON-AE338/2020
UK2616,England/OXON-AE9CD/2020
UK353,England/OXON-AD515/2020
UK111,England/OXON-ADDFF/2020
UK5648,England/OXON-AE2B3/2020
UK3380,England/OXON-AE9BE/2020
UK2598,England/OXON-AE295/2020
UK1806,England/OXON-AEC1F/2020
UK2210,England/OXON-AE9AF/2020
UK2709,England/OXON-AE4BD/2020
UK147,England/OXON-ADD3B/2020
UK1101,England/OXON-AE550/2020
UK5576,England/OXON-AE031/2020
UK2573,England/OXON-ADD1D/2020
UK413,England/OXON-AE7E1/2020
UK2644,England/OXON-AE0D7/2020
UK47,England/OXON-AD955/2020
UK2649,England/OXON-AD0F6/2020
UK3381,England/OXON-AE611/2020
UK3382,England/OXON-ADE56/2020
UK3027,England/OXON-AE9DC/2020
UK846,England/OXON-AD876/2020
UK2597,England/OXON-AEB30/2020
UK4720,England/OXON-ADB5F/2020
UK2823,England/OXON-AD7D3/2020
UK1008,England/OXON-AD6B8/2020
UK3383,England/OXON-AD2D2/2020
UK3384,England/OXON-ADFDB/2020
UK4721,England/OXON-AEACA/2020
UK5633,England/OXON-AEBC7/2020
UK710,England/OXON-AE23B/2020
UK805,England/OXON-AD779/2020
UK2679,England/OXON-AD73D/2020
UK2603,England/OXON-ADC98/2020
UK18,England/OXON-AE990/2020
UK2663,England/OXON-AE532/2020
UK4550,England/OXON-ADE92/2020
UK5219,England/OXON-AD31B/2020
UK2621,England/OXON-AE3B0/2020
UK2617,England/OXON-ADEFC/2020
UK2827,England/OXON-ADB31/2020
UK3031,England/OXON-AD296/2020
UK3385,England/OXON-AE8B1/2020
