UK_lineage,taxon
UK5647,England/SHEF-C1F59/2020
UK5649,England/SHEF-C9610/2020
UK5650,England/SHEF-C15A2/2020
UK1005,England/SHEF-C2459/2020
UK1764,England/SHEF-C4F56/2020
UK5467,England/SHEF-D086B/2020
UK5663,England/SHEF-C98DE/2020
UK112,England/SHEF-D0889/2020
UK5520,England/SHEF-CDBE0/2020
UK5335,England/SHEF-C27F6/2020
UK5898,England/SHEF-D07AA/2020
UK5527,England/SHEF-C8787/2020
UK5667,England/SHEF-CC8CC/2020
UK5161,England/SHEF-C65AD/2020
UK5521,England/SHEF-C42C6/2020
UK5897,England/SHEF-CCFB8/2020
UK5320,England/SHEF-CA10F/2020
UK5337,England/SHEF-C676B/2020
UK858,England/SHEF-CDD17/2020
UK1210,England/SHEF-CC4AA/2020
UK859,England/SHEF-C88A2/2020
UK17,England/SHEF-C4C7D/2020
UK1211,England/SHEF-C4D6B/2020
UK376,England/SHEF-D1D3E/2020
UK2793,England/SHEF-D273F/2020
UK3104,England/SHEF-C4E77/2020
UK4444,England/SHEF-CB62D/2020
UK1706,England/SHEF-C2DC7/2020
UK28,England/SHEF-CF094/2020
UK2734,England/SHEF-C5878/2020
UK634,England/SHEF-C41BA/2020
UK4441,England/SHEF-C1C70/2020
UK4495,England/SHEF-D0607/2020
UK2650,England/SHEF-C9100/2020
UK3176,England/SHEF-CFDD9/2020
UK2800,England/SHEF-C6C20/2020
UK2529,England/SHEF-C5C9A/2020
UK1621,England/SHEF-C9AC9/2020
UK1767,England/SHEF-C584B/2020
UK1086,England/SHEF-CE6DF/2020
UK5474,England/SHEF-CC431/2020
UK5159,England/SHEF-C33D3/2020
UK3213,England/SHEF-D130F/2020
UK4529,England/SHEF-CF8C9/2020
UK146,England/SHEF-C4C13/2020
UK1792,England/SHEF-C1F4A/2020
UK75,England/SHEF-CBB2E/2020
UK1622,England/SHEF-D077D/2020
UK4671,England/SHEF-C4BDA/2020
UK3220,England/SHEF-C8505/2020
UK4532,England/SHEF-D1633/2020
UK2698,England/SHEF-CC0D3/2020
UK115,England/SHEF-CC6D1/2020
UK1779,England/SHEF-C1C8F/2020
UK3221,England/SHEF-C6C5D/2020
UK4452,England/SHEF-CAD1A/2020
UK3222,England/SHEF-CB8FA/2020
UK5902,England/SHEF-CDE23/2020
UK4538,England/SHEF-D15FA/2020
UK1623,England/SHEF-CAC0E/2020
UK1775,England/SHEF-C9935/2020
UK4443,England/SHEF-C291E/2020
UK4543,England/SHEF-C22AA/2020
UK3319,England/SHEF-C6929/2020
UK5904,England/SHEF-C71B7/2020
UK5572,England/SHEF-CB63C/2020
UK574,England/SHEF-CF252/2020
UK5265,England/SHEF-C57B7/2020
UK1263,England/SHEF-CD60D/2020
UK3297,England/SHEF-D1518/2020
UK3374,England/SHEF-C237A/2020
UK5908,England/SHEF-CFAB4/2020
UK681,England/SHEF-C1E89/2020
UK5574,England/SHEF-D1E3B/2020
UK670,England/SHEF-CC71A/2020
UK5909,England/SHEF-CC45F/2020
UK214,England/SHEF-CD403/2020
UK2530,England/SHEF-C2055/2020
UK3366,England/SHEF-D08B6/2020
UK5137,England/SHEF-C7A34/2020
UK1709,England/SHEF-C21DA/2020
UK3453,England/SHEF-D0801/2020
UK2743,England/SHEF-C3977/2020
UK2534,England/SHEF-D21D7/2020
UK3454,England/SHEF-C17E8/2020
UK4732,England/SHEF-C9F24/2020
UK64,England/SHEF-D31B8/2020
UK4554,England/SHEF-C393B/2020
UK578,England/SHEF-C6EEE/2020
UK267,England/SHEF-C5650/2020
UK5578,England/SHEF-C9DC0/2020
UK4733,England/SHEF-C9BB7/2020
UK2531,England/SHEF-C8611/2020
UK5910,England/SHEF-D1E68/2020
UK2532,England/SHEF-CBC1C/2020
UK752,England/SHEF-C78EF/2020
UK3020,England/SHEF-CCD90/2020
UK2533,England/SHEF-D03C4/2020
UK3438,England/SHEF-CD03C/2020
UK1266,England/SHEF-CD45E/2020
UK3473,England/SHEF-C6859/2020
UK4530,England/SHEF-C31E8/2020
UK2239,England/SHEF-C9B11/2020
UK59,England/SHEF-C7C6B/2020
UK5583,England/SHEF-C6DA5/2020
UK379,England/SHEF-C379B/2020
UK5582,England/SHEF-CA49D/2020
UK5228,England/SHEF-D3358/2020
UK2535,England/SHEF-CC729/2020
UK3477,England/SHEF-CB5D5/2020
UK3478,England/SHEF-CC185/2020
UK1268,England/SHEF-C5966/2020
UK4744,England/SHEF-C6534/2020
UK4745,England/SHEF-CFEE5/2020
UK2536,England/SHEF-C83A1/2020
UK4746,England/SHEF-C6464/2020
UK3505,England/SHEF-CB58A/2020
UK86,England/SHEF-D1475/2020
UK672,England/SHEF-D2E58/2020
UK5721,England/SHEF-CC0C4/2020
UK4747,England/SHEF-C911F/2020
UK2258,England/SHEF-C3458/2020
UK5911,England/SHEF-C15B1/2020
UK3522,England/SHEF-C1F2C/2020
UK1735,England/SHEF-C83ED/2020
UK581,England/SHEF-C3CC9/2020
UK3523,England/SHEF-CB9CA/2020
UK2720,England/SHEF-C16DC/2020
UK4404,England/SHEF-CEA6A/2020
UK2279,England/SHEF-CCF4F/2020
UK4405,England/SHEF-C49C1/2020
UK3659,England/SHEF-C32C7/2020
UK3660,England/SHEF-C65F8/2020
UK3054,England/SHEF-D0F84/2020
UK1715,England/SHEF-CE0C2/2020
UK3506,England/SHEF-CB353/2020
UK231,England/SHEF-C30DC/2020
UK3034,England/SHEF-CA1C3/2020
UK3648,England/SHEF-CFE6D/2020
UK3112,England/SHEF-C0F69/2020
UK4367,England/SHEF-C0C35/2020
UK5621,England/SHEF-C90E5/2020
UK878,England/SHEF-CAB89/2020
UK5912,England/SHEF-D169D/2020
UK1646,England/SHEF-C7700/2020
UK688,England/SHEF-C8338/2020
UK3785,England/SHEF-C4396/2020
UK2538,England/SHEF-C5395/2020
UK3765,England/SHEF-D0591/2020
UK5592,England/SHEF-C916A/2020
UK5624,England/SHEF-C77F1/2020
UK9,England/SHEF-C0C26/2020
UK196,England/SHEF-CE332/2020
UK5561,England/SHEF-D12D5/2020
UK5268,England/SHEF-D2BAC/2020
UK5482,England/SHEF-CEC55/2020
UK3766,England/SHEF-C3DB7/2020
UK2537,England/SHEF-C8B8B/2020
UK5914,England/SHEF-C9ABA/2020
UK5598,England/SHEF-C6622/2020
UK5915,England/SHEF-C56BA/2020
UK5916,England/SHEF-C3CF6/2020
UK692,England/SHEF-CFB93/2020
UK1370,England/SHEF-C526B/2020
UK4573,England/SHEF-C13C6/2020
UK1084,England/SHEF-D0731/2020
UK1720,England/SHEF-C1E10/2020
UK1399,England/SHEF-CA169/2020
UK3999,England/SHEF-C806E/2020
UK4929,England/SHEF-CA697/2020
UK55,England/SHEF-CF911/2020
UK4000,England/SHEF-CDE32/2020
UK162,England/SHEF-C715D/2020
UK4073,England/SHEF-D2869/2020
UK1294,England/SHEF-C72F0/2020
UK5818,England/SHEF-C706F/2020
UK4055,England/SHEF-D2C8B/2020
UK5869,England/SHEF-CD430/2020
UK2416,England/SHEF-C8AE8/2020
UK4056,England/SHEF-D11D8/2020
UK4601,England/SHEF-CB001/2020
UK1597,England/SHEF-CCDFA/2020
UK1432,England/SHEF-CFDCA/2020
UK153,England/SHEF-CAF7E/2020
UK4001,England/SHEF-D15BE/2020
UK5571,England/SHEF-CD39D/2020
UK4597,England/SHEF-D1DE3/2020
UK1029,England/SHEF-CF261/2020
UK213,England/SHEF-D20CB/2020
UK4095,England/SHEF-D33C1/2020
UK2822,England/SHEF-CC64A/2020
UK1114,England/Sheff02/2020
UK1170,England/Sheff01/2020
UK4172,England/SHEF-BFD27/2020
UK2673,England/SHEF-BFCFD/2020
UK1872,England/SHEF-BFCB1/2020
UK4173,England/SHEF-BFD18/2020
UK2899,England/SHEF-BFD09/2020
UK1171,England/SHEF-BFD54/2020
UK5553,England/SHEF-BFCEE/2020
UK2591,England/SHEF-BFCDF/2020
UK2458,England/SHEF-CB3F9/2020
UK4002,England/SHEF-C8DFE/2020
UK642,England/SHEF-D227A/2020
UK4203,England/SHEF-C72E1/2020
UK5921,England/SHEF-C3160/2020
UK5922,England/SHEF-C8620/2020
UK4204,England/SHEF-C2222/2020
UK5284,England/SHEF-CCED9/2020
UK5760,England/SHEF-CED9E/2020
UK4187,England/SHEF-CBEE9/2020
UK583,England/SHEF-C2310/2020
UK4628,England/SHEF-C0163/2020
UK1843,England/SHEF-C01FA/2020
UK1844,England/SHEF-C0181/2020
UK632,England/SHEF-C0190/2020
UK2582,England/SHEF-C01EB/2020
UK939,England/SHEF-C0109/2020
UK4608,England/SHEF-C0118/2020
UK4609,England/SHEF-C0303/2020
UK1950,England/SHEF-C02BB/2020
UK5378,England/SHEF-C028E/2020
UK2583,England/SHEF-C0251/2020
UK4653,England/SHEF-C0224/2020
UK2462,England/SHEF-C041F/2020
UK5078,England/SHEF-C0497/2020
UK563,England/SHEF-C03D6/2020
UK2463,England/SHEF-C042E/2020
UK2540,England/SHEF-C03F4/2020
UK22,England/SHEF-C087D/2020
UK5143,England/SHEF-C08E6/2020
UK302,England/SHEF-C08AA/2020
UK1776,England/SHEF-C07CB/2020
UK4627,England/SHEF-C2626/2020
UK613,England/SHEF-CF340/2020
UK4629,England/SHEF-CD97D/2020
UK4626,England/SHEF-C426C/2020
UK5729,England/SHEF-CA0B7/2020
UK42,England/SHEF-D019D/2020
UK1500,England/SHEF-CD05A/2020
UK2541,England/SHEF-C9D84/2020
UK77,England/SHEF-C05D0/2020
UK5554,England/SHEF-C0628/2020
UK4472,England/SHEF-C051C/2020
UK4321,England/SHEF-C052B/2020
UK1310,England/SHEF-C0673/2020
UK1454,England/SHEF-C06CE/2020
UK1455,England/SHEF-C06A0/2020
UK941,England/SHEF-C06BF/2020
UK1765,England/SHEF-C06DD/2020
UK2202,England/SHEF-BFF5E/2020
UK142,England/SHEF-BFFD6/2020
UK2502,England/SHEF-BFF6D/2020
UK5665,England/SHEF-BFF7C/2020
UK5628,England/SHEF-BFEAC/2020
UK639,England/SHEF-BFED9/2020
