UK_lineage,taxon
UK478,England/PORT-2D11E5/2020
UK583,England/PORT-2D0F19/2020
UK192,England/BIRM-5F819/2020
UK163,England/NORW-ED6BC/2020
UK591,England/NOTT-111ED4/2020
UK398,England/NOTT-111EE3/2020
UK550,England/BRIS-12CDE8/2020
UK194,England/BRIS-12D312/2020
UK220,England/BRIS-12DF2D/2020
UK344,England/BRIS-12E1BD/2020
UK452,England/BRIS-12DBFC/2020
UK458,England/PORT-2D0113/2020
UK195,Wales/PHWC-162F59/2020
UK516,England/NORT-281339/2020
UK188,England/NORT-2812E1/2020
UK554,England/NORT-283FF7/2020
UK235,England/NORT-283E81/2020
UK210,England/NORT-2817E2/2020
UK226,England/NORT-28176A/2020
UK588,England/NORT-281AF8/2020
UK530,England/NORT-28180D/2020
UK108,England/LIVE-A064C/2020
UK278,Wales/PHWC-16425E/2020
UK459,Wales/PHWC-1636DB/2020
UK405,England/LIVE-A06F1/2020
UK449,England/NORT-28B1F9/2020
UK426,England/NORT-28C79C/2020
UK297,England/PORT-2CFE7A/2020
UK534,England/SHEF-C0FF0/2020
UK114,Wales/PHWC-160146/2020
UK35,England/EXET-137342/2020
UK307,Northern_Ireland/NIRE-1041AE/2020
UK162,England/EXET-136D72/2020
UK117,England/BRIS-1275C7/2020
UK350,England/BRIS-1271D2/2020
UK331,England/EXET-136F5E/2020
UK52,England/BIRM-5FE53/2020
UK421,Wales/PHWC-15DF8E/2020
UK5641,Wales/PHWC-15D847/2020
UK177,Scotland/CVR3080/2020
UK4425,Scotland/EDB5391/2020
UK2908,England/PHEC-21E0F/2020
UK467,England/PHEC-21DE4/2020
UK5745,England/PHEC-22017/2020
UK204,England/PHEC-21FB1/2020
UK474,England/PHEC-21ED2/2020
UK705,Wales/PHWC-15D05E/2020
UK5836,Wales/PHWC-15C16B/2020
UK465,Wales/PHWC-15C68A/2020
UK652,Wales/PHWC-15CAAC/2020
UK5630,Wales/PHWC-15C72D/2020
UK5738,Wales/PHWC-15C110/2020
UK3172,Wales/PHWC-15D337/2020
UK2953,Wales/PHWC-15D4F8/2020
UK524,Wales/PHWC-15C541/2020
