UK_lineage,taxon
UK7601,Northern_Ireland/NIRE-FB1AB/2020
UK7440,Northern_Ireland/NIRE-FB712/2020
UK7367,Northern_Ireland/NIRE-FAF75/2020
UK7167,Northern_Ireland/NIRE-FB27B/2020
UK7436,Northern_Ireland/NIRE-FAFDF/2020
UK7441,Northern_Ireland/NIRE-FB6CA/2020
UK7296,Northern_Ireland/NIRE-FB703/2020
UK7370,Northern_Ireland/NIRE-FAE1E/2020
UK7361,Northern_Ireland/NIRE-FB6AC/2020
UK7252,Northern_Ireland/NIRE-FB1D8/2020
UK7227,Northern_Ireland/NIRE-FADC6/2020
UK7213,Northern_Ireland/NIRE-FB6F7/2020
UK7442,Northern_Ireland/NIRE-FB1BA/2020
UK7228,Northern_Ireland/NIRE-FAE0F/2020
UK7297,Northern_Ireland/NIRE-FAE4B/2020
UK7253,Northern_Ireland/NIRE-FB615/2020
UK7198,Northern_Ireland/NIRE-FB19C/2020
UK7214,Northern_Ireland/NIRE-FAF57/2020
UK7443,Northern_Ireland/NIRE-FB67F/2020
UK7224,Northern_Ireland/NIRE-FB1E7/2020
UK7229,Northern_Ireland/NIRE-FADE4/2020
UK7605,Northern_Ireland/NIRE-FB1F6/2020
UK7408,Northern_Ireland/NIRE-FB69D/2020
UK7444,Northern_Ireland/NIRE-FB211/2020
UK7445,Northern_Ireland/NIRE-FAFFD/2020
UK7254,Northern_Ireland/NIRE-FB77C/2020
UK7446,Northern_Ireland/NIRE-FB76D/2020
UK7447,Northern_Ireland/NIRE-FB75E/2020
UK7448,Northern_Ireland/NIRE-FB68E/2020
UK7346,Northern_Ireland/NIRE-FB730/2020
UK7387,England/NOTT-110FB4/2020
UK7389,England/NOTT-110FE1/2020
UK7449,England/NOTT-110F0F/2020
UK7298,England/NOTT-110E7B/2020
UK7390,England/NOTT-110DF6/2020
UK7450,England/NOTT-110D7E/2020
UK7215,Wales/PHWC-3420D/2020
UK7371,Wales/PHWC-32B7D/2020
UK7183,Wales/PHWC-32EFC/2020
UK7451,Wales/PHWC-32C89/2020
UK7299,Wales/PHWC-342C1/2020
UK7452,Wales/PHWC-32CD4/2020
UK7261,Wales/PHWC-3416A/2020
UK7356,Wales/PHWC-34337/2020
UK7210,Wales/PHWC-33C4C/2020
UK7185,Wales/PHWC-32E74/2020
UK7606,Wales/PHWC-33B30/2020
UK7372,Wales/PHWC-33839/2020
UK7220,Wales/PHWC-3308C/2020
UK7300,Wales/PHWC-33CE2/2020
UK7453,Wales/PHWC-34434/2020
UK7454,Wales/PHWC-33C79/2020
UK7409,Wales/PHWC-34768/2020
UK7455,Wales/PHWC-34917/2020
UK7381,Wales/PHWC-33D76/2020
UK7456,Wales/PHWC-33FDA/2020
UK7457,Wales/PHWC-33A8E/2020
UK7458,Wales/PHWC-337A5/2020
UK7230,Wales/PHWC-348A1/2020
UK7459,Wales/PHWC-32C98/2020
UK7382,Wales/PHWC-34795/2020
UK7460,Wales/PHWC-33E91/2020
UK7262,Wales/PHWC-3415B/2020
UK7461,Wales/PHWC-340D6/2020
UK7301,Wales/PHWC-32D0E/2020
UK7373,Wales/PHWC-330D7/2020
UK7263,Wales/PHWC-34470/2020
UK7264,Wales/PHWC-34461/2020
UK7278,Wales/PHWC-34698/2020
UK7462,Wales/PHWC-33857/2020
UK7221,Wales/PHWC-344BC/2020
UK7279,Wales/PHWC-33B8B/2020
UK7302,Wales/PHWC-33E73/2020
UK7280,Wales/PHWC-346D4/2020
UK7255,Wales/PHWC-342EF/2020
UK7281,Wales/PHWC-3307D/2020
UK7463,Wales/PHWC-32CC5/2020
UK7464,Wales/PHWC-32D2C/2020
UK7410,Wales/PHWC-32F62/2020
UK7303,Wales/PHWC-344DA/2020
UK7465,Wales/PHWC-344AD/2020
UK7467,Wales/PHWC-344E9/2020
UK7468,Wales/PHWC-3430A/2020
UK7469,Wales/PHWC-32BAA/2020
UK7470,Wales/PHWC-33B9A/2020
UK7186,Wales/PHWC-32D77/2020
UK7471,Wales/PHWC-34856/2020
UK7472,Wales/PHWC-33AD9/2020
UK7231,Wales/PHWC-33F16/2020
UK7164,Wales/PHWC-340B8/2020
UK7473,Wales/PHWC-34294/2020
UK7411,Wales/PHWC-337E1/2020
UK7170,Wales/PHWC-3374B/2020
UK7475,Wales/PHWC-32FDB/2020
UK7187,Wales/PHWC-34100/2020
UK7304,Wales/PHWC-34267/2020
UK7294,Wales/PHWC-341B5/2020
UK7305,Wales/PHWC-342D0/2020
UK7201,Wales/PHWC-33B4F/2020
UK7282,Wales/PHWC-33A9D/2020
UK7306,Wales/PHWC-32C3E/2020
UK7476,Wales/PHWC-34874/2020
UK7307,Wales/PHWC-33E37/2020
UK7383,Wales/PHWC-34610/2020
UK7477,Wales/PHWC-330C8/2020
UK7308,Wales/PHWC-32D3B/2020
UK7295,Wales/PHWC-341D3/2020
UK7478,Wales/PHWC-33ECE/2020
UK7309,Wales/PHWC-3473B/2020
UK7479,Wales/PHWC-34601/2020
UK7431,England/NORW-E79C8/2020
UK7480,England/NORW-E9FA6/2020
UK7621,England/NORW-E9D06/2020
UK7622,England/NORW-E9B48/2020
UK7268,England/NORW-E9DF7/2020
UK7350,England/NORW-E79E6/2020
