UK_lineage,taxon
UK274,England/LOND-D3D78/2020
UK470,England/LOND-D3DC3/2020
UK77,England/LOND-D3D3C/2020
UK2714,England/LOND-D3D96/2020
UK1328,England/LOND-D3DA5/2020
UK1973,England/LOND-D3B8D/2020
UK5691,England/LOND-D3C02/2020
UK3121,England/LOND-D3B50/2020
UK3122,England/LOND-D3B05/2020
UK2651,England/LOND-D3C3F/2020
UK3123,England/LOND-D3B9C/2020
UK4664,England/LOND-D3B6F/2020
UK3212,England/LOND-D523B/2020
UK2138,England/LOND-D51A7/2020
UK1332,England/LOND-D5277/2020
UK2736,England/LOND-D5286/2020
UK2702,England/LOND-D520E/2020
UK3200,England/LOND-D582A/2020
UK290,England/LOND-D5778/2020
UK2834,England/LOND-D57F0/2020
UK2135,England/LOND-D571E/2020
UK3248,England/LOND-D5769/2020
UK231,England/LOND-D5839/2020
UK2136,England/LOND-D57E1/2020
UK564,England/LOND-D4C7A/2020
UK422,England/LOND-D4C4D/2020
UK635,England/LOND-D4C6B/2020
UK373,England/LOND-D4CA7/2020
UK3207,England/LOND-D4BE6/2020
UK574,England/LOND-D4BC8/2020
UK2611,England/LOND-D4CF2/2020
UK1912,England/LOND-D4CD4/2020
UK3209,England/LOND-D5611/2020
UK4670,England/LOND-D5620/2020
UK2543,England/LOND-D567B/2020
UK3210,England/LOND-D56C6/2020
UK1911,England/LOND-D559C/2020
UK5718,England/LOND-D5E37/2020
UK52,England/LOND-D5F70/2020
UK1926,England/LOND-D5E82/2020
UK3321,England/LOND-D5EBF/2020
UK3,England/LOND-D5EA0/2020
UK2588,England/LOND-D5F25/2020
UK3322,England/LOND-D5EDD/2020
UK539,England/LOND-D5CB5/2020
UK754,England/LOND-D5D3A/2020
UK327,England/LOND-D5CD3/2020
UK174,England/LOND-D5DEF/2020
UK2202,England/LOND-D606D/2020
UK3351,England/LOND-D6030/2020
UK4716,England/LOND-D5FDA/2020
UK5547,England/LOND-D604F/2020
UK310,England/LOND-D607C/2020
UK1667,England/LOND-D5FE9/2020
UK5709,England/LOND-D3965/2020
UK4718,England/LOND-D3A9F/2020
UK670,England/LOND-D39FC/2020
UK1933,England/LOND-D3992/2020
UK2619,England/LOND-D3A08/2020
UK376,England/LOND-D3A26/2020
UK2695,England/LOND-D3983/2020
UK556,England/LOND-D39DE/2020
UK3361,England/LOND-D3DE1/2020
UK2642,England/LOND-D3E1B/2020
UK1908,England/LOND-D3DF0/2020
UK2205,England/LOND-D3EA2/2020
UK3362,England/LOND-D3EFD/2020
UK3363,England/LOND-D3E48/2020
UK3364,England/LOND-D3E66/2020
UK4717,England/LOND-D3F18/2020
UK5441,England/LOND-D5523/2020
UK2615,England/LOND-D5550/2020
UK3036,England/LOND-D5417/2020
UK1940,England/LOND-D5383/2020
UK2215,England/LOND-D530B/2020
UK2613,England/LOND-D531A/2020
UK104,England/LOND-D52FF/2020
UK65,England/LOND-D53CF/2020
UK3028,England/LOND-D52E0/2020
UK4631,England/LOND-D4FF9/2020
UK2062,England/LOND-D47C4/2020
UK1945,England/LOND-D47D3/2020
UK3557,England/LOND-D4ECF/2020
UK2600,England/LOND-D4964/2020
UK4772,England/LOND-D4797/2020
UK600,England/LOND-D4955/2020
UK403,England/LOND-D49EC/2020
UK2750,England/LOND-D4A16/2020
UK3677,England/LOND-D49A0/2020
UK3678,England/LOND-D4A07/2020
UK356,England/LOND-D4982/2020
UK752,England/LOND-D37C5/2020
UK4773,England/LOND-D37D4/2020
UK1931,England/LOND-D37E3/2020
UK2566,England/LOND-D36D7/2020
UK2648,England/LOND-D3798/2020
UK1642,England/LOND-D4560/2020
UK2855,England/LOND-D4454/2020
UK1688,England/LOND-D4472/2020
UK5812,England/LOND-D457F/2020
UK5712,England/LOND-D4481/2020
UK2283,England/LOND-D44AF/2020
UK437,England/LOND-D44CD/2020
UK2627,England/LOND-D4445/2020
UK4565,England/LOND-D4612/2020
UK2284,England/LOND-D468B/2020
UK3691,England/LOND-D4621/2020
UK1000,England/LOND-D4A25/2020
UK2728,England/LOND-D4B8C/2020
UK3669,England/LOND-D4A70/2020
UK3670,England/LOND-D4A34/2020
UK1704,England/LOND-D4B40/2020
UK2586,England/LOND-D3622/2020
UK2711,England/LOND-D359E/2020
UK731,England/LOND-D3516/2020
UK3672,England/LOND-D3561/2020
UK2719,England/LOND-D3604/2020
UK3673,England/LOND-D3543/2020
UK1049,England/LOND-D3631/2020
UK4771,England/LOND-D366E/2020
UK147,England/LOND-D42A5/2020
UK3674,England/LOND-D41E4/2020
UK323,England/LOND-D41B7/2020
UK2660,England/LOND-D4296/2020
UK2749,England/LOND-D424B/2020
UK224,England/LOND-D420F/2020
UK3675,England/LOND-D41C6/2020
UK580,England/LOND-D4278/2020
UK3676,England/LOND-D431B/2020
UK18,England/LOND-D37F2/2020
UK3872,England/LOND-D3868/2020
UK223,England/LOND-D3877/2020
UK672,England/LOND-D3895/2020
UK2629,England/LOND-D3938/2020
UK314,England/LOND-D381D/2020
UK999,England/LOND-D38D1/2020
UK192,England/LOND-D391A/2020
UK3873,England/LOND-D384A/2020
UK2826,England/LOND-D4050/2020
UK894,England/LOND-D4014/2020
UK5449,England/LOND-D3FCD/2020
UK3836,England/LOND-D4005/2020
UK191,England/LOND-D407E/2020
UK117,England/LOND-D3FDC/2020
UK2594,England/LOND-D408D/2020
