UK_lineage,taxon
UK353,England/CAMB-1B3AEF/2020
UK1439,England/CAMB-1B3AA3/2020
UK635,England/CAMB-1B30B0/2020
UK5336,England/CAMB-1B2EB7/2020
UK5152,England/CAMB-1B2C35/2020
UK5383,England/CAMB-1B2549/2020
UK1225,England/CAMB-1B1A2D/2020
UK5215,England/CAMB-1B0A79/2020
UK3432,England/CAMB-1B0183/2020
UK1315,England/CAMB-1AEDEE/2020
UK2014,England/CAMB-1AED75/2020
UK5628,England/CAMB-1B0736/2020
UK1316,England/CAMB-1B06C0/2020
UK661,England/CAMB-1B06A2/2020
UK3793,England/CAMB-1B0763/2020
UK1247,England/CAMB-1B0684/2020
UK1248,England/CAMB-1B0824/2020
UK2004,England/CAMB-1AFD56/2020
UK2008,England/CAMB-1AFD38/2020
UK1257,England/CAMB-1B04E4/2020
UK3105,England/CAMB-1AED39/2020
UK3106,England/CAMB-1AF5A9/2020
UK233,England/CAMB-1AECB4/2020
UK76,England/CAMB-1AEC96/2020
UK420,England/CAMB-1ADBE5/2020
UK3133,England/CAMB-1ADC00/2020
UK4460,England/CAMB-1ADBA9/2020
UK3134,England/CAMB-1ADB5E/2020
UK3135,England/CAMB-1ADB9A/2020
UK16,England/CAMB-1ADB7C/2020
UK4669,England/CAMB-1AC24B/2020
UK2134,England/CAMB-1AC375/2020
UK4668,England/CAMB-1AD71E/2020
UK199,England/CAMB-1AD80C/2020
UK126,England/CAMB-1AD17A/2020
UK5455,England/CAMB-1AD0C8/2020
UK4462,England/CAMB-1AD12F/2020
UK3202,England/CAMB-1AD268/2020
UK3203,England/CAMB-1AD72D/2020
UK3204,England/CAMB-1AD602/2020
UK3206,England/CAMB-1AD6C6/2020
UK4714,England/CAMB-1AC3C0/2020
UK181,England/CAMB-1AC199/2020
UK5714,England/CAMB-1AC0F6/2020
UK203,England/CAMB-1AC111/2020
UK4463,England/CAMB-1AC032/2020
UK195,England/CAMB-1ABEC0/2020
UK4477,England/CAMB-1ABF45/2020
UK830,England/CAMB-1ABEA2/2020
UK123,England/CAMB-8467B/2020
UK535,England/CAMB-1ABEEE/2020
UK2914,England/CAMB-1ABF09/2020
UK2178,England/CAMB-84110/2020
