UK_lineage,taxon
UK447,England/NORT-297567/2020
UK769,England/NORT-2978AA/2020
UK667,England/NORT-295F98/2020
UK957,England/NORT-29E1C6/2020
UK378,England/NORT-29DEFD/2020
UK647,England/NORT-29D507/2020
UK528,England/NORT-297DBA/2020
UK3045,England/NORT-29C9DF/2020
UK445,England/BRIS-12FA39/2020
UK474,England/BRIS-12FB36/2020
UK755,England/BRIS-12F635/2020
UK473,England/BRIS-12F40E/2020
UK827,England/BRIS-12F3A7/2020
UK784,England/BRIS-12EB28/2020
UK50,England/BRIS-12F7F6/2020
UK803,England/BRIS-12F36B/2020
UK493,England/BRIS-12EDD7/2020
UK730,England/BRIS-12EE89/2020
UK824,England/BRIS-12EA67/2020
UK85,England/BRIS-12F222/2020
UK817,England/BRIS-12EA58/2020
UK796,England/BRIS-12F6F9/2020
UK658,England/BRIS-12F653/2020
UK685,England/NORT-282DEF/2020
UK168,England/NORT-283E45/2020
UK4473,England/NORT-294CFC/2020
UK116,England/NORT-295B94/2020
UK279,England/NORT-284293/2020
UK162,England/NORT-282E19/2020
UK428,England/NORT-283AF6/2020
UK306,England/NORT-283FE8/2020
UK202,England/NORT-295B1C/2020
UK210,England/NORT-2842EE/2020
UK554,England/NORT-283FBB/2020
UK551,England/NORT-295D9E/2020
UK586,England/NORT-283980/2020
UK718,England/NORT-281876/2020
UK394,England/NORT-281F08/2020
UK56,England/NORT-281E1A/2020
UK799,England/NORT-28106F/2020
UK756,England/NORT-281120/2020
UK1534,England/NORT-281C01/2020
UK768,England/NORT-283DB1/2020
UK194,England/BRIS-12D312/2020
UK816,England/BRIS-12DF2D/2020
UK468,England/BRIS-12E1BD/2020
UK631,England/BRIS-12DBFC/2020
UK315,Scotland/EDB2902/2020
UK223,Scotland/EDB2734/2020
UK387,Scotland/EDB2896/2020
UK525,Scotland/EDB2984/2020
UK699,Scotland/EDB2725/2020
UK352,Scotland/EDB3032/2020
UK729,Scotland/EDB3303/2020
UK449,England/NORT-28B1F9/2020
UK382,England/NORT-28B205/2020
UK506,Northern_Ireland/NIRE-103260/2020
UK806,Northern_Ireland/NIRE-103B74/2020
UK466,Northern_Ireland/NIRE-103813/2020
UK761,Northern_Ireland/NIRE-FD1C7/2020
UK117,England/BRIS-1275C7/2020
UK405,Northern_Ireland/NIRE-FCE85/2020
UK419,Northern_Ireland/NIRE-102DBB/2020
UK640,Northern_Ireland/NIRE-102F1F/2020
UK580,Northern_Ireland/NIRE-103206/2020
UK536,England/BRIS-12AF02/2020
UK801,England/BRIS-12A2DC/2020
UK674,England/CAMB-1B1489/2020
UK637,England/CAMB-1B1B93/2020
UK217,England/CAMB-1B1735/2020
UK402,England/NORT-289744/2020
UK359,England/NORT-288D34/2020
UK508,England/NORT-2898AB/2020
UK585,England/NORT-2894D4/2020
UK5403,England/NORT-289119/2020
UK1863,England/NORT-289058/2020
UK830,England/BRIS-128F8C/2020
UK5414,England/BRIS-1286B4/2020
UK417,England/BRIS-126452/2020
UK649,England/BRIS-1265E6/2020
UK5555,England/BRIS-1268CF/2020
UK703,England/BRIS-126D1B/2020
UK475,England/BRIS-12648F/2020
UK2292,England/CAMB-1B12BC/2020
UK345,England/CAMB-1B1076/2020
UK319,England/SHEF-10B234D/2020
UK48,Scotland/GCVR-172BF8/2020
UK193,England/CAMB-1B048A/2020
UK4524,England/CAMB-1AF07B/2020
UK191,Scotland/GCVR-172141/2020
UK87,Scotland/GCVR-172211/2020
UK434,Northern_Ireland/NIRE-FBCD7/2020
UK652,England/CAMB-1AE1B5/2020
UK2047,England/CAMB-1AE689/2020
UK3248,England/CAMB-1ADF61/2020
UK1846,Scotland/GCVR-170574/2020
UK1903,Scotland/GCVR-170B63/2020
UK5518,Scotland/GCVR-1710DC/2020
UK700,Scotland/GCVR-17117F/2020
UK5133,Scotland/GCVR-170FA3/2020
UK133,Scotland/GCVR-170F58/2020
UK5548,Scotland/GCVR-17032F/2020
UK104,Scotland/GCVR-170A0C/2020
UK5317,Scotland/GCVR-170C24/2020
UK707,Scotland/GCVR-170A39/2020
UK802,England/CAMB-1AD5D8/2020
UK227,England/CAMB-1AD57E/2020
UK772,Scotland/GCVR-171977/2020
UK1320,England/CAMB-1AC4CD/2020
UK498,Scotland/GCVR-1719E0/2020
UK737,Scotland/GCVR-171AED/2020
UK2,Scotland/GCVR-16FE8C/2020
UK648,Scotland/GCVR-170F1C/2020
UK298,Scotland/GCVR-16FBEF/2020
UK495,Scotland/GCVR-171467/2020
UK136,Scotland/GCVR-1713D3/2020
UK675,Scotland/GCVR-1707AB/2020
UK662,Scotland/GCVR-16FE7D/2020
UK436,Scotland/GCVR-17177D/2020
UK738,England/LOND-D62A3/2020
UK139,England/LOND-D6917/2020
UK657,England/LOND-D61A6/2020
UK609,England/LOND-D6838/2020
UK5217,England/LOND-D6364/2020
UK337,England/LOND-D6258/2020
UK219,England/CAMB-1AA9C0/2020
UK815,England/CAMB-1AB543/2020
UK785,England/CAMB-1ABC20/2020
UK403,England/CAMB-8320F/2020
UK488,England/CAMB-1AA3E0/2020
UK4508,England/CAMB-82D0F/2020
UK510,England/CAMB-842E0/2020
UK4539,England/CAMB-82279/2020
UK1959,England/CAMB-8306F/2020
UK183,England/CAMB-831C6/2020
UK587,England/CAMB-824DD/2020
UK702,England/CAMB-8381C/2020
UK1616,England/BRIS-124D59/2020
UK1734,England/BRIS-1255E7/2020
UK757,England/BRIS-1249BF/2020
UK4506,England/BRIS-125550/2020
UK692,England/BRIS-124AF8/2020
UK45,England/BRIS-1252FF/2020
UK555,England/BRIS-125927/2020
UK512,England/BRIS-124E38/2020
UK430,England/CAMB-808C4/2020
UK490,England/CAMB-80D5C/2020
UK583,England/CAMB-7F4D3/2020
UK148,England/CAMB-7EAD2/2020
UK111,England/CAMB-7F27F/2020
UK557,England/CAMB-7E7F9/2020
UK2787,England/CAMB-7E683/2020
UK659,England/CAMB-813E0/2020
UK208,England/CAMB-8141A/2020
UK4458,England/CAMB-817F3/2020
UK460,England/CAMB-7DDF8/2020
UK599,England/CAMB-7F7DA/2020
UK678,England/CAMB-80466/2020
UK126,England/CAMB-7DF98/2020
UK130,England/BRIS-12308E/2020
UK5210,England/BRIS-123B9C/2020
UK570,England/BRIS-12307F/2020
UK197,England/BRIS-12314F/2020
UK271,England/BRIS-12377A/2020
UK251,England/BRIS-1231C7/2020
UK455,England/BRIS-123A71/2020
UK1094,England/CAMB-7D0A4/2020
UK254,England/CAMB-7D29F/2020
UK4519,England/CAMB-7CA10/2020
UK655,England/CAMB-7BC93/2020
UK1005,England/CAMB-7C9D7/2020
UK2078,England/CAMB-7C843/2020
UK809,England/CAMB-7CDBD/2020
UK441,England/CAMB-7CFA8/2020
UK381,England/CAMB-7BAA8/2020
UK660,England/CAMB-7C4D6/2020
UK765,England/CAMB-7C5E2/2020
UK216,England/CAMB-7D36F/2020
UK228,England/CAMB-7C694/2020
UK1356,England/CAMB-7D10B/2020
UK511,England/CAMB-7DF2F/2020
UK53,England/CAMB-7C63A/2020
UK5506,England/CAMB-7DC91/2020
UK4503,Northern_Ireland/NIRE-FA959/2020
UK65,England/CAMB-78C4B/2020
UK343,England/CAMB-798EC/2020
UK67,England/CAMB-7A854/2020
UK1955,England/CAMB-78C69/2020
UK171,England/CAMB-7A49C/2020
UK4571,England/CAMB-794D9/2020
UK1322,England/CAMB-79BD4/2020
UK1273,England/CAMB-77FF8/2020
UK142,England/CAMB-7A265/2020
UK4801,England/CAMB-7A809/2020
UK518,England/CAMB-78DC0/2020
UK1963,England/CAMB-7A7DF/2020
UK349,England/CAMB-79E71/2020
UK3819,England/CAMB-7A3AE/2020
UK159,England/CAMB-79D38/2020
UK312,England/BRIS-1226C9/2020
UK125,England/BRIS-122DA6/2020
UK4019,England/BRIS-122BD9/2020
UK383,England/BRIS-1224FC/2020
UK641,England/BRIS-122614/2020
UK805,England/BRIS-1229FD/2020
UK954,England/BRIS-122984/2020
