UK_lineage,taxon
UK2908,England/PHEC-21E0F/2020
UK967,England/PHEC-22071/2020
UK5668,England/PHEC-21DE4/2020
UK5749,England/PHEC-21E69/2020
UK5745,England/PHEC-22017/2020
UK977,England/PHEC-22062/2020
UK809,England/PHEC-21ED2/2020
UK4242,England/PHEC-22008/2020
UK5669,England/PHEC-22105/2020
UK5734,England/PHEC-21E1E/2020
UK496,England/PHEC-22123/2020
UK3323,England/PHEC-2217E/2020
UK5682,England/PHEC-222A8/2020
UK3845,England/PHEC-22299/2020
UK5696,England/PHEC-2228A/2020
UK325,England/PHEC-22220/2020
UK753,England/PHEC-22132/2020
UK5697,England/PHEC-2227B/2020
UK5698,England/PHEC-2230F/2020
UK2292,England/PHEC-22150/2020
UK1859,England/PHEC-222C6/2020
UK5699,England/PHEC-2226C/2020
UK564,England/PHEC-21B62/2020
UK5118,England/PHEC-21DC6/2020
UK5373,England/PHEC-21AB0/2020
UK5374,England/PHEC-21BBD/2020
UK5213,England/PHEC-21DA8/2020
UK3511,England/PHEC-21BEA/2020
UK2073,England/PHEC-21A1A/2020
UK3110,England/PHEC-21C7E/2020
UK5168,England/PHEC-21CC9/2020
UK5375,England/PHEC-21B80/2020
UK5377,England/PHEC-21AA1/2020
UK5379,England/PHEC-21C23/2020
UK5380,England/PHEC-21BCC/2020
UK5381,England/PHEC-2193B/2020
UK5502,England/PHEC-214D0/2020
UK5419,England/PHEC-21634/2020
UK4125,England/PHEC-21731/2020
UK5420,England/PHEC-21591/2020
UK807,England/PHEC-216F8/2020
UK5633,England/PHEC-217D7/2020
UK5544,England/PHEC-21449/2020
UK5421,England/PHEC-218A7/2020
UK5422,England/PHEC-214A3/2020
UK2206,England/PHEC-217B9/2020
UK637,England/PHEC-21564/2020
UK5895,England/PHEC-214C1/2020
UK3109,England/PHEC-2127C/2020
UK193,England/PHEC-212D6/2020
UK306,England/PHEC-210AF/2020
UK3111,England/PHEC-213B5/2020
UK3178,England/PHEC-20CAC/2020
UK163,England/PHEC-20E4C/2020
UK5409,England/PHEC-20EF1/2020
UK839,England/PHEC-20E6A/2020
UK3180,England/PHEC-20CE8/2020
UK3181,England/PHEC-20CBB/2020
UK3182,England/PHEC-20D6D/2020
UK3183,England/PHEC-20F76/2020
UK3184,England/PHEC-20F85/2020
UK2643,England/PHEC-20D9A/2020
UK4254,England/PHEC-20DC7/2020
UK3185,England/PHEC-21063/2020
UK3017,England/PHEC-20FFE/2020
UK4690,England/PHEC-209C3/2020
UK3269,England/PHEC-20A39/2020
UK5086,England/PHEC-20AB1/2020
UK3270,England/PHEC-20B81/2020
UK2577,England/PHEC-20BAF/2020
UK2599,England/PHEC-20A0C/2020
UK3273,England/PHEC-208D5/2020
UK3274,England/PHEC-209D2/2020
UK3275,England/PHEC-209E1/2020
UK3025,England/PHEC-20BBE/2020
UK3276,England/PHEC-208F3/2020
UK3277,England/PHEC-20A48/2020
UK3278,England/PHEC-20A1B/2020
UK1627,England/PHEC-2093C/2020
UK4714,England/PHEC-209A5/2020
UK1683,England/PHEC-1FEE6/2020
UK3377,England/PHEC-20019/2020
UK215,England/PHEC-2000A/2020
UK3439,England/PHEC-1E9AA/2020
UK3440,England/PHEC-1EA7A/2020
UK4730,England/PHEC-1E96E/2020
UK3441,England/PHEC-1E95F/2020
UK3442,England/PHEC-1E8DA/2020
UK3443,England/PHEC-1EA5C/2020
UK3444,England/PHEC-1EAC5/2020
UK3445,England/PHEC-1E922/2020
UK3446,England/PHEC-1E931/2020
UK3447,England/PHEC-1EAE3/2020
UK3448,England/PHEC-1E940/2020
UK2217,England/PHEC-1E8F8/2020
UK3449,England/PHEC-1E8CB/2020
UK3450,England/PHEC-1E913/2020
UK2241,England/PHEC-1FCEC/2020
UK3045,England/PHEC-1FAE2/2020
UK5719,England/PHEC-1FDE9/2020
UK2242,England/PHEC-1FB3A/2020
UK4738,England/PHEC-1FCDD/2020
UK3489,England/PHEC-1FAB5/2020
UK3490,England/PHEC-1FAC4/2020
UK377,England/PHEC-1FBD0/2020
UK3491,England/PHEC-1FB49/2020
UK2085,England/PHEC-1FC91/2020
UK3492,England/PHEC-1FB94/2020
UK3474,England/PHEC-20680/2020
UK33,England/PHEC-206F9/2020
UK5295,England/PHEC-20899/2020
UK546,England/PHEC-2069F/2020
UK3475,England/PHEC-208A8/2020
UK507,England/PHEC-20662/2020
UK138,England/PHEC-206EA/2020
UK2708,England/PHEC-208B7/2020
UK5586,England/PHEC-1F2AE/2020
UK3540,England/PHEC-1FA3D/2020
UK1352,England/PHEC-1F2EA/2020
UK1353,England/PHEC-1F675/2020
UK3541,England/PHEC-1F7BE/2020
UK2755,England/PHEC-1F657/2020
UK2854,England/PHEC-1F4E4/2020
UK3542,England/PHEC-1F587/2020
UK3543,England/PHEC-1F578/2020
UK2259,England/PHEC-1F87F/2020
UK2081,England/PHEC-1F3AB/2020
UK3544,England/PHEC-1F806/2020
UK2260,England/PHEC-1F332/2020
UK2261,England/PHEC-1F305/2020
UK3136,England/PHEC-1F7AF/2020
UK805,England/PHEC-1F851/2020
UK877,England/PHEC-1F9A9/2020
UK4751,England/PHEC-1F666/2020
UK3546,England/PHEC-1F8CA/2020
UK4752,England/PHEC-1F930/2020
UK4753,England/PHEC-1F3F6/2020
UK3547,England/PHEC-1F596/2020
UK3548,England/PHEC-1F5C3/2020
UK3549,England/PHEC-1F44E/2020
UK4754,England/PHEC-1F52D/2020
UK5638,England/PHEC-1F402/2020
UK5723,England/PHEC-1F217/2020
UK3550,England/PHEC-1F8AC/2020
UK4755,England/PHEC-1F62A/2020
UK2262,England/PHEC-1F323/2020
UK4756,England/PHEC-1F684/2020
UK2263,England/PHEC-1F314/2020
UK1354,England/PHEC-1F781/2020
UK3551,England/PHEC-1F39C/2020
UK3552,England/PHEC-1F53C/2020
