UK_lineage,taxon
UK2748,England/LOND-D6A6F/2020
UK2749,England/LOND-D6ABA/2020
UK52,England/BIRM-5FE53/2020
UK355,Wales/PHWC-15DCF0/2020
UK3936,Wales/PHWC-15E275/2020
UK395,Wales/PHWC-15D5D7/2020
UK3417,Wales/PHWC-15DCE1/2020
UK668,Scotland/CVR2938/2020
UK3023,Scotland/CVR3080/2020
UK701,Scotland/CVR3045/2020
UK2908,England/PHEC-21E0F/2020
UK967,England/PHEC-22071/2020
UK977,England/PHEC-22062/2020
UK1203,Scotland/EDB286/2020
UK1205,Scotland/EDB310/2020
UK1208,Scotland/EDB294/2020
UK1209,Scotland/EDB608/2020
UK4425,Scotland/EDB5391/2020
UK705,Wales/PHWC-15D05E/2020
UK122,Wales/PHWC-15D407/2020
UK5673,Wales/PHWC-15D2FE/2020
UK4659,Wales/PHWC-15CF07/2020
UK273,Wales/PHWC-15D021/2020
UK74,Wales/PHWC-15C75A/2020
UK324,Wales/PHWC-15CFDA/2020
UK4045,Wales/PHWC-15CE37/2020
UK652,Wales/PHWC-15CAAC/2020
UK735,Wales/PHWC-15CD1C/2020
UK2953,Wales/PHWC-15D4F8/2020
UK4471,Wales/PHWC-15D346/2020
UK159,Wales/PHWC-15D1B5/2020
UK551,Wales/PHWC-15D1F1/2020
UK3431,Wales/PHWC-15C66C/2020
UK4476,Wales/PHWC-15C09B/2020
UK493,Wales/PHWC-15CE46/2020
UK496,England/PHEC-22123/2020
UK3845,England/PHEC-22299/2020
UK325,England/PHEC-22220/2020
UK753,England/PHEC-22132/2020
UK342,England/PORT-2CF627/2020
UK5329,England/NORT-28A5A3/2020
UK5330,England/NORT-28B302/2020
UK5331,England/NORT-28B38A/2020
UK1226,Scotland/EDB808/2020
UK2052,Scotland/EDB5351/2020
UK2053,Scotland/EDB5348/2020
UK1228,Scotland/EDB816/2020
UK1281,Scotland/EDB805/2020
UK2054,Scotland/EDB5358/2020
UK1282,Scotland/EDB554/2020
UK1283,Scotland/EDB1310/2020
UK5157,England/EXET-136914/2020
UK5156,England/EXET-136B4B/2020
UK5169,England/EXET-1368EA/2020
UK5158,England/EXET-136B69/2020
UK5333,England/EXET-136B96/2020
UK5520,England/SHEF-CDBE0/2020
UK5335,England/SHEF-C27F6/2020
UK1305,Scotland/EDB704/2020
UK1318,Scotland/EDB890/2020
UK1479,Scotland/EDB291/2020
UK2049,Scotland/EDB5344/2020
UK1754,Scotland/EDB295/2020
UK5351,Scotland/EDB5251/2020
UK1755,Scotland/EDB213/2020
UK1756,Scotland/EDB215/2020
UK1757,Scotland/EDB290/2020
UK2454,Scotland/EDB289/2020
UK1758,Scotland/EDB600/2020
UK1759,Scotland/EDB285/2020
UK5340,England/BRIS-12AC1A/2020
UK5522,England/BRIS-129CEE/2020
UK5341,England/BRIS-12AED8/2020
UK5342,England/BRIS-12ABA4/2020
UK2056,England/BRIS-12AF11/2020
UK5343,England/BRIS-129D27/2020
UK5344,England/BRIS-12AD71/2020
UK5524,England/BRIS-129CFD/2020
UK5346,England/BRIS-12A931/2020
UK5091,England/BRIS-129B96/2020
UK5515,England/BRIS-12A2DC/2020
UK1766,England/BRIS-12A12A/2020
UK5319,England/BRIS-12A2CD/2020
UK5348,England/BRIS-129CA2/2020
UK5097,England/BRIS-129A20/2020
UK4502,England/BRIS-12AB59/2020
UK5350,England/BRIS-12A281/2020
UK5527,England/SHEF-C8787/2020
UK5336,England/CAMB-1B2EB7/2020
UK5161,England/SHEF-C65AD/2020
UK5521,England/SHEF-C42C6/2020
UK5320,England/SHEF-CA10F/2020
UK5337,England/SHEF-C676B/2020
UK3504,Scotland/EDB3021/2020
UK2059,Scotland/EDB5164/2020
UK2033,Scotland/EDB5041/2020
UK2057,Scotland/EDB5247/2020
UK2058,Scotland/EDB5209/2020
UK754,Scotland/EDB5057/2020
UK3015,Scotland/CVR3370/2020
UK5512,Scotland/CVR3172/2020
UK5152,England/CAMB-1B2C35/2020
UK5316,England/EXET-136686/2020
UK5118,England/PHEC-21DC6/2020
UK5373,England/PHEC-21AB0/2020
UK5374,England/PHEC-21BBD/2020
UK5213,England/PHEC-21DA8/2020
UK3511,England/PHEC-21BEA/2020
UK2073,England/PHEC-21A1A/2020
UK3110,England/PHEC-21C7E/2020
UK5168,England/PHEC-21CC9/2020
UK5377,England/PHEC-21AA1/2020
UK5379,England/PHEC-21C23/2020
UK5380,England/PHEC-21BCC/2020
UK5381,England/PHEC-2193B/2020
UK5528,Wales/PHWC-32AAD/2020
UK1816,Wales/PHWC-2C174/2020
UK5427,Wales/PHWC-29B3D/2020
UK5353,Wales/PHWC-2BFC6/2020
UK5167,Wales/PHWC-32700/2020
UK2019,Wales/PHWC-2C0B3/2020
UK262,Wales/PHWC-32560/2020
UK5354,Wales/PHWC-3620B/2020
UK5539,Wales/PHWC-2C156/2020
UK5538,Wales/PHWC-366B4/2020
UK5355,Wales/PHWC-326F4/2020
UK5356,Wales/PHWC-2C183/2020
UK5475,Wales/PHWC-2C147/2020
UK5221,Wales/PHWC-328D0/2020
UK5099,Wales/PHWC-3660F/2020
UK5540,Wales/PHWC-2C1ED/2020
UK5100,Wales/PHWC-29EE9/2020
UK5357,Wales/PHWC-32B22/2020
UK5358,Wales/PHWC-32621/2020
UK5101,Wales/PHWC-32991/2020
UK5359,Wales/PHWC-2C165/2020
UK5360,Wales/PHWC-2C2AE/2020
UK5102,Wales/PHWC-29EBC/2020
UK5103,Wales/PHWC-2AE06/2020
UK5361,Wales/PHWC-3280D/2020
UK5222,Wales/PHWC-298EB/2020
UK5362,Wales/PHWC-36317/2020
