UK_lineage,taxon
UK510,England/BIRM-62A1D/2020
UK1723,England/BIRM-62989/2020
UK529,England/BIRM-6286E/2020
UK607,England/BIRM-61E4F/2020
UK2464,England/BIRM-61E9A/2020
UK39,England/BIRM-61EB8/2020
UK1247,England/BIRM-635C0/2020
UK23,England/BIRM-61F79/2020
UK1833,England/BIRM-60E5F/2020
UK2095,England/BIRM-60E40/2020
UK31,England/BIRM-61B39/2020
UK55,England/BIRM-61C54/2020
UK45,England/BIRM-61BDF/2020
UK690,England/BIRM-61B2A/2020
UK1680,England/BIRM-61BC0/2020
UK794,England/BIRM-61B75/2020
UK174,England/BIRM-61D24/2020
UK85,England/BIRM-61CAF/2020
UK241,England/BIRM-61CDC/2020
UK1278,England/BIRM-6189C/2020
UK1763,England/BIRM-61683/2020
UK369,England/BIRM-61638/2020
UK562,England/BIRM-607CD/2020
UK1366,England/BIRM-606FD/2020
UK1544,England/BIRM-615D1/2020
UK2030,England/BIRM-61340/2020
UK678,England/BIRM-613D7/2020
UK491,England/BIRM-61410/2020
UK1942,England/BIRM-5F864/2020
UK2913,England/BIRM-5F882/2020
UK1142,England/BIRM-5F819/2020
UK1937,England/BIRM-61270/2020
UK707,England/BIRM-611CE/2020
UK175,England/BIRM-5FCC2/2020
UK478,England/BIRM-5FCA4/2020
UK118,England/BIRM-5FCB3/2020
UK1794,England/BIRM-5FC3B/2020
UK1929,England/BIRM-5F925/2020
UK433,England/BIRM-5F15A/2020
UK2064,England/BIRM-5F6A6/2020
UK1264,England/BIRM-5F08A/2020
UK52,England/BIRM-5FE53/2020
UK2111,England/BIRM-5EFF7/2020
UK494,England/BIRM-5F3EB/2020
UK79,England/BIRM-5F442/2020
UK1155,England/BIRM-5F327/2020
UK2020,England/BIRM-5EE90/2020
UK360,England/BIRM-5EEFA/2020
UK1978,England/BIRM-5F318/2020
UK92,England/BIRM-5EEBE/2020
UK1177,England/BIRM-5EF15/2020
UK225,England/BIRM-5ED84/2020
UK1802,England/BIRM-5EE18/2020
UK1209,England/BIRM-5EA23/2020
UK1398,England/BIRM-5EB7B/2020
UK121,England/BIRM-5E883/2020
UK928,England/BIRM-5E8A1/2020
UK1126,England/BIRM-5E838/2020
UK112,England/BIRM-5E7EO/2020
UK1868,England/BIRM-5E7D1/2020
UK147,England/BIRM-5E7A4/2020
UK1071,England/BIRM-5E865/2020
UK1782,England/BIRM-5E8B0/2020
UK621,England/BIRM-5E73B/2020
UK1,England/BIRM-5E698/2020
UK744,England/BIRM-5E30A/2020
UK1874,England/BIRM-5E2FE/2020
