UK_lineage,taxon
UK5677,England/NORT-28A38B/2020
UK5616,England/NORT-28A1DC/2020
UK5618,England/NORT-289F6A/2020
UK5619,England/NORT-28A3C7/2020
UK4,England/NORT-28A42E/2020
UK1806,England/NORT-289E8B/2020
UK5567,England/NORT-289F1F/2020
UK5620,England/NORT-28A34F/2020
UK5621,England/NORT-289C81/2020
UK5622,England/NORT-28A0EE/2020
UK5623,England/NORT-28A1EB/2020
UK5624,England/NORT-28A29D/2020
UK5559,England/NORT-291855/2020
UK214,England/NORT-289A4B/2020
UK18,England/NORT-2899D5/2020
UK5625,England/NORT-288F98/2020
UK5579,England/NORT-290AD8/2020
UK5556,England/NORT-288D9E/2020
UK11,England/NORT-288D8F/2020
UK5684,England/NORT-289AE1/2020
UK5711,England/NORT-291837/2020
UK62,England/NORT-2899A8/2020
UK1542,England/NORT-288E6E/2020
UK3168,England/NORT-288EB9/2020
UK3169,England/NORT-2890FE/2020
UK3170,England/NORT-2892BC/2020
UK3171,England/NORT-2894E3/2020
UK14,England/NORT-288E8C/2020
UK312,England/NORT-288DF8/2020
UK3172,England/NORT-28952C/2020
UK4461,England/NORT-288D25/2020
UK3173,England/NORT-288EE6/2020
UK3174,England/NORT-288EC8/2020
UK3175,England/NORT-2896B0/2020
