UK_lineage,taxon
UK1155,England/PORT-2D3A8E/2020
UK1124,England/PORT-2D380C/2020
UK2055,England/PORT-2D38FD/2020
UK893,England/PORT-2D38EE/2020
UK487,England/PORT-2D3383/2020
UK1452,England/PORT-2D40F4/2020
UK1344,England/PORT-2D3338/2020
UK1542,England/PORT-2D32D1/2020
UK1588,England/PORT-2D39BE/2020
UK1898,England/PORT-2D3365/2020
UK86,England/PORT-2D3295/2020
UK1626,England/PORT-2D35E7/2020
UK1412,England/PORT-2D1358/2020
UK374,England/PORT-2D12E2/2020
UK678,England/PORT-2D1FCD/2020
UK1920,England/PORT-2D2BF5/2020
UK706,England/PORT-2D269A/2020
UK151,England/PORT-2D27F1/2020
UK607,England/PORT-2D169B/2020
UK732,England/PORT-2D173E/2020
UK1497,England/PORT-2D1983/2020
UK902,England/PORT-2D1938/2020
UK844,England/PORT-2F5D7E/2020
UK945,England/PORT-2D24EB/2020
UK5498,England/PORT-2D1859/2020
UK1585,England/PORT-2D3F52/2020
UK1515,England/PORT-2D1E0C/2020
UK829,England/PORT-2D1D78/2020
UK2044,England/PORT-2D1E48/2020
UK811,England/PORT-2D1DB4/2020
UK897,England/PORT-2D1EDF/2020
UK434,England/PORT-2D1F45/2020
UK1228,England/PORT-2D1E66/2020
UK1233,England/PORT-2D1C02/2020
UK385,England/PORT-2D1CF3/2020
UK568,England/PORT-2D1AF9/2020
UK610,England/PORT-2D1A71/2020
UK38,England/PORT-2D1A80/2020
UK1076,England/PORT-2D1A9F/2020
UK1053,England/PORT-2D1B23/2020
UK230,England/PORT-2D2F17/2020
UK1323,England/PORT-2CFAEF/2020
UK240,England/PORT-2CFA49/2020
UK445,England/PORT-2D15DA/2020
UK1010,England/PORT-2D0EFE/2020
UK1830,England/PORT-2D0FEC/2020
UK12,England/PORT-2D0E85/2020
UK1301,England/PORT-2D0AFA/2020
UK1647,England/PORT-2D0070/2020
UK787,England/PORT-2CFE3E/2020
UK297,England/PORT-2CFE7A/2020
UK1535,England/PORT-2D0025/2020
UK2098,England/PORT-2CF94C/2020
UK1527,England/PORT-2CF9B5/2020
UK1759,England/PORT-2CF91F/2020
UK2025,England/PORT-2CF548/2020
UK1439,England/PORT-2CF2F6/2020
