UK_lineage,taxon
UK1482,England/LOND-D756D/2020
UK1092,England/LOND-D747F/2020
UK1803,England/LOND-D758B/2020
UK604,England/LOND-D71E1/2020
UK1714,England/LOND-D7169/2020
UK1192,England/LOND-D7424/2020
UK1996,England/LOND-D7415/2020
UK2021,England/LOND-D6F51/2020
UK1100,England/LOND-D6EBE/2020
UK502,England/LOND-D6EDC/2020
UK753,England/LOND-D6F60/2020
UK2010,England/LOND-D705D/2020
UK1311,England/LOND-D7002/2020
UK506,England/LOND-D70F3/2020
UK336,England/LOND-D711E/2020
UK402,England/LOND-D70C6/2020
UK38,England/LOND-D6FF7/2020
UK248,England/LOND-D6E27/2020
UK311,England/LOND-D6E72/2020
UK975,England/LOND-D6E36/2020
UK1372,England/LOND-D6DA2/2020
UK183,England/LOND-D6D57/2020
UK447,England/LOND-D6D39/2020
UK1551,England/LOND-D6E09/2020
UK452,England/LOND-D6D84/2020
UK1616,England/LOND-D6D48/2020
UK519,England/LOND-D6BA8/2020
UK101,England/LOND-D6C87/2020
UK681,England/LOND-D6A6F/2020
UK6,England/LOND-D6A9C/2020
UK1478,England/LOND-D6A23/2020
UK1825,England/LOND-D6A32/2020
UK1363,England/LOND-D5AE8/2020
UK1833,England/LOND-D59CD/2020
UK149,England/LOND-D5981/2020
UK1277,England/LOND-D5884/2020
UK274,England/LOND-D3D78/2020
UK1005,England/LOND-D3DC3/2020
UK161,England/LOND-D3D3C/2020
UK397,England/LOND-D3C02/2020
UK1923,England/LOND-D3C20/2020
UK1185,England/LOND-D3B50/2020
UK128,England/LOND-D3C6C/2020
UK1887,England/LOND-D3C4E/2020
UK1412,England/LOND-D3B05/2020
UK2013,England/LOND-D3B9C/2020
UK1951,England/LOND-D4D0E/2020
UK2104,England/LOND-D5259/2020
UK561,England/LOND-D51B6/2020
UK456,England/LOND-D5277/2020
UK1693,England/LOND-D5769/2020
UK1838,England/LOND-D4C7A/2020
UK718,England/LOND-D4C6B/2020
UK1268,England/LOND-D4C10/2020
UK2027,England/LOND-D4CA7/2020
UK567,England/LOND-D55BA/2020
UK1443,England/LOND-D55C9/2020
UK1685,England/LOND-D6030/2020
UK598,England/LOND-D605E/2020
UK25,England/LOND-D604F/2020
UK781,England/LOND-D607C/2020
UK1667,England/LOND-D5FE9/2020
UK952,England/LOND-D5B4F/2020
UK418,England/LOND-D5E37/2020
UK1171,England/LOND-D5F52/2020
UK1777,England/LOND-D5F34/2020
UK2060,England/LOND-D5D94/2020
UK1191,England/LOND-D5D3A/2020
UK1733,England/LOND-D5CD3/2020
UK174,England/LOND-D5DEF/2020
UK1279,England/LOND-D3A26/2020
UK313,England/LOND-D39DE/2020
UK1010,England/LOND-D3F09/2020
UK1875,England/LOND-D3EFD/2020
UK267,England/LOND-D3F18/2020
UK1307,England/LOND-D5462/2020
UK2049,England/LOND-D556F/2020
UK507,England/LOND-D53A1/2020
UK1501,England/LOND-D53B0/2020
UK1286,England/LOND-D52FF/2020
UK786,England/LOND-D53CF/2020
UK1911,England/LOND-D4DE0/2020
UK422,England/LOND-D4E56/2020
UK980,England/LOND-D4D59/2020
UK1775,England/LOND-D4E47/2020
UK1684,England/LOND-D509B/2020
UK400,England/LOND-D505F/2020
UK570,England/LOND-D4919/2020
UK1343,England/LOND-D4894/2020
UK1080,England/LOND-D48D0/2020
UK351,England/LOND-D47E2/2020
UK1226,England/LOND-D4F9F/2020
UK1942,England/LOND-D4F80/2020
UK1920,England/LOND-D4EDE/2020
UK911,England/LOND-D473D/2020
UK752,England/LOND-D37C5/2020
UK4773,England/LOND-D37D4/2020
UK823,England/LOND-D3710/2020
UK1029,England/LOND-D4506/2020
UK1169,England/LOND-D4551/2020
UK1504,England/LOND-D4515/2020
UK2025,England/LOND-D4463/2020
UK966,England/LOND-D4612/2020
UK1791,England/LOND-D45BB/2020
UK1919,England/LOND-D466D/2020
UK523,England/LOND-D468B/2020
UK597,England/LOND-D465E/2020
UK576,England/LOND-D4A25/2020
UK1917,England/LOND-D4A9E/2020
UK1253,England/LOND-D4A34/2020
UK1721,England/LOND-D4B40/2020
UK2066,England/LOND-D3543/2020
UK497,England/LOND-D3631/2020
UK2111,England/LOND-D42A5/2020
UK1093,England/LOND-D41A8/2020
UK171,England/LOND-D41B7/2020
UK230,England/LOND-D420F/2020
UK1024,England/LOND-D41C6/2020
UK1926,England/LOND-D4278/2020
UK1251,England/LOND-D43A2/2020
UK1928,England/LOND-D43EE/2020
UK600,England/LOND-D43C0/2020
UK2022,England/LOND-D3895/2020
UK777,England/LOND-D38D1/2020
UK943,England/LOND-D407E/2020
