UK_lineage,taxon
UK5710,Scotland/CVR2263/2020
UK5669,Scotland/CVR2871/2020
UK5598,Scotland/CVR2476/2020
UK5670,Scotland/CVR2557/2020
UK5660,Scotland/CVR1520/2020
UK2775,Scotland/CVR2193/2020
UK1605,Scotland/CVR3243/2020
UK42,Scotland/CVR3165/2020
UK5723,Scotland/CVR2196/2020
UK95,Scotland/CVR2345/2020
UK81,Scotland/CVR2252/2020
UK3112,Scotland/CVR1825/2020
UK231,Scotland/CVR2218/2020
UK1074,Scotland/CVR2975/2020
UK281,Scotland/CVR2976/2020
UK2133,Scotland/CVR2226/2020
UK2735,Scotland/CVR1925/2020
UK5763,Scotland/CVR2217/2020
UK165,Scotland/CVR2840/2020
UK5668,Scotland/CVR2967/2020
UK1334,Scotland/CVR3082/2020
UK63,Scotland/CVR3094/2020
UK1954,Scotland/CVR2982/2020
UK55,Scotland/CVR2748/2020
UK3217,Scotland/CVR2919/2020
UK2140,Scotland/CVR2750/2020
UK2835,Scotland/CVR2819/2020
UK3218,Scotland/CVR2691/2020
UK214,Scotland/CVR2229/2020
UK2839,Scotland/CVR1076/2020
UK4674,Scotland/CVR353/2020
UK2159,Scotland/CVR427/2020
UK4675,Scotland/CVR348/2020
UK1920,Scotland/CVR355/2020
UK1949,Scotland/CVR247/2020
UK1626,Scotland/CVR334/2020
UK2840,Scotland/CVR896/2020
UK2738,Scotland/CVR910/2020
UK3243,Scotland/CVR763/2020
UK329,Scotland/CVR263/2020
UK83,Scotland/CVR772/2020
UK2690,Scotland/CVR337/2020
UK2841,Scotland/CVR697/2020
UK1932,Scotland/CVR453/2020
UK1785,Scotland/CVR579/2020
UK5490,Scotland/CVR350/2020
UK5162,Scotland/CVR285/2020
UK2875,Scotland/CVR325/2020
UK1190,Scotland/CVR243/2020
UK3373,Scotland/CVR536/2020
UK424,Scotland/CVR739/2020
UK5522,Scotland/CVR402/2020
UK1633,Scotland/CVR575/2020
UK1607,Scotland/CVR286/2020
UK1345,Scotland/CVR766/2020
UK1669,Scotland/CVR239/2020
UK557,Scotland/CVR797/2020
UK2209,Scotland/CVR399/2020
UK2876,Scotland/CVR569/2020
UK3201,Scotland/CVR753/2020
UK1073,Scotland/CVR258/2020
UK2207,Scotland/CVR2812/2020
UK2847,Scotland/CVR866/2020
UK1135,Scotland/CVR817/2020
UK2877,Scotland/CVR898/2020
UK1684,Scotland/CVR1560/2020
UK2848,Scotland/CVR1557/2020
UK337,Scotland/CVR1416/2020
UK2849,Scotland/CVR914/2020
UK620,Scotland/CVR1402/2020
UK3496,Scotland/CVR882/2020
UK2246,Scotland/CVR1449/2020
UK744,Scotland/CVR1019/2020
UK2851,Scotland/CVR986/2020
UK3497,Scotland/CVR1367/2020
UK119,Scotland/CVR1014/2020
UK1749,Scotland/CVR1388/2020
UK3498,Scotland/CVR861/2020
UK3499,Scotland/CVR1918/2020
UK1750,Scotland/CVR1011/2020
UK2247,Scotland/CVR928/2020
UK3500,Scotland/CVR1445/2020
UK4402,Scotland/CVR790/2020
UK2248,Scotland/CVR1094/2020
UK4557,Scotland/CVR1281/2020
UK1350,Scotland/CVR1425/2020
UK4740,Scotland/CVR1919/2020
UK5767,Scotland/CVR1137/2020
UK4456,Scotland/CVR1270/2020
UK45,Scotland/CVR2228/2020
UK1753,Scotland/CVR1817/2020
UK124,Scotland/CVR849/2020
UK1723,Scotland/CVR1978/2020
UK1609,Scotland/CVR1267/2020
UK1129,Scotland/CVR304/2020
UK4502,Scotland/CVR977/2020
UK2289,Scotland/CVR942/2020
UK451,Scotland/CVR278/2020
UK287,Scotland/CVR855/2020
UK2570,Scotland/CVR1493/2020
UK274,Scotland/CVR1647/2020
UK1783,Scotland/CVR1639/2020
UK1650,Scotland/CVR1569/2020
UK1725,Scotland/CVR1663/2020
UK433,Scotland/CVR1710/2020
UK3827,Scotland/CVR1677/2020
UK5759,Scotland/CVR1633/2020
UK5761,Scotland/CVR1751/2020
UK491,Scotland/CVR999/2020
UK2909,Scotland/CVR1598/2020
UK4578,Scotland/CVR1638/2020
UK1820,Scotland/CVR1691/2020
UK1819,Scotland/CVR1426/2020
UK4577,Scotland/CVR1430/2020
UK1756,Scotland/CVR1432/2020
UK4422,Scotland/CVR1412/2020
UK1080,Scotland/CVR1400/2020
UK3888,Scotland/CVR1406/2020
UK4426,Scotland/CVR1576/2020
UK1727,Scotland/CVR1022/2020
UK339,Scotland/CVR1145/2020
UK1915,Scotland/CVR1308/2020
UK2465,Scotland/CVR452/2020
UK1661,Scotland/CVR450/2020
UK2466,Scotland/CVR472/2020
UK5793,Scotland/CVR608/2020
UK4611,Scotland/CVR704/2020
UK4297,Scotland/CVR713/2020
UK5798,Scotland/CVR142/2020
UK5479,Scotland/CVR139/2020
UK5113,Scotland/CVR123/2020
UK4618,Scotland/CVR135/2020
UK37,Scotland/CVR151/2020
UK1175,Scotland/CVR118/2020
UK1781,Scotland/CVR754/2020
UK1048,Scotland/CVR634/2020
UK1953,Scotland/CVR131/2020
UK647,Scotland/CVR163/2020
UK2886,Scotland/CVR143/2020
UK1611,Scotland/CVR176/2020
UK4329,Scotland/CVR136/2020
UK2494,Scotland/CVR159/2020
UK4450,Scotland/CVR164/2020
UK1460,Scotland/CVR170/2020
UK1769,Scotland/CVR199/2020
