UK_lineage,taxon
UK1146,Wales/PHWC-16A249/2020
UK1953,Wales/PHWC-16A504/2020
UK406,Wales/PHWC-16A4CB/2020
UK2111,Wales/PHWC-16A23A/2020
UK733,Wales/PHWC-169EDD/2020
UK1269,Wales/PHWC-169F25/2020
UK1452,Wales/PHWC-169F61/2020
UK1097,Wales/PHWC-169C4C/2020
UK1018,Wales/PHWC-169462/2020
UK2134,Wales/PHWC-169189/2020
UK1605,Wales/PHWC-1669C0/2020
UK1271,Wales/PHWC-166948/2020
UK1926,Wales/PHWC-1669A2/2020
UK422,Wales/PHWC-166DC4/2020
UK451,Wales/PHWC-2D38C/2020
UK1762,Wales/PHWC-166CB8/2020
UK927,Wales/PHWC-1664CF/2020
UK1944,Wales/PHWC-166F91/2020
UK524,Wales/PHWC-167DB4/2020
UK2004,Wales/PHWC-1682D2/2020
UK881,Wales/PHWC-16858E/2020
UK122,Wales/PHWC-167FFA/2020
UK1954,Wales/PHWC-168C4D/2020
UK1571,Wales/PHWC-168C98/2020
UK430,Wales/PHWC-168445/2020
UK860,Wales/PHWC-168427/2020
UK1855,Wales/PHWC-168C7A/2020
UK1392,Wales/PHWC-165C6E/2020
UK1387,Wales/PHWC-1656BB/2020
UK1800,Wales/PHWC-16631D/2020
UK1000,Wales/PHWC-165E4A/2020
UK329,Wales/PHWC-16626B/2020
UK1538,Wales/PHWC-165F74/2020
UK847,Wales/PHWC-165E86/2020
UK701,Wales/PHWC-1647C8/2020
UK1093,Wales/PHWC-16478C/2020
UK1852,Wales/PHWC-164C05/2020
UK1844,Wales/PHWC-16484D/2020
UK1941,Wales/PHWC-1649A4/2020
UK1115,Wales/PHWC-165536/2020
UK1790,Wales/PHWC-162A3A/2020
UK1580,Wales/PHWC-1624A5/2020
UK1514,Wales/PHWC-1624C3/2020
UK1628,Wales/PHWC-16327D/2020
UK1950,Wales/PHWC-163301/2020
UK914,Wales/PHWC-163529/2020
UK1769,Wales/PHWC-164036/2020
UK1264,Wales/PHWC-1637D8/2020
UK1922,Wales/PHWC-160128/2020
UK1132,Wales/PHWC-160146/2020
UK1873,Wales/PHWC-160C45/2020
UK1574,Wales/PHWC-160EB8/2020
UK977,Wales/PHWC-15FF13/2020
UK1866,Wales/PHWC-15E5C7/2020
UK1530,Wales/PHWC-15E8EC/2020
UK1520,Wales/PHWC-15DF8E/2020
UK1560,Wales/PHWC-15E688/2020
UK891,Wales/PHWC-15E7B2/2020
UK1593,Wales/PHWC-15D5B9/2020
UK1042,Wales/PHWC-15DEBE/2020
